به گزارش خبرگزاری رویتر از مکزیکو‌سیتی ، مقامات این کشور افزودند : با طغیان رودخانه سان‌لوییس ایوکان در مرکز مکزیک پنج تن کشته و یک نفر ناپدید شدند .	افزودند	10	Plur
صدای زرورق گز ، سکوت را می‌شکند .	می‌شکند	6	Sing
ولی آن درصد زرنگشان ، چون خیلی از آن‌ها آمدند تهران و رفتند به شهرهای دیگر ، مردم شهرهای دیگر اصفهانی‌ها را از روی این تعداد می‌شناسند .	رفتند	12	Plur
در همان قسمتی که این اتفاق افتاد ، زنی می‌خواست مسافرکش بشود .	می‌خواست	9	Sing
آشنایی‌زدایی خواستید بکنید ؟	خواستید	1	Plur
ولی ما نیامدیم آخر برنامه بگوییم که توجه توجه ، می‌خواهیم راهکار بدهیم تا از فردا دیگر سارق نداشته باشیم .	می‌خواهیم	10	Plur
به دست‌اندرکاران و سازندگان این سریال خسته نباشید می‌گویم .	نباشید	7	Plur
همچنین انتشار صدها مقاله در مجلات و روزنامه‌هایی نظیر مکتب اسلام ، مکتب تشیع و سایر مجلات و روزنامه‌های کثیرالانتشار از وی چهرهٔ متفکر و اندیشمندی را به نمایش می‌گذارد .	می‌گذارد	29	Sing
آن مرد غریب به هرکس هم که مراجعه کرد ، نتوانست کمکی دریافت کند ؛ لذا بالای کوه ابوقبیس رفت و فریاد زد : ای اولاد فهر !	نتوانست	10	Sing
آنگاه با سلطان به مشورت پرداختند و نقشه کشیدند که سعدی را از بارگاه برانند .	پرداختند	5	Plur
تجربه‌ای است که نمی‌دانم چقدر جواب می‌دهد .	نمی‌دانم	3	Sing
وی اتوکشی می‌کرد و به عقیدهٔ تقی اوحدی غزل خوب می‌سرود و شاعری پرگو بود .	می‌سرود	10	Sing
نماینده کرمان در پاسخ به سؤالی پیرامون ریاست مجلس ششم گفت : اگر هاشمی رفسنجانی به مجلس بیاید از وی خواهیم خواست ریاست مجلس را بپذیرد .	بپذیرد	25	Sing
هیچ کس تا آن روز بچه دیوی را ندیده بود که این قدر آرام و ساکت باشد .	ندیده	8	Sing
جنابعالی داری شلتاق می‌فرمایی .	می‌فرمایی	3	Sing
چون می‌دانستیم که ما حلال مشکلات نیستیم .	می‌دانستیم	1	Plur
در افسانه‌های کهن آمده است که موشی ناچیز کوهی گران بزاد .	بزاد	10	Sing
یک نگاه اجمالی به زندگی پیامبر اکرم در دوران کودکی بیندازیم .	بیندازیم	10	Plur
حتی روی این حالت اسم بچه‌اش را گذاشتیم نیما ؛ یعنی اسم خودش را گذاشتم ، که یک‌جوری با بچه‌اش جور دربیاید .	گذاشتم	14	Sing
تیمور برای دیدن گور او به گورستان رفت و چون جاذبه‌ای مرموز روح و اندیشه او را به سوی این آرامگاه می‌کشید ، فرمان داد تا گور را بگشایند .	می‌کشید	21	Plur
به نظرم : [ ناگهان خودش را جمع و جور می‌کند و محکم‌تر از قبل جواب می‌دهد که ] اگه بگیم روزه‌ایم مثل این که داریم چیز … ریا می‌کنیم ، خانم .	بگیم	20	Plur
بخش عمده‌یی از شبها را به بیداری و عبادت و تضرع و گریه و استغفار و دعا می‌گذرانید .	می‌گذرانید	17	Plur
این راه دومش بود که ما یک آدم دیگری بیاوریم که جای مونس بازی کند و با یک اسم دیگر ؛ یعنی یک سری آدمهای جدید و یک سری معضلات جدید .	بیاوریم	9	Plur
هر چی خواستی بگیر برا افطارت .	خواستی	2	Sing
از این شمارش و بازشماری و خیلی چیزهای دیگر که قرار بود با رای ما بکنند و دارند می‌کنند ، چشم حضرتعالی چه مقدار آب خورده و می‌خورد ؟	بکنند	15	Plur
خیلی راحت می‌شود حدس زد که پشت صحنه خوبی دارد و یا پشت صحنه‌اش غیردوستانه است .	زد	4	Sing
" تخته‌سیاه " محصول مشترک ایران و ایتالیاست و داستان آن که در میان گروهی از آوارگان کرد می‌گذرد ، حکایت معلمانی است که " تخته‌سیاه " خود را به دوش می‌کشند و دنبال شاگرد می‌گردند .	می‌کشند	31	Plur
او گفت : اینهمه توی غلط‌گیری‌ها سوزن به چشم مزن .	مزن	9	Sing
من مایل نیستم که از نویسندگان و کتابهاشان اسم بیاورم ؛ اما خود نویسندگان امریکایی تشریح می‌کنند و می‌نویسند که این انتخابات شهرداریها ، انتخابات نمایندگی مجلس و انتخابات ریاست‌جمهوری ، با چه ساز و کاری انجام می‌گیرد .	می‌نویسند	18	Plur
اولا شما وقتی سراغ موضوعی مثل فقر می‌روید ، حتما باید جایی بروید که محله‌ای فقیرنشین باشد و دیگر شما نمی‌توانید در یک آپارتمان بنشینید و در سه روز پنجاه دقیقه پر کنید و پول حسابی بگیرید .	بنشینید	24	Plur
آن کسی که به طور غیرقانونی قتل نفس بکند ، ما نمی‌گوییم چه کسی را کشته است ؛ اگر غیرقانونی کشته باشد ، باید مجازات بشود ؛ فرقی نمی‌کند .	نمی‌گوییم	11	Plur
اما بخوبی دریافته‌اند که برای نزدیکی به غرب باید نگاه مردمشان را از زشتیهای غرب به زیباییهای آن معطوف کنند و این همان کاری است که در ایران با همت احزاب جدید دنبال می‌شود .	دریافته‌اند	2	Plur
مریم : داداش احمد ، هفت تا شیرینی داریم ، چهار تای دیگه هم می‌ذاریم روش ، چند تا می‌شه ؟	می‌ذاریم	14	Plur
البته بسیاری از آن‌ها برای محققین شناخته شده بود اما ما به دو نوع سرطان جدید برخورده‌ایم : سرطان کلیه و سرطان خون .	برخورده‌ایم	16	Plur
هرکس هم امتناع کند و نپذیرد ، آن وقت شمشیرش را از نیام کشید و در هوا چرخاند .	چرخاند	17	Sing
این پیرمرد حدود صدساله که رئیس قریش و بسیار شریف و عزیز بود آن چنان این کودک را مورد مهر و محبت قرار داد که عقدهٔ کم‌محبتی در این کودک مطلقاً به وجود نیاید و نیامد .	نیاید	33	Sing
البته امروز در نظام اجتماعی ما ، آن جناحهایی که من عرض کردم که بعضی بیشتر به ارزشها توجه می‌کنند ، بعضی به تحول و پیشرفت توجه می‌کنند همدیگر را کمتر تحمل می‌کنند !	کردم	12	Sing
اگر به هیچکدام از این سه پیشنهاد عمل نکند ، پیشنهاد چهارم صیلم خواهد بود و امام حسین ) ع ( مردم را به پیمان سوگند ) حلف الفضول ( فرامی‌خواند .	نکند	8	Sing
بچه دیو از صدای جیغ مردم ترسید و تنوره‌ای کشید و به گریه افتاد .	افتاد	13	Sing
تحویلدار یک بانک در شعبه صادقیه گفت : از ساعت ۷ صبح دهها تن از سپرده‌گذاران در مقابل این شعبه به انتظار ایستادند تا سپرده‌های خود را از بانک خارج سازند .	ایستادند	22	Plur
حاکم به‌آسانی بر نقطه‌ضعف آنان انگشت می‌نهد .	می‌نهد	6	Sing
وزیر روی آن دراز می‌کشد خود را می‌پوشاند ، و پاهای برهنه‌اش را در اختیار غلامانش می‌گذارد .	می‌پوشاند	7	Sing
عرض کردم که مخاطب ما عادت دارد پیام مستقیم بشنود و مستقیما حکم بشنود و راه‌حل پیدا کند .	بشنود	13	Sing
دهانش آب افتاده است .	افتاده	2	Sing
مثل یک ساختمانی است که شما برای ۲۲ طبقه برنامه‌ریزی می‌کنند و بعد بگویند آقا ، ساختمان قشنگی شده ، ۲۲ تا دیگر رویش بساز !	بساز	24	Sing
اداره پست کشور کانادا به مردم اجازه داده است با چاپ تمبرهای مورد علاقه خود ، آن‌ها را در مکاتبات به کار برند .	برند	22	Plur
اصولاً درد اصلی مردم در انقلاب همین بود که دین را در این عرصه‌ها غائب می‌دیدند .	می‌دیدند	15	Plur
در دوران جاهلیت همان طور که گفتیم تجارت می‌کرد ؛ به شام و یمن می‌رفت ؛ در کاروان‌های تجارتی سهیم می‌شد و شرکایی داشت .	گفتیم	6	Plur
زیبای من ، هر وقت آوازی می‌خوانی ، از من یاد کن .	می‌خوانی	6	Sing
نیازاف اضافه کرد ما برای ملت ایران احترام قائلیم و طی هشت سال گذشته روابط خوبی با این کشور همسایه داشته‌ایم .	داشته‌ایم	20	Plur
پیرمرد خودش که گوش شنوا نداشت فکر می‌کرد ما هم نمی‌شنویم ، یا این که می‌خواست طعنه بزند و بگوید همه این حرفهایی که شما در باب قنات درین میکروفون می‌زنید چیزی است از نوع همین پف‌ها .	می‌خواست	15	Sing
بنابراین به زنان توصیه می‌شود در طول دوران بارداری با مراجعه به پزشک تحت نظر قرار گیرند تا در صورت پیدایش هر گونه عارضه‌ای هرچه سریع‌تر درمان شوند .	گیرند	16	Plur
نظرسنجی کنید ببینید چند درصد مردم با اطلاعیه‌های قوه قضائیه قانع شده‌اند .	ببینید	2	Plur
برای این که اگر او از وظیفه تخلف بکند ، ضمانت اجرا از دست خواهد رفت .	بکند	8	Sing
مردم می‌خواستند که حکومت متعلق به آن‌ها باشد ؛ برخاستهٔ از آن‌ها باشد ؛ رأى آن‌ها در آن اثر داشته باشد .	برخاستهٔ	9	Sing
چون ما هم فرد را در نظر گرفتیم و هم جامعه و کلا ، مردم و مسئولان را .	گرفتیم	7	Plur
اگر کسی او را آزرده می‌کرد ، در چهرهٔ او آزردگی دیده می‌شد ؛ اما زبان به شکوه باز نمی‌کرد .	می‌شد	12	Sing
آن قدر که زمین بلرزد !	بلرزد	4	Sing
دانشمندان پشت سر هم کلیدهای رایانه را می‌زدند و اطلاعات می‌خواستند .	می‌خواستند	10	Plur
۳ - آری قرآن بیزاری از خدا و پیامبرش نسبت به مشرکین پیمان‌شکن را اعلام می‌دارد .	می‌دارد	15	Sing
تو هم که از مرگ گریزی نداری .	نداری	6	Sing
آقازاده اضافه کرد : سازمان انرژی اتمی ایران درخواست می‌کند که مرکز کرج به عنوان یکی از مراکز کمکهای فنی آژانس در زمینه کشاورزی و پزشکی منطقه شناخته شود .	شناخته	27	Sing
به خاطر موهای نیما رئی‌س چهار روز کار عقب افتاد .	افتاد	9	Sing
نماینده خدا هستیم و بقیه نمی‌فهمند را کجا خوانده و یا شنیده‌اید !	نمی‌فهمند	5	Plur
هرکس هم امتناع کند و نپذیرد ، آن وقت شمشیرش را از نیام کشید و در هوا چرخاند .	نپذیرد	5	Sing
تمام روزنامه‌ها یک هفته متوالی نوشتند که : بله این سفیران خارجی بودند که سه چهار ساعت تمام نشسته بودند و چلوکباب حسین‌جانی را می‌خوردند و درباره کتابهای باستانی پاریزی صحبت می‌کردند .	نوشتند	5	Plur
ما روی موضوع انگشت گذاشتیم و هیچ کس به ما نگفته چرا این کار را کردی ؛ ممکن است در مرحله‌ای که می‌خواهید کار را پخش کنید ، ایراد بگیرند .	می‌خواهید	22	Plur
و به کاهش تنش‌ها و تشنجات در عرصه‌های فرهنگی و سیاسی نپردازد ، کدام وظیفه ، رسالت و مأموریت دینی و اسلامی را مهم و مقدم می‌شمارد ؟	نپردازد	11	Sing
از خبرنگاران و عکاس‌ها هم خبری نبود .	نبود	6	Sing
زمان تخلیه ذخایر کربوهیدرات بدن بسیار کوتاه است و لذا باید هر روز در اختیار بدن قرار گیرند .	گیرند	17	Plur
عبدالمطلب آن چنان او را عزیز و گرامی می‌داشت که مایهٔ تعجب همه می‌شد .	می‌داشت	8	Sing
همه ما باید عشق به حیات را دریابیم و زندگی را دوست بداریم .	دریابیم	7	Plur
وضعیت ما راه و انتخاب سومی است که نه به‌تمامی از غرب می‌گذرد و نه دریچه‌هایش را بر روی هر دیگری می‌بندد .	می‌گذرد	12	Sing
حالا در مورد برنامه شما این اتفاق نیفتاده ؛ شما پیام مستقیم ندادید ؛ فرم و ساختار جدیدی ایجاد شده .	نیفتاده	7	Sing
او زیر سایه درختی نشسته ، پایش را در جوی آب کرده و نگاه می‌کند .	نشسته	4	Sing
در جنگ صفین ، سر عمار را افراد معاویه قطع کردند و به نزد معاویه بردند و افراد او هر کدام مدعی بود که او سر عمار را بریده است یا عمار را به قتل رسانیده است .	بردند	15	Plur
زمانی که این سه ژن تقریباً یکسان جهش می‌یابند ، اثرات جهش آن‌ها به طور نامحدودی تکرار می‌شود و به طور پایان‌ناپذیری ارگان‌ها گل را تولید می‌کنند و این عمل پی در پی تکرار می‌شود .	می‌یابند	8	Plur
در مطبوعات ما دستمان بازتر است ، چون می‌دانیم مخاطب خاص خودش را دارد ، اما تلویزیون مخاطب عام دارد و آن را هم در دورترین نقطه نگاه می‌کنند ، هم در یک شهر بزرگ .	می‌دانیم	8	Plur
یعنی این که این آدم عملا باید به جایی می‌رسید که بچه‌ها بهش می‌گفتند : بابا تو دیوانه‌ای ؛ تو اصلا نمی‌توانی زندگی کنی .	می‌گفتند	13	Plur
[ ردیف میانی نیمکت‌ها ] اولی : منم هستم ا … ببین .	ببین	11	Sing
در قسمتهای اول مرتب می‌رفت به سرداب و در قسمتهای آخر خیلی کم‌دیالوگ‌تر شد و اصلا با خودش حرف نمی‌زد .	نمی‌زد	19	Sing
احمد مایل است انشا بخواند : سیخ می‌نشیند .	می‌نشیند	7	Sing
اصلا به این فکر کرده‌اید ؟	کرده‌اید	4	Plur
اگه نمی‌خوای ، جواب نده .	نمی‌خوای	1	Sing
اما طی گفتگو بر روی میز شام حدس زده می‌شد که وی به ادبیات فارسی هند علاقهٔ عمیقی دارد ، گرچه آشکار نبود که با وجود ناتوانی جسمانی ، بحر ذخار هندشناسی در قلب وی موج زند .	می‌شد	9	Sing
به این خیلی توجه داشتیم که این برنامه باید از نظر بصری خیلی متفاوت باشد .	داشتیم	4	Plur
۵ - به طور کلی برنامه‌های دینی شبکه‌های سه و چهار باید عبادت ، اندیشه و عمل سنتهای اصلی دینی‌ای را که اکنون در بریتانیا وجود دارند ، منعکس سازند .	سازند	29	Plur
وضعیت ما راه و انتخاب سومی است که نه به‌تمامی از غرب می‌گذرد و نه دریچه‌هایش را بر روی هر دیگری می‌بندد .	می‌بندد	21	Sing
چگونه می‌توانم مشکلم را حل کنم و آیا با توجه به این که من تابعیت ایران را دارم می‌توانم از حمایت حقوقی ایران برخوردار باشم ؟	می‌توانم	18	Sing
بعد که توضیح داده شد معلوم شد پیرمرد چه می‌گفته است .	می‌گفته	9	Sing
همچنین آنطور که می‌بایست مورد مطالعهٔ علما و فضلا غیر از احمد گلچین قرار نگرفته‌اند .	نگرفته‌اند	14	Plur
معاویه به شمشیر برهنه‌ای هم نیاز داشت که به عنوان نماد سلطه و ستم او تیغه‌اش در برابر چشمان مردم بدرخشد تا بدانند راهی برای مخالفت وجود ندارد .	بدانند	22	Plur
یعنی خواستید برای ارائه معضل راهکار بدهید که حالا چه بکنیم که فقر و اعتیاد تعدیل پیدا بکند یا این که فقط می‌خواهید به مسئولان بگویید که یک همچین معضلاتی هم هست ؟	هست	31	Sing
فکرم این بود که به این وسیله یک فضای خیلی دلگیر و وهم‌آلود به وجود بیاورم و این که انسان شایسته نیست در این فضا باشد .	بیاورم	15	Sing
بعد ما آمدیم در کارهای نمایشی‌مان ابتدا و انتهای یک زندگی پر از مشکل را نشان دادیم .	آمدیم	2	Plur
وسط حرف ما حرف بزنی ، دوباره دور سماور می‌چرخم ، دمب سبیل ما دستش است ، تهدید می‌کند این نالوطی .	بزنی	4	Sing
من فکر می‌کنم در هر مملکت و هر جامعه‌ای یک سری خط قرمز هست و درست هم هست و یک سری خط قرمز هم هست که خود ما به وجود می‌آوریم و درست هم نیست .	می‌آوریم	30	Plur
نخیر ، مردم می‌دانستند ؛ مردم اسلام را می‌خواستند .	می‌خواستند	8	Plur
لیکن می‌شود که او را دستور دهی تا یک سال یا دو سال به اخلاق اینان درآید .	درآید	16	Sing
یک جایی هم می‌گویم : مخاطب تو خودت باید بدوی ؛ تا کی من باید به این عقب‌ماندگی تو جواب مثبت بدهم ؟	بدهم	21	Sing
این اتفاق افتاده ؟	افتاده	2	Sing
یک چیز جالبی که در این برنامه بود و اینجا جا دارد گفته بشود ، تدوین و مونتاژ این برنامه بود .	بشود	13	Sing
مقام‌های پلیس هنوز گروه خاصی را در مورد این بمب‌گذاری متهم نکرده‌اند .	نکرده‌اند	11	Plur
شهدالله اگر هزاران دلار و مارک به جرائد می‌داد اینهمه اسم قالی بهارستان یک هفته تمام در جرائد برده نمی‌شد و	نمی‌شد	19	Sing
بورن خوب توانسته بین اجزای کارش پیوند بزند و دنیایی را بیافریند که کاملا گویای ذهنیت اوست .	بیافریند	11	Sing
نمی‌گوییم جنگ و دعوا و مبارزه کنند ؛ اما موضع خود را مشخص کنند ؛ این حرف ما به جناحهای سیاسی است .	نمی‌گوییم	0	Plur
مادر چای می‌ریزد .	می‌ریزد	2	Sing
اسامه گفت : می‌ترسم در این حال بمیرم .	بمیرم	7	Sing
زمانی که من این بخش را دیدم احساس جالبی داشتم .	دیدم	6	Sing
بدل‌سازی و آلترناتیو روزنامه رسالت در مقاله سیاسی خود با عنوان " خاتمی ، بودن یا نبودن ؟ " نوشته است : ارتباط میان یک جریان اجتماعی با هژمونی هدایت‌کننده آن ارتباطی ویژه است .	نوشته	19	Sing
من خیلی دوست داشتم که بازیگرهایم را هیچ کس نشناسد ؛ یعنی اکثرشان تازه‌کار باشند .	داشتم	3	Sing
دلم می‌خواست این جوری بشود ، ولی نشد ، این یعنی راهکار دادن .	می‌خواست	1	Sing
معاویه برای یزید نامه‌ای نوشت که به گونه‌ای شراب ننوش که اعتبار و آبرویت آسیب ببیند .	ننوش	9	Sing
مثلا در سری قبل ما یک داستان دوقسمتی داشتیم درباره مردی که سی سال در کوهها زندگی کرده بود .	داشتیم	8	Plur
بدانید آن چیزی که می‌تواند این کشور را نجات بدهد ، همان چیزهایی است که همه در اسلام مندرج است و اسلام است که می‌تواند .	بدانید	0	Plur
کسی که جنس را خریده بود ، عاص‌بن‌واال بود ؛ او مرد گردن‌کلفتِ قلدری از اشراف مکه بود .	خریده	4	Sing
اجازه دهید قدری دربارهٔ این ادعا تأمل کنیم و از خود بپرسیم آیا واقعاً مردم ایران در انقلاب اسلامی که سخنران محترم در برلین از آن به عنوان انقلاب بهمن ۱۳۵۷ یاد کرده واقعاً نمی‌دانسته‌اند که چه می‌خواهند ؟	نمی‌دانسته‌اند	34	Plur
دخترک چند قدم جلوتر رفت و گفت : من همهٔ این‌ها را توی قصه خوانده‌ام .	خوانده‌ام	14	Sing
اما چیزی که به برنامه سمت و سوی دیگری می‌دهد این است که مسئولان دوست دارند معضلات را بشنوند و راهکار را خودشان کشف کنند .	بشنوند	18	Plur
به هیچ کس اجازه نداد که بفهمد او دارد به سمت مکه می‌رود ؛ کاری کرد که تا نزدیک مکه ، قریش هنوز خبر نداشتند که پیامبر دارد به مکه می‌آید !	بفهمد	6	Sing
ما باید برنامه‌هایی بسازیم که هم آن خوشش بیاید و هم این آدم به دردش بخورد .	بسازیم	3	Plur
به طور همزمان ، همهٔ گروهها و جناحها در زیر خیمهٔ انقلاب را به حفظ وحدت و کاستن از فاصله‌ها فرا خوانده‌اند که این عین مصلحت انقلاب و نیاز امروز جامعه است .	خوانده‌اند	21	Plur
بچه دیو گفت : من از شمشیرهای آن‌ها نمی‌ترسم .	نمی‌ترسم	8	Sing
آیا می‌خواهید که رژیم را سرنگون سازید و به جای آن چه نوع رژیمی را می‌خواهید برقرار سازید ؟	سازید	6	Plur
یعنی خواستید برای ارائه معضل راهکار بدهید که حالا چه بکنیم که فقر و اعتیاد تعدیل پیدا بکند یا این که فقط می‌خواهید به مسئولان بگویید که یک همچین معضلاتی هم هست ؟	بکند	17	Sing
سنگ مرمری را که بر گور فاتح چین بود در برابر زائر بزرگی که به زانو درافتاده و پشت به احترام خم کرده بود برداشتند ، اما تیمور به خود لرزید و از وحشت سر برگردانید .	لرزید	30	Sing
معاویه به ضحاک بن قیس فهری گفت : وقتی من بالای منبر رفتم و موعظه را آغاز کردم و قدری سخن گفتم ، تو برخیز و از من اجازه سخن گفتن بخواه !	بخواه	31	Sing
شیعیان پدرت را کشتیم و کفن و دفن کردیم و بر آنان نماز خواندیم !	کشتیم	3	Plur
گوای همهٔ آن را از اجزاء غزل سعدی ساخته‌اند .	ساخته‌اند	8	Plur
پس ، ما الگو را نه از رژیمهای شرقی و نه از رژیمهای غربی گرفتیم ؛ ما الگو را از اسلام گرفتیم و مردم ما بر اثر آشنایی با اسلام ، نظام اسلامی را انتخاب کردند .	گرفتیم	14	Plur
عده‌ای می‌خواستند در برنامه صحبت کنند ، اما ما امکان این کار را نداشتیم .	می‌خواستند	1	Plur
یعنی هیچ کس نمی‌داند عشق چیست و تنها پیرمرد است که می‌داند .	نمی‌داند	3	Sing
احمد جان یه کاری برا مادر بکن .	بکن	6	Sing
به هر حال بیگمان هر دو دیدگاه راه به خطا می‌پویند .	می‌پویند	10	Plur
لذا شما شنیده‌اید که وقتی پیامبر اکرم به مدینه هجرت کردند ، امیرالمؤمنین را در مکه گذاشتند تا امانتهای مردم را به آن‌ها برگرداند .	شنیده‌اید	2	Plur
یک چیز دیگر که این مساله را مضاعف کرد این بود که تعمدا قرار است که این گروه خیلی هم گروه فرهنگی و همبسته‌ای که قرار است یک کار خوب بکنند ، نباشند .	بکنند	30	Plur
زیرا من نیز همه جا ترانه‌های خودم را با یاد تو در خواهم آمیخت .	آمیخت	13	Sing
بچه دیو هر روز بالای تکه‌ای ابر می‌نشست و به نقطه‌ای دور خیره می‌شد .	می‌نشست	7	Sing
امام حسین ) ع ( گفت : پیش از آن که از دنیا بروی بدهی تو را می‌پردازم و همین کار را کرد .	بروی	13	Sing
سعدی سر برداشت و به چهرهٔ او نگریست ، و سلطان از گفته خود شرمگین شد ، اما چون سخت به خود غره بود اقرار به خطا را نشان ضعف دانست .	نگریست	7	Sing
فراتر از سه قرن پس از درگذشت او به مجموعه‌هایی برمی‌خوریم که به قصد جمع‌آوری رباعیات خیام تألیف شده‌اند و برخی از آن‌ها در حدود پانصد رباعی را در بر دارند .	برمی‌خوریم	10	Plur
عده‌ای به نزد او آمدند و گفتند این تصمیم ولایتعهدی یزید تصمیم درستی است .	آمدند	4	Plur
آیا می‌خواهید که رژیم را سرنگون سازید و به جای آن چه نوع رژیمی را می‌خواهید برقرار سازید ؟	می‌خواهید	15	Plur
نگاه احمد به کنار دستش به کیف می‌لغزد .	می‌لغزد	7	Sing
بعد از این که سه روز با یک گریم ازش فیلم گرفتیم ، کار را تعطیل کردیم و سه روز اول را دوباره با گریمی دیگر گرفتیم .	گرفتیم	11	Plur
ولی اگر تازه‌کار می‌بردیم ، دچار مشکل می‌شدیم ، چون کار با آن‌ها زمان زیادی می‌برد .	می‌بردیم	3	Plur
مقصودم تبلیغاتی است که می‌خواست به مردم القا کند ، که راه‌پیمایی‌ها به دعوت گروههای سیاسی ملی‌گرای غیراسلامی و غیرمذهبی صورت گرفته است .	می‌خواست	4	Sing
وقتی همکاران به تکرار در باب ماجرای لواسان گفتگو کردند ، گفتم : دوستان عزیز ، تصور نفرمایید که ده بیست تا سفیر خارجی به تهران آمده‌اند که روزها تسبیح بشمارند و شبها چشم بر کتابهای باستانی پاریزی بگمارند .	نفرمایید	17	Plur
دکتر هانت از دانشگاه لندن و همکارانش ، با مطالعه ژن گیرنده ماده پی در موش‌ها ، به بررسی اثرات این ماده در اعتیاد به کوکائین و مرفین پرداختند .	پرداختند	28	Plur
نه انتخاباتی در این کشورها بود ، نه رأى مردمی در کار بود ؛ اما به خودشان دمکراتیک هم می‌گفتند و ادعای مردمی بودن هم داشتند .	می‌گفتند	19	Plur
بغض احمد می‌ترکد و گریه می‌کند .	می‌ترکد	2	Sing
گفت : بی بی سی را هم نشنیدید ؟	نشنیدید	7	Plur
در پایان این بیانیه پنج صفحه‌ای اظهار امیدواری شده است که خداوند دلهای این ملت را قوت و آرامش عنایت فرماید و اندیشه خیرخواهان را به مصالح ملت رهنمایی نماید و فتنهگران را رسوا و ناکام سازد .	سازد	36	Sing
احمد زیر نگاه آنان طاقت نمی‌آورد و از جا کنده می‌شود و به اتاق می‌دود .	می‌دود	14	Sing
آنچه دربارهٔ عاجزی در عرفات نگاشته شده نتیجه واضح و روشنی به دست نمی‌آید ، و نزد من کتابهایی موجود است که ذکر عاجزی در آن نیامده اما به هر حال تحقیق دربارهٔ وی ضروری است .	نیامده	26	Sing
پاشو بابا ، فرصت زیاده و دست به طرف او دراز می‌کند .	پاشو	0	Sing
یعنی تا این حد بزرگترین مشکلات را از جلوی پای من برداشتند .	برداشتند	11	Plur
احمد به دو می‌دود .	می‌دود	3	Sing
در نهایت ، برای جمع‌بندی قضیه بد نیست بگوییم که چرا اصلا سریال « داستان یک شهر » مخاطب دارد ؟	بگوییم	8	Plur
ما گفتیم بیاییم این را در لقمه حرام مطرح کنیم ، در چیزهایی که مردم بهش اعتقاد دارند و وقتی می‌گوییم مردم سریع می‌فهمند .	می‌گوییم	20	Plur
بچه دیو دلش می‌خواست روی زمین بیاید و مثل اجدادش بجنگد و تنوره بکشد .	بجنگد	10	Sing
در زمان رسول اکرم ) ص ( برخی از مردمی که دارای قوت ایمانی نبوده و گرفتار بیماریهای روانی و ضعف روحی بودند ، به یهود و نصاری نزدیک می‌شدند از این که مبادا آسیبی به آن‌ها رسد .	رسد	37	Sing
خطر نمی‌کنند که بروند بگویند آقا این کار ما بیست روز وقت می‌خواهد برای یک قسمتش .	بروند	3	Plur
با پدرم گفتگو داشت و گفت : جناب حاج آخوند ، روزگار تغییر کرده ، شما اگر بخواهید معلم باشید باید عمامه را بردارید ، و اگر بخواهید معمم باشید البته از مدرسه باید استعفا کنید .	بخواهید	17	Plur
تفاوت یزید با معاویه همین بود که یزید عشرت‌طلبی و شراب‌خوارگی خود را عیب نمی‌دانست و نیازی به پرده‌پوشی بر آن احساس نمی‌کرد ، عشرت‌طلبی جزء سرشت و کارنامه ایام او شده بود .	نمی‌کرد	22	Sing
در بین جوامع و اقشار مختلف ، بعضی از مردم برای درمان درد خود به پزشک سنتی و داروهای گیاهی روی می‌آورند .	می‌آورند	21	Plur
ممکن است این دگرگونی در طول سی سال اتفاق بیفتد .	بیفتد	9	Sing
من همیشه گفته‌ام که با دیدن یک فیلم سینمایی و سریال و یا یک برنامه راحت می‌توانید حدس بزنید که پشت صحنه آن چه خبر است .	بزنید	18	Plur
احنف بن قیس در دور دوم سخنان هم بر موضع خود پای فشرد و از یزید حمایت نکرد .	فشرد	12	Sing
