POLYGRAFIA - mezinárodní veletrh polygrafických strojů : 17 . - 20 . 5 . 1994 .	POLYGRAFIA	0	Oth
Titul Dáma roku - Missis 1992 v českých krajích získala 24 letá manekýna Romana Svídenská z Plzně .	Missis	4	Oth
Podle mluvčího MICE Sergeje Novikova se další pokles kursu rublu dal dříve či později očekávat , protože v Rusku existují silné obavy z růstu inflace .	MICE	2	Oth
V semifinále ( 26 . a 27 . 9 . ) se střetnou : Motorlet - Chemie , Horní Suchá - Krč .	Suchá	19	Geo
Tento poslední požadavek splňuje ve většině případů FSČ , pracuje většinou s celými texty , z hlediska lexikální statistiky s totálně vyexcerpovanými texty .	FSČ	7	Pro
Loutka Kašpárka z první poloviny 19 . století , pocházející údajně ze souboru marionet Matěje Kopeckého	Kašpárka	1	Giv
Výstava Otto Herberta Hajeka Ikonosféra III . bude od zítřka přístupná v pražské galerii Miro v kostele sv . Rocha ( Strahovské nádvoří ) a potrvá do 2 . října .	Ikonosféra	4	Oth
30 . března 1994 : Pink Floyd vydali druhé album bez Rogera Waterse The Division Bell .	Rogera	11	Giv
V úvodu zdůraznil předseda CSU a spolkový ministr financí Theo Waigel dva hlavní předvolební cíle strany .	Theo	9	Giv
Už syn Boleslava # Strachkvas přijal roucho benediktinské v řezenském klášteře * Jimrama , jeho sestra Mlada se stala abatyší prvního ženského kláštera při chrámu * Jiří na Pražském hradě .	Jimrama	12	Giv
V Brémách budou přestupovat na vlak do Ostende , kde se nalodí na parník Bretaň , který je po osmi dnech vyloží v sídle OSN .	Bretaň	14	Geo
Brno , Výstaviště : HOGA - mezinárodní veletrh potřeb pro sport , hobby a volný čas , 10 . - 14 . 4 . 1944 .	HOGA	4	Oth
Plastex má již tradiční ráz .	Plastex	0	Oth
Jejich přehled byl oznámen vedoucím jednotlivých oddělení ÚJČ již na zasedání Ústavní rady ÚJČ , viz příloha k zápisu , pro informaci jej znovu opakujeme .	ÚJČ	13	Com
Podle Josefa Slaniny z ÚDV se podařilo získat dokument , který prokazuje , že StB od začátků odbojovou skupinu infiltrovala a kontrolovala .	Slaniny	2	Sur
VINOVA - mezinárodní odborný veletrh vín , vinařství , skladovacích staveb a vinařské techniky : 9 . - 13 . 6 . 1994 , Výstavní centrum Prater - střed .	VINOVA	0	Oth
Zdá se , že návrh připlul po Vltavě jako Mojžíš ve vysmoleném košíčku , vyslán - dle mínění pana Macka - chůvami z Čalfova kabinetu .	Vltavě	7	Geo
CPD - Collections Premieren Düsseldorf - 31.8 . - 3.9 . 1994 .	Düsseldorf	4	Oth
Mezi motocyklisty byl nejrychlejší Francouz Peterhansel , na vedoucí pozici Itala Petriho to však nic nezměnilo .	Itala	10	Nat
Vo - van - Kiet vietnamským premiérem	Kiet	4	Giv
Včera to řekl vedoucí marketingu Janky Marek Vodička .	Janky	5	Giv
Pražský komorní orchestr hraje zpravidla bez dirigenta , pod taktovkou Giacoma Zaniho dosáhl nejlepší úrovně již v temperamentně zahrané ouvertuře , ale i v doprovodných úkolech .	Giacoma	10	Giv
22.20 Classic ' 93	Classic	1	Oth
CPD - Collections Premieren Düsseldorf - 31.8 . - 3.9 . 1994 .	Premieren	3	Oth
Podtrženo a sečteno - pět kandidátů , z toho tři vážní : Kořínková , Paroubek a Buzková .	Paroubek	14	Sur
Tři podniky před koncem seriálu EP je strategií jezdce týmu IMC SPAGG získat titul : Každopádně chci dojíždět ve špičce , ale již teď hodnotím sezonu nad očekávání úspěšně .	IMC	10	Com
Shapiro očekává , že pomocí radiointerferometrů s dlouhou základnou budou precesní konstanta a ekvinoktium určeny s přesností * .	Shapiro	0	Sur
Po špatném začátku se začíná probouzet mistrovský Paris St . Germain , který porazil díky střele liberijského kanonýra Weaha AS Monako 1 : 0 a s osmi body se vyšplhal na 11 . příčku .	Monako	20	Geo
Jak řekl LN ředitel Městské nemocnice v Litoměřicích MUDr . Miroslav Jiránek , byli první čtyři pacienti doslova nadšeni .	Jiránek	11	Sur
Pořadí aut a motocyklů se nezměnilo , nadále vedou Lartigue ( Citroen ) a Peterhansel ( Yamaha ) .	Lartigue	9	Sur
Náhradnice Fialová .	Fialová	1	Sur
V roce # se vyráběl automobil pod názvem Škoda Popular , s přijatelnou cenou # * .	Popular	9	Pro
Jiří Bubák , Heřmanův Městec	Bubák	1	Sur
Nets chtějí pomoci nejschopnějším studentům k dosažení dobrých výsledků ve studiu i ve sportu .	Nets	0	Com
ISPO - Frühjahr - 40 . mezinárodní odborný veletrh sportovních potřeb a módy : 24 . - 27 . 2 .	Frühjahr	2	Oth
Nepřijede však původně ohlášený americký zpěvák Johny Cash , který si podle pořadatelů kladl neúměrné podmínky a jeho agentura prý přistupovala k jednání velmi liknavě .	Cash	7	Sur
Jednání ústavní rady zahájil a řídil ředitel ÚJČ ČSAV Horálek .	ÚJČ	7	Com
Vůdci fundamentalistické Islámské fronty spásy ( IFS ) včera oznámili , že do roka se Alžírsko stane islámským státem .	Alžírsko	15	Geo
Již jsem několikrát řekl , že kdybych měl na celém spektru novin hledat deník , o kterém bych si myslel , že je dlouhodobě mým postojům nejbližší , tak by to byl Telegraf .	Telegraf	32	Pro
Katastrofa se odehrála takto : na zádi ponorky Komsomolec , která se 7 . dubna 1989 plavila jižně od Špicberků , vypukl požár .	Špicberků	19	Geo
JUDR . TOMAŠ POHL	TOMAŠ	2	Giv
* Krajinová .	Krajinová	1	Sur
Vynechat Británii by bylo asi divné , ale co Island , Azory , nebo Špicberky , když už Grónsko budeme počítat spíše k Americe ?	Grónsko	18	Geo
Michel Foucault : Diskurs , autor , genealogie .	Foucault	1	Sur
Další postup je zaměřen především pro závod Smidary , dále pak pro závod Zálabí .	Zálabí	13	Geo
VÝSTAVY : Po přehuštěných Ohniscích znovuzrození rozzářily se vyčištěné prostory Galerie hlavního města Prahy v Městské knihovně vzdušnou expozicí objektů JINDŘICHA ZEITHAMMLA ( 1949 ) .	JINDŘICHA	20	Giv
Změna volebního systému měla Mexičanům zaručit , že hlasování proběhne bez podvodů , které pro ně byly až doposud charakteristické .	Mexičanům	4	Nat
Belgičan Michel Preud ' homme z Benfiky Lisabon je podle ankety společnosti nazvané Mezinárodní federace fotbalové historie brankářem roku .	Belgičan	0	Nat
Chystá se Inteco - Arbien	Inteco	2	Oth
Škoda Octavia se v provedení Combi vyráběla až do konce roku # .	Octavia	1	Pro
Stabat Mater Antonína Dvořáka zazní dnes pod taktovkou francouzského dirigenta Michela Moureaua v nymburském chrámu sv . Jiljí ( 19.30 ) v rámci mezinárodního festivalu duchovní hudby Dny B . M . Černohorského .	Michela	10	Giv
