Les grévistes dénoncent une dégradation de leurs conditions de travail , à l' origine selon eux de l' usure et de la fatigue qui peuvent mener à des accidents tels que la catastrophe de Hal .	dénoncent	2	Fin
Bien qu' ils cultivent l' art de disparaître derrière les auteurs qu' ils défendent , les éditeurs ont une histoire parfois aussi palpitante que celle des personnages de roman .	cultivent	3	Fin
La guerre russo-suédoise de 1590-1595 se termina par le traité de Teusina ( Tyavzino , Tyavzin ) selon lequel la Suède devait céder l' Ingrie et le Kexholm à la Russie .	termina	6	Fin
L' état de santé du manager , qui se trouvait toujours en observation jeudi matin , n' inspire pas l' inquiétude .	inspire	17	Fin
Quelle mesure devrait s' imposer en priorité pour réformer les retraites ?	réformer	8	Inf
Billy Campbell est un personnage fictif de la série américaine Melrose Place , interprété par l' acteur Andrew Shue .	interprété	13	Part
J' ai pu assister à la fabrication d' estampage .	assister	3	Inf
Les résultats sont plus mitigés pour d' autres études , bien qu' elles soient faites chez des personnes dites .	dites	18	Part
L' internaute peut à tout moment saisir une question et l' envoyer au modérateur .	saisir	6	Inf
Sur ce morceau Johnson entame le premier chorus suivit par Winding .	entame	4	Fin
Les Red Wings , premiers de la LNH , accèdent à la finale de la Coupe mais sont une nouvelle fois battus par les Maple Leafs , toujours en quatre rencontres .	accèdent	9	Fin
Cela dura jusqu' à ce que Toyotomi Hideyoshi n' envahisse Kyūshū .	envahisse	9	Fin
Avec Brian FitzCount , il mène un détachement qui escorte l' Emperesse dans sa fuite vers son château de Ludgershall , car la position de ses troupes semble intenable .	escorte	9	Fin
Basé sur des données après commercialisation .	Basé	0	Part
Des allume barbecues solides sous forme de cube ( à tenir hors de portée des enfants , pour prévenir les risques d' ingestion ) ou éventuellement des allume barbecues liquides spécialement conçus pour cet usage sont à préférer .	allume	1	Fin
Son couronnement marque la fin du Zemene Mesafent , le début de l' histoire moderne du pays et l' initialisation du processus de centralisation achevé sous Hailé Sélassié I.	achevé	24	Part
Dans la maison , qu' elle partageait avec sa compagne , l' écrivaine suisse Simone Gentet , plus jeune qu' elle de dix ans , elle cachait des clandestins .	partageait	6	Fin
Il en revient transfiguré .	transfiguré	3	Part
Je vous rappelle en outre , Madame la Présidente , que ce parlement a voté par deux fois la confiance au président Prodi lors de la précédente législature ;	rappelle	2	Fin
Il renforça considérablement sa puissance en offrant refuge à des guerriers Pathans .	offrant	6	Part
- de former / informer le nouveau personnel et d' étendre la formation aux secteurs qui ont moins bénéficié du programme Pericles , à savoir les agents financiers , le ministère public et les techniciens ;	informer	4	Inf
Le début de l' histoire du domaine à Little Hunting Creek est distinct de l' histoire de la maison , qui ne débute pas avant 1741-42 et qui ne fut occupée la première fois qu' en 1743 .	occupée	30	Part
Ces dispositions -ci ne sont pas affectées par le choix du régime matrimonial ( art. 226 ) .	affectées	6	Part
Benoît XVI écrit dans cette Lettre : « les Etats ont le droit de réglementer les flux migratoires et de défendre leurs frontières , en garantissant toujours le respect dû à la dignité de chaque personne humaine » .	garantissant	25	Part
Démis de ses fonctions , Heinrich est convoqué à Berlin .	convoqué	7	Part
Il faut pour aborder un objet le déconstruire et analyser chacune des images que se font de lui les différents acteurs .	déconstruire	7	Inf
À 5 heures de l' après-midi , les Nordistes accrochent l' arrière-garde d' Imboden , qui est postée à un demi-mile des chariots rassemblés et immobilisés , mais ils sont repoussés .	accrochent	9	Fin
Vous pouvez commander des morceaux de Boeuf de plus d' 1 kg servis sur une grande planche que vous dégustez à plusieurs .	servis	12	Part
Ces changements furent mal accueillis au Vietnam et considérés comme un signe avant-coureur du retrait français .	accueillis	4	Part
Le ralliement de la majorité des députés NNP à l' ANC lui permet de contrôler 71 % des députés à l' assemblée d' Afrique du Sud et de réformer à sa volonté la constitution .	réformer	28	Inf
La victoire sur Satan consiste à échanger les vies de l' imparfait ( l' humanité ) contre la vie du parfait ( Jésus ) .	consiste	4	Fin
À peu près à cette époque , Anna Williams vient habiter chez Johnson ;	habiter	10	Inf
Le bilan des violences restait difficile à évaluer .	évaluer	7	Inf
Vittoria se précipite pour rejoindre son époux , mais la nouvelle de sa mort l' atteint avant qu' elle n' arrive .	précipite	2	Fin
Le 7 juin 2006 , Dominique de Talancé a été désaisi du dossier et remplacé par Xavière Simeoni , puis Françoise Desset .	désaisi	10	Part
Nous avions déjà souper dans cet établissement il y a quelques mois ( 5 personnes ) .	souper	3	Inf
Le peuple seul est en mesure , par sa mobilisation et sa détermination , de renverser les régimes dictatoriaux et autoritaires .	renverser	15	Inf
Les premiers missionnaires , protestants et catholiques , arrivés au tournant du XXe siècle convertissent l' ensemble des indigènes et poussent à l' abandon des cultes traditionnels ainsi que de certaines pratique sociales .	convertissent	14	Fin
Le 29 juillet 1942 , Le Présidium du Soviet Suprême crée l' Ordre de Souvorov afin de récompenser le succès d' actions offensives contre des forces supérieures ennemies .	récompenser	17	Inf
Sur le plan intérieur , des querelles au sein de la famille Paléologue conduiront à une série de guerres civiles qui affaibliront encore plus l' empire .	affaibliront	21	Fin
Peut-être Hendrix aurait -il remplacé Bleeding Heart par Come Down Hard On Me ( dont la composition est très proche ) ?	remplacé	4	Part
La Commission européenne a délivré une autorisation de mise sur le marché valide dans toute l' Union européenne pour Aclasta à Novartis Europharm Limited , le 15 avril 2005 .	délivré	4	Part
Le club se placera à la place avant la trêve hivernal et terminera la saison à la place , n' assurant son maintient dans l' élite à deux journées de la fin .	placera	3	Fin
Il remplace Enrico Contini partit en Italie avec sa femme Biggi .	remplace	1	Fin
Seul Hugues de Pairaud a admis avoir vu la « tête de l' idole » qu' on accusait les Templiers d' adorer ;	admis	5	Part
Ils tinrent 134 réunions officielles afin de mesurer l' étendue et les progrès du projet .	tinrent	1	Fin
De plus , leurs appareils sont garantis au moins 2 ans pièces , main d' oeuvre et déplacement .	garantis	6	Part
Dès la première campagne , Jean-François Brignole-Sale fut de tous les combats , déployant une immense activité .	déployant	13	Part
J' ai aussitôt adressé un chéque à l' adresse indiquée et à l' ordre du trésor public d' un montant de 11 € .	indiquée	9	Part
Pas un chef d' œuvre donc , ce qui peut expliquer un succès mitigé au box-office mondial .	expliquer	10	Inf
Elle est torturée , puis traduite devant le tribunal militaire de la Feldkommandantur d' Arras , et est condamnée à mort .	traduite	5	Part
Éric Halphen est dessaisi de l' affaire et remplacé par le juge Armand Riberolles .	remplacé	8	Part
Il ne pouvait donc être déplacé par son seul équipage et devait être remorqué ( par exemple par un tracteur d' artillerie Morris C8 ou Crusader II ) ;	déplacé	5	Part
La demeure a survécu à la guerre et existe encore à l' identique de nos jours .	survécu	3	Part
Son état s' est dégradé , et les offices religieux y sont tombés en désuétude , bien que parfois le prêtre de la paroisse de Carentoir même vienne y rendre la messe .	vienne	27	Fin
Les exhumations de deux de ses anciennes victimes révélèrent qu' ils avaient été empoisonnés .	empoisonnés	13	Part
Une forte campagne est menée pour dénoncer l' accord de pêche en vigueur entre l' UE et le Maroc , qui expire au mois de mars prochain .	dénoncer	6	Inf
Ils ont besoin que la dimension politique fonctionne , qu' il y ait des responsabilités , qu' une communication soit établie avec les citoyens .	établie	20	Part
Les chasseurs le laissent se gaver pour l' alourdir , puis sortent de leur position de guet en criant et courant vers lui .	sortent	11	Fin
À noter un ouvrage de Pascal Dibie sur la commune : Le village métamorphosé .	métamorphosé	13	Part
l' ananas flambé au rhum ne venait pas d' une boite de conserve .	flambé	2	Part
Il avait pour idéal politique de défendre le pays et d' assurer la sécurité du peuple et surtout d' " expulser les Occidentaux et les Japonais " .	expulser	20	Inf
L' Autriche a été le premier pays de l' Union européenne à émettre une pièce de collection : il s' agit de la pièce de 5 euro en argent 2002 consacrée au Zoo de Vienne .	émettre	12	Inf
Il fut le cinquième de six enfants nés d' un gardien qui déménagea sa famille de Joliet , Illinois à Highland Park en 1936 .	nés	7	Part
La tyrolienne a été instrumentée ( dynamomètres , compte-tours , capteurs de température ) et sa configuration géométrique a été évaluée à l' aide d' un théodolite .	évaluée	20	Part
L' appellation « haute couture » est juridiquement protégée et attribuée selon des critères précis de qualité et de quantité , notamment en termes de travail fait main et de modèles exclusifs réalisés sur mesure .	protégée	8	Part
Les quatre espèces de ce genre se rencontrent en Australie et en Nouvelle-Guinée .	rencontrent	7	Fin
C' est pourquoi le positionnement d' une marque s' appuie sur les besoins , les attentes fondamentales , conscientes ou non des consommateurs définis par le marketing mix ( Marketing mix ) .	appuie	9	Fin
Lorsque fut proclamée l' indépendance d' Israël , en 1948 , Herzog demeura dans l' armée du nouvel État .	proclamée	2	Part
Il est impératif de « veiller » , de laisser brûler le « je suis » fondamental sans l' abandonner jamais dans les cendres de ses attributs » .	laisser	9	Inf
Il faut commencer par gagner , et ensuite on bâtira à partir de là .	commencer	2	Inf
Les vengeances tenaces des anciens de la Commune viendront le tourmenter ..	tourmenter	10	Inf
La famille des Geraniaceae est une famille de plantes dicotylédones qui comprend 750 espèces réparties en 3 à 7 genres .	comprend	11	Fin
Menacé par la déforestation et l' exploitation forestière .	Menacé	0	Part
Je le dis pour rappeler la position du parlement .	rappeler	4	Inf
Un arrêté promulgué en 1821 interdit aux femmes publiques de fréquenter d' autres cafés et cabarets que le Wauxhall .	fréquenter	10	Inf
Au cours des siècles , les apophtegmes furent transposés du désert aux couvents et monastères dans le but de contribuer à la formation spirituelle des moines .	transposés	8	Part
Nous informâmes immédiatement La Havane qui nous demanda d' établir le contact sans nous engager à rien car la situation était délicate vis-à-vis de l' Espagne et ils ne voulaient pas que les choses s' enveniment plus encore .	engager	14	Inf
Benoît XVI écrit dans cette Lettre : « les Etats ont le droit de réglementer les flux migratoires et de défendre leurs frontières , en garantissant toujours le respect dû à la dignité de chaque personne humaine » .	réglementer	14	Inf
A leurs yeux les propositions fédéralistes allaient affaiblir les capacités de la Chine à combattre les envahisseurs ou à légitimer les seigneurs de la guerre .	affaiblir	7	Inf
Il a continué ses études à l' École nationale supérieure agronomique de Rennes en tant que boursier du gouvernement français ( 1995-1996 ) .	continué	2	Part
L' histoire du flambage remonte aux Maures qui pratiquaient cette technique au XIV siècle .	pratiquaient	8	Fin
Cette génération est plus sécurisée dans TLS que dans SSLv3 dans la mesure où aucune étape de l' algorithme ne repose uniquement sur MD5 pour lequel sont apparues des faiblesses en cryptanalyse .	apparues	27	Part
Angel décide d' aller voir le démon Skip , qui dit tout ignorer de ce qui se passe avec Cordelia .	ignorer	12	Inf
- Les frégates de Taïwan cherchent preneurs , Libération , 29 octobre 2004	cherchent	5	Fin
Excellente agence et grande efficacité aussi bien pour vendre que pour acheter ou louer un appartement ou une maison , ou un local professionnel ou commercial .	louer	13	Inf
Un jour , Abelforth en eût assez et tenta de convaincre Albus de laisser tomber tous ses plans de grandeur pour s' occuper d' Ariana .	occuper	22	Inf
Un symbole commence à s' imposer comme image d' indicateur d' activité , c' est le rouet .	imposer	5	Inf
La Gestapo le force à révéler la plupart de ses contacts , et tente d' en faire un agent double , mais il parvient à informer le GRU de ce retournement .	informer	25	Inf
Quelle mesure devrait s' imposer en priorité pour réformer les retraites ?	imposer	4	Inf
Lorsque vous créez un mot de passe , utilisez une combinaison de lettres , chiffres et marques de ponctuation , et un minimum de six caractères .	utilisez	8	Fin
Les niveaux 3 et 4 subsisteront sous les appellations de « N4 » et « N5 » respectivement .	subsisteront	5	Fin
Nommé par le garde des Sceaux , le notaire confère un caractère authentique à tous les actes qu' il rédige ( ordonnance du 2 novembre 1945 ) .	rédige	19	Fin
Ils peuvent choisir la quantité et le type de ces mises à jour publiques qu' ils verront dans leur fil d' actualité .	choisir	2	Inf
Sorti en 1947 et comportant quelques prises de vues réelles , il est composé de deux moyens-métrages : Bongo , roi du Cirque et Mickey et le Haricot Magique , présentés par Jiminy Cricket .	présentés	30	Part
Celles-ci étaient partagées en myriarchies , districts administratifs comprenant théoriquement 10_000 familles .	partagées	2	Part
Elle repousse 12 contre-attaque allemande puis entre dans Saint Lô le 18 juillet , puis prend part le 2 aout à l' offensive qui repousse les forces allemandes , hors du Cotentin , sur la Vire .	repousse	24	Fin
Plusieurs biographes notent qu' il doit fréquenter ensuite la Lincoln 's Inn , une des Inns of Court , écoles de droit de Londres .	fréquenter	6	Inf
Il fonda 800 établissements d' enseignement et institutions militaires , et ses améliorations du système scolaire permirent à enfants de se faire scolariser .	fonda	1	Fin
En 1985 , l' Unesco remet un trophée à l' Irak pour l' effort d' alphabétisation dont avait fait preuve le gouvernement à l' égard des filles .	remet	5	Fin
Il compte cinq étages , qui se développent autour d' une cour intérieure .	développent	7	Fin
Bien sûr , si c' est un match en 5 sets , et que tu frôles vraiment la victoire , c' est dur à digérer .	digérer	24	Inf
Il aura fallu attendre l' année où Lyon piétine en championnat pour le voir enfin réaliser quelque chose de grand à l' échelle européenne : c' est là tout le paradoxe soulevé par cette qualification .	soulevé	31	Part
À partir de 440 , les Huns menacent l' Empire d' Orient , ravagent les régions danubiennes et obligent Théodose II à payer un tribut annuel .	ravagent	13	Fin
Elle fut partagée entre l' Empire britannique et la France par l' accord Anglo-Français de 1898 .	partagée	2	Part
[ ... ] Pendant que j' étais là , j' ai vu les soldats irakiens entrer dans l' hôpital avec leurs armes .	étais	6	Fin
Si un utilisateur décide d' annuler son inscription à la " First Class " , Airliners.net réserve le nom du compte au cas où l' utilisateur voudrait joindre à nouveau Airliners.net .	annuler	5	Inf
Quant à nous , voisins arabes et maghrébins , il faut bien reconnaître que les Tunisiens nous ont déjà administré leur leçon .	reconnaître	12	Inf
Bref , en quittant le fournil , chacun ne rêvait que de remettre la main à la pâte avec Sylvie et Daniel .	remettre	12	Inf
Ils y deviennent des figures mondaines de la haute-société bien qu' elle entretienne des relations tendues avec sa mère , qui ne l' aime pas préférant sa sœur , mais l' en excuse : .	entretienne	12	Fin
Il les convainc de rentrer au Mali avec le maximum d' armes et , pendant l' été 2011 , des déserteurs touaregs se rendaient , armés , au Mali .	rendaient	23	Fin
Par exemple , les pages d' index d' un livre reprennent ( parfois ) les termes significatifs apparaissant dans le livre , et les relient aux pages du livre où ces termes ( ou leurs synonymes ) apparaissent .	apparaissant	17	Part
Promu , Ryan travaille désormais pour la direction de Dunder Mifflin à New York , mais revient néanmoins à Scranton pour présenter à ses anciens collègues son nouveau projet : un site de vente par correspondance de l' entreprise .	Promu	0	Part
Les soldats de l' empereur sont ainsi forcés de se retirer à travers les plaines de l' Ashangi , où ils sont une fois de plus soumis à de forts bombardements aériens .	forcés	7	Part
Eugène Pleasants Odum ( né le 17 septembre 1913 -- mort le 10 août 2002 ) est un scientifique américain , pionnier de l' étude écologique des écosystèmes .	né	4	Part
La paroisse dépendit longtemps , pour les deux tiers de la baronnie de Cozes , et pour le tiers restant de la châtellenie de Talmont .	dépendit	2	Fin
Alors , un dauphin , maman dauphin , n' importe quel dauphin - il n' y a qu' une façon pour que le PCB sortent du dauphin .	sortent	24	Fin
Les plus gros trous présents dans le cuivre furent quant à eux lissés , avant d' être obstrués par de nouvelles plaquettes .	obstrués	17	Part
Kay Khusraw peut ainsi reprendre en 1205 , le trône dont Süleyman II Shah l' avait privé en 1197 .	reprendre	4	Inf
Cela provenait du fait que les salariés ne pouvaient pas dépenser leur argent , les magasins étant vides .	dépenser	10	Inf
La bivalirudine reste active et n' est pas neutralisée par des produits dérivés de la réaction de libération plaquettaire .	neutralisée	8	Part
La tour et son spectrographe constituent également un grand banc d' essais sur lequel il est possible de tester des instruments .	tester	18	Inf
Il aurait expliqué aux enquêteurs qu' il s' agissait d' un prêt personnel affirmant même l' avoir remboursé .	agissait	8	Fin
En tant que déesse de première classe , Belldandy maîtrise toutes les sortes de magie , à l' exception de la magie du feu ( dans laquelle elle n' a que quelques notions ) .	maîtrise	9	Fin
Dans le film allemand de 1943 , Titanic son rôle est joué par Erich Stelmecke , dans le film britannique du 1958 A Night to Remember , il est incarné par Kenneth More .	incarné	29	Part
Il faut frapper là où cela lui fait mal en ôtant à cette Institution fondée sur la foi toute crédibilité .	frapper	2	Inf
Cliquez ici pour vous identifier .	Cliquez	0	Fin
Berou , vaincu , décide d' abord de fuir mais en mai 1854 il abdique et finit en prison où il reste pendant quatorze ans .	abdique	14	Fin
Ce garage n' a aucune compétence , très décevant et pourtant la facture se fait ressentir !	ressentir	15	Inf
Parmi ces 74 individus , 29 sont formellement identifiés par leur nom dans un rapport classé du Pentagone dont le New York Times s' est procuré une copie .	procuré	25	Part
Une thèse partagée par Jean Laloux , qui dirige le cabinet Inférences , spécialisé dans l' analyse sémantique des discours .	partagée	2	Part
L' union n' est pas aussi brillante que celles de ses deux sœurs , mais elle satisfait sa mère , la grande-duchesse Hélène Vladimirovna de Russie , qui craignait de voir Élisabeth rester célibataire .	satisfait	16	Fin
Édouard Loubet ( né le 25 septembre 1970 à Val-Thorens , en Savoie ) est un grand chef cuisinier français doublement étoilé au Guide Michelin .	étoilé	21	Part
La commission d' appel d' offres pour la transformation de l' atelier artisanal des Triboulottes en salle polyvalente s' est réunie récemment pour prendre connaissance des offres reçues .	reçues	27	Part
Nommé ensuite Professeur à l' Université de Nice ( 1969 ) , il devient Directeur du Centre du XXe siècle ( 1974 ) , puis Doyen de l' U.E.R. Civilisations .	Nommé	0	Part
Des lithographies des années 70 viendront clore ce chapitre de la vente .	clore	6	Inf
Volvo fut le pionnier de ce type d' engins et le DR860 demeure l' archétype du tombereau articulé .	articulé	17	Part
Ils ont la capacité de chélater plusieurs minéraux du sol et de favoriser leur absorption par les plantes .	chélater	5	Inf
Cette écriture était utilisée dans tout l' archipel jusqu' au XVIIe siècle , c'est-à-dire jusqu' à l' introduction de l' islam et continua à l' être jusqu' au début du XXe siècle pour la rédaction de textes officiels .	continua	22	Fin
Celui-ci abandonne le panarabisme au profit d' un nationalisme syrien lui permettant de se dégager des problématiques régionales .	dégager	14	Inf
Cependant , grâce à ses relations secrètes avec le domaine de Kubota , il a pu se soustraire à la punition du nouveau gouvernement Meiji .	soustraire	17	Inf
Claire Després , qui a eu une liaison avec un homme ambitieux devenu Président de la République , se fait voler son sac à main .	voler	20	Inf
Plus tard la même année , il remet ces terres aux religieuses de l' Hôtel-Dieu de Québec en guise de dot pour sa fille qui entrait comme novice chez les Augustines de l' Hôtel-Dieu .	remet	7	Fin
Il réussit à somnoler pendant deux orbites .	somnoler	3	Inf
Si j' autorise l' abonnement , quelles seront les mises à jour que les abonnés pourront voir ?	abonnés	14	Part
Tout à Paris lui exprime la grandeur et la décadence de l' idéologie à laquelle il doit adhérer .	adhérer	17	Inf
