Omzunun üstünden fotoğrafı görebiliyordum .	görebiliyordum	3	Sing
Recep , pantolonunu giymiş , gömlek cebinden çıkardığı sigarayı ağzına koymuştu .	giymiş	3	Sing
Oraya nasıl ulaşılacağını , nereden gidileceğini hiç bilmiyorum .	bilmiyorum	7	Sing
Ama söylediği fikir şahsi fikri , aslında genel bir görüşü kapsıyordu .	kapsıyordu	10	Sing
Çöktü koltuğa , pıtır pıtır dökülüyor gözyaşları .	Çöktü	0	Sing
Verin onu bana .	Verin	0	Plur
Ama bir ihtimal var , değil mi ? Sırf sana olan kızgınlığımı birine anlatmam halinde üzerimden bir yük kalkar , gerilimim azalır , sana daha hoşgörülü yaklaşabilirim , daha bağışlayıcı olabilirim .	olabilirim	30	Sing
Sanırım gezmediği ülke , danışmanı olmadığı kimse , bilmediği ilke kalmadı .	kalmadı	10	Sing
( Gündelik hayatlarının bir felsefesi ve ilkeleri olmadığı için her duruma , her ortama ayak uydurabiliyorlar .	uydurabiliyorlar	15	Plur
" Bankalar öyle bir izlenim yarattı ki sanki verilen hizmetler hava , su gibi ücretsiz olabilir " diyen Demiray , bundan sonra verilen hizmetlerden ücret alınacağını bildirdi .	yarattı	5	Sing
Teşvik uygulama , Sanayi Bakanlığı'na bağlansın .	bağlansın	5	Sing
Ona , Seni çok sevdiğim için seninle olamazdım , sana duyduğum sevgi çok korkuttu beni , diyemezdim .	diyemezdim	16	Sing
Nüfuslarının azalmasına paralel , kültürleri de dönüşüme uğradı .	uğradı	7	Sing
Kalmayız , dedi , koşa koşa gideriz , erikleri de senin heybene doldururuz .	doldururuz	12	Plur
O gece rüyamda ben balerin olmuştum .	olmuştum	5	Sing
Vazo almak isteyenler çoğunlukta .	isteyenler	2	Plur
Hastaneye yatırmışlar kaç defa , biraz düzelir gibi oluyor , ay geçmeden başlıyor daha beter içmeye .	yatırmışlar	1	Plur
Saime Sezginler aylarca çalışmış , kardeşinin arkadaşlarıyla saatlerce konuşmuş , kitaplar tercüme etmiş , ettirmiş ve bir uzmanın sahip olacağı teknik bilgiyi öğrenmişti .	öğrenmişti	22	Sing
Bir Aydınlık gazetesi aldı , kazayla ilgili çıkan ilk haberi okudu ve hemen telefona sarıldı .	sarıldı	14	Sing
Hem süt emsin hem de biraz daha büyüsün . demişti .	büyüsün	7	Sing
Arabesk yerine Türk Pop Müziği'ni tercih ediyorlar .	ediyorlar	6	Plur
Takipsizlik karar metni yalnızca anne ve babaya gönderilmişti .	gönderilmişti	7	Sing
Melek bana yardım edersen çocuklarla başa çıkarım , dedi üsteleyerek Memo .	çıkarım	6	Sing
Kahramanlarınızın , kadın - erkek ilişkilerine dönük yönlerinde de , kulaklarınıza inanamıyor ve duyduklarınızla düş kırıklıklarına duçar oluyorsunuz .	oluyorsunuz	17	Plur
Bakarız , dedi kadın , sonra sandalyesini biraz yan çevirdi , çalgıcıları görmek için .	Bakarız	0	Plur
İzini bulursanız , bu numaraya haber verirsiniz , dedi .	bulursanız	1	Plur
Yola düştük .	düştük	1	Plur
Acemi vücutlarının , aldıkları alkolün de etkisiyle , ancak çırpınış düzeyine ulaştırabildiği göbek dansını kesen turistlerin yerlerine oturmaları birkaç dakika bile sürmezdi .	sürmezdi	21	Sing
' Cumhuriyet'ten sapmayız Verheugen .	sapmayız	2	Plur
Ancak Batı'nın şekerle başlayan ve ağrı kesicilerle devam eden bağımlılıkları onlara da ulaşmıştı .	ulaşmıştı	12	Sing
Erkek öğretmen daha sert olur , kızlarla anlaşamaz diye düşünüyorum .	anlaşamaz	7	Sing
Elinde kağıtlar tutuyordu .	tutuyordu	2	Sing
Hastaneye yatırmışlar kaç defa , biraz düzelir gibi oluyor , ay geçmeden başlıyor daha beter içmeye .	düzelir	6	Sing
Bizimkinde , bilinmeyen bir Öteki Dünya'da aklımıza hayalimize gelmeyecek cezalara uğrama korkusu var .	gelmeyecek	8	Sing
O da pek salmadı kendini .	salmadı	3	Sing
İncecik bacaklarını birbirinin üzerine atmıştı , geniş koltuğun üzerinde rahatça oturuyordu .	atmıştı	4	Sing
Onu gözlemledim .	gözlemledim	1	Sing
Yanına annesini de alan Şıkel , " Herkes beni zaten yanlış tanıyor , ne desem boş , inanılmaz derecede bunaldım .	bunaldım	19	Sing
Çoğu , çok kere beni daha çok falan filan bulurlarmış .	bulurlarmış	9	Plur
Geçici bütçe tasarısı , Meclis'e sunuldu .	sunuldu	5	Sing
Neden onlar doğuştan anne olurlar da erkekler baba olmayı ancak öğrenerek elde edebilirler .	edebilirler	12	Plur
Yan gözle inceleniyorum bir yandan .	inceleniyorum	2	Sing
Zeynep : Yemin ederim ki kimseye bir şey söylemeyeceğim .	ederim	3	Sing
Ama göreve çağrıldı .	çağrıldı	2	Sing
Dolaşıp durma , başım dönüyor .	durma	1	Sing
Pilaki ile Piyaz yarışırlar .	yarışırlar	3	Plur
Böylece , insanlarla beraber kal ve yalnızlığı unut .	kal	4	Sing
Gece zamanı buldunuz bu kıraathaneyi .	buldunuz	2	Plur
Geldik ! diye bağırdı Kerem .	Geldik	0	Plur
İNANOĞLU , bu konuda " Evet , böyle şeyler söyledim ama artık işlerim yoluna girdi .	girdi	14	Sing
Şimdi hiçbir şeye yaramadıklarını düşünsem de , yaşayabilmek için yazmak ! Böylece , o beklemekle , aramakla , bütün bu zaman parçalarını dolduracak olan boşlukla ve sıkıntıyla dolu yaşam çizgimi belirledim sanıyorum .	belirledim	30	Sing
House Zirvesi'nde TÜSİAD Başkanı , her yıl istihdam yaratmanın yolunun , yüksek ve istikrarlı büyüme temposundan geçtiğini vurguladı .	vurguladı	17	Sing
Yine sinirlendim .	sinirlendim	1	Sing
Sana gölgede yatma dedik sıpa .	dedik	3	Plur
Evet , dayanamıyorum .	dayanamıyorum	2	Sing
Çantasını karıştırıyor , bir kalem arıyordu .	karıştırıyor	1	Sing
Bu kuruluşlar da paralarını Merkez Bankası veya muhabiri niteliğindeki Ziraat Bankası'nda açacakları hesaplarda toplayacaklar .	toplayacaklar	13	Plur
Yanlışlanabilirlik ilkesi ne yazık ki çoğu zaman yanlış yorumlanmaktadır .	yorumlanmaktadır	8	Sing
Oğlan , bir gözü Recep'te , bir yanına doğru suyun içine yattı .	yattı	11	Sing
Gerçek parçacıklar a noktasından noktasına gidebilirler .	gidebilirler	5	Plur
Geceleri kakıp , konuklara sunulacak rakı , votka , viski ne bulursam ; birer ikişer yudum kafama dikmeden , bölük pörçük uykumu bile sürdüremiyorum .	sürdüremiyorum	23	Sing
Hep uzaktan uzağa kuşatmazlar mı birbirlerini , hep araya giren anaların yatıştırmalarıyla sakinleşmez mi ortalık .	sakinleşmez	12	Sing
