Der statische Auftrieb von Luftschiffen ist während einer Fahrt nicht konstant .	Luftschiffen	4	Dat
Die USA wollen darüber hinaus alle Kriegsparteien verpflichten , Kriegsverbrecher nicht ungeschoren davonkommen zu lassen .	Kriegsverbrecher	9	Acc
Lindrum entstammt einer Billardfamilie .	Billardfamilie	3	Dat
1250 gelang es ihm , den größten Teil von Abels südjütischen Herzogtum zu erobern , und er traf sich mit Abel für einen Vergleich .	Herzogtum	11	Dat
Ein besonderes Kapitel stellt aber das Aufeinandertreffen von Quäkern mit Mennoniten dar .	Quäkern	8	Dat
Diese Huldigung spiegelte allerdings nicht die Mehrheitsmeinung der Tiroler wider , da diese der neuen Landeszugehörigkeit wegen der bisweilen recht konfliktbeladenen gemeinsamen Vergangenheit eher skeptisch gegenüberstanden .	Landeszugehörigkeit	15	Gen
Der Richtcharakter hängt ab von der Bauform der Mikrofonkapsel und von äußeren Formelementen ( z. B. Richtrohrmikrofon ) .	Mikrofonkapsel	8	Gen
Im Jahr 1675 verkaufte er Burg und Amt Wiesenburg an seinen ältesten Sohn .	Burg	5	Acc
Den Sitz der Herren von Dobrčice bildete eine Feste , die sich an der Stelle des heutigen Gasthauses befand .	Gasthauses	17	Gen
2004 bekam sie im Rahmen des Ausbaus der Gesundheitswissenschaften ihren heutigen Namen .	Ausbaus	6	Gen
Dieser Überschlag entsteht nicht primär darum , weil ein Hebel auf das Handgelenk wirkt , sondern er stellt einen Reflex des Angreifers dar , der damit eine Schädigung seines Handgelenks verhindern will .	Schädigung	27	Acc
`` Es ist keine Unverschämtheit und keine Häme , wenn wir sagen , auch für kirchlich angestellte Pfarrer verlangen wir finanzielle Unterstützung des Staates .	Unverschämtheit	4	Nom
Durch den Badeort führt die Ruta Interbalnearia , die hier ihren Kilometerpunkt 79 hat .	Kilometerpunkt	11	Acc
Vor allem über das Internet gesteuerte Teleroboter verwenden zumeist ein so einfaches Interface .	Teleroboter	6	Nom
Die Isochronenmethode ist deswegen ein sehr leistungsfähiges Instrument der radiometrischen Datierung .	Instrument	7	Nom
Laut Ovid handelte es sich um eine Wassernymphe namens Lara oder ursprünglich Lala , eine Tochter des Flussgottes Almo , die infolge einer Vergewaltigung durch Mercurius zur Mutter der Laren wurde .	Wassernymphe	7	Acc
Die Diskussion über Verkehrsbelastungen , Verkehrsberuhigung und mögliche Ortsumgehungen ist seit langem beherrschendes Thema der Kommunalpolitik .	Verkehrsbelastungen	3	Acc
1960 erlangte er in Mainz das Diplom in Mathematik , ein Jahr später wurde er bei Ernst Hölder mit der Dissertation Funktionalanalytische Methoden zur Behandlung von Rand - und Eigenwertproblemen von stark elliptischen Differentialgleichungssystemen promoviert und 1965 habilitiert .	Dissertation	20	Dat
Eva , Mary Lou und der Bootsmann verbringen ungeplant eine Nacht zu dritt in einer Schiffskajüte , doch eröffnet der Bootsmann dem Kapitän und dem Obermeier am nächsten Morgen , dass er keine von beiden Frauen heiraten wolle .	Kapitän	22	Dat
Hierüber hat das Restwasser einen erheblichen Einfluss auf die Wasserqualität ( Gewässergüte ) , die einerseits für die oben genannte Funktion als Biotop und andererseits für die Funktion der natürlichen Klärung ( Abbau von Schadstoffen ) wichtig ist .	Abbau	32	Nom
Bei Fehlstellungen der Füße oder der Wirbelsäule kommen insbesondere zur Wiederherstellung der Gehfähigkeit auch operative Behandlungsmaßnahmen in Frage .	Fehlstellungen	1	Dat
Maleinsäureanhydrid ist ein industrielles Zwischenprodukt .	Zwischenprodukt	4	Nom
Vor allem wird die Urbanisation auch touristisch attraktive Landschaften und mehr Landschaftsparkfläche anbieten , als London und New York zusammen aufweisen .	Urbanisation	4	Nom
Unter den Pflanzen , die an den Ufern des Flusses wachsen , finden sich viele Bäume und Sträucher verschiedener Arten , unter anderem Mangrove .	Arten	19	Gen
Nach mehreren Zusammenschlüssen mit anderen Vereinen lautet der Name des Vereins seit 1923 Rot - Weiss Essen .	Vereins	10	Gen
Seine Veröffentlichungen zu musikwissenschaftlichen Themen gehen in die Dutzende .	Veröffentlichungen	1	Nom
Und zum Anderen waren die Mennoniten er defensiv und die Quäker sehr offensiv in dem sie mit gezielten Provokationen die Verfolgung geradezu herausforderten .	Mennoniten	5	Nom
Aminoglykoside reichern sich in Niere und Innenohr besonders an und wirken dort stark giftig ( Nephrotoxizität , Ototoxizität ) .	Innenohr	6	Dat
Es müssen dessen statische Verstärkung K_s , die Zeitkonstante T sowie die Totzeit T_t bekannt sein und ggf .	Verstärkung	4	Acc
Sein Nachfolger Andrew Jackson Faulk war der Schwiegervater von Walter Burleigh .	Schwiegervater	7	Nom
Dieser Stab wurde von dem Hirten des Dorfes , wenn eine Versammlung sein sollte , von Haus zu Haus getragen .	Dorfes	7	Gen
Daß diese Küche keine Mikrowelle besitzt spricht für sich !	Mikrowelle	4	Nom
Aufträge : Veränderbare und bespielbare Objektplastik für eine Hamburger Hauptschule .	Objektplastik	5	Nom
Neben den relationalen Datenbanken von Hosts gehören zu dieser Rubrik dynamische Webseiten und Webseiten in Datenformaten die von Webcrawlern zurzeit noch nicht verarbeitet werden können ( z. B. Flash , Bildinhalte ) .	Webcrawlern	18	Dat
Das Grundwort " Bühl " bezeichnet einen Hügel oder eine Anhöhe , das Bestimmungswort leitet sich entweder vom Feld - oder Rebhuhn oder von einem ehemaligen Hünengrab ab .	Grundwort	1	Nom
Beim Bau nahm man sowohl auf die Geländegegebenheiten wie wohl auch auf ein durch Fundamentreste nachgewiesenes älteres Gebäude im Südosten , möglicherweise das erste Klausurgebäude , Rücksicht .	Klausurgebäude	24	Nom
Dadurch wurde das traditionelle Eisammeln , das früher die Bestände stark beeinträchtigte , nahezu völlig unterbunden .	Eisammeln	4	Nom
Eine unabhängige , internationale Jury zeichnet jährlich die 14 Schönsten aus .	Schönsten	9	Acc
Die Riesen - Glockenblume ist eine ausdauernde , krautige Pflanze , die Wuchshöhen von 40 bis 100 ( 150 ) Zentimeter erreicht .	Wuchshöhen	12	Acc
Berücksichtigt werden sowohl Forschungsgrabungen von Universitäten als auch verursacherfinanzierte Ausgrabungen von Fachfirmen sowie Ausgrabungen des LVRs des jeweiligen Vorjahres .	Ausgrabungen	13	Dat
Das Heimstadion ist das Mahendra Police Club Stadion , jedoch wurden in der Saison 2006 / 07 alle Ligaspiele im Dasrath Stadion in Kathmandu ausgetragen .	Heimstadion	1	Nom
Die Initiativen des Bibliotheksdirektors , Karl F. Stock , sich moderner Technologien zu bedienen , wurden im technischen Umfeld der Hochschule angenommen .	Bibliotheksdirektors	3	Gen
Für jede der drei Gruppen ist jeweils einer der drei Brüder der Namensgeber ;	Brüder	10	Gen
Die Bezeichnung " Rainforest Alliance Certified " ( zu deutsch " Rainforest Alliance zertifiziert " ) findet sich auf einer Reihe von Produkten im Lebensmittelhandel und der Gastronomie .	Lebensmittelhandel	24	Dat
Bei einer Störung vergangenen Winter konnte mir der Wochenend - Notdienst telefonisch weiterhelfen .	Notdienst	10	Nom
Er studierte Rechtswissenschaften an der Universität Erlangen und wurde dort 1808 Mitglied des Corps Baruthia .	Corps	13	Gen
Auf dem Querbalken steht die Schrift : " Dieses Kreuzzeichen wird am Himmel erscheinen , wenn der Herr kommt zu richten " ( Matthäus XXIV , 30 ) .	Querbalken	2	Dat
Auf dieser Tournee spielten sie sowohl ältere Lieder als auch neuere von Dark Horse .	Lieder	7	Acc
Zum Befestigen von Blättern und Ästen benutzt er nur Dornen und Stöckchen oder Grasfasern und dokumentiert seine teils gewagt fragilen Kunstwerke mit künstlerisch hochwertigen Fotografien ;	Dornen	9	Acc
Das Gemeindewappen von Linden gilt als eines der ältesten Fusionswappen der Schweiz .	Fusionswappen	9	Gen
Bundesgesundheitsminister Horst Seehofer ( CSU ) will den kontrollierten Anbau von Nutzhanf in Deutschland wieder zulassen .	Nutzhanf	11	Dat
Letzte Woche habe ich den Futon ( Baumwollfuton ) bestellt , heute war er schon bei mir .	Futon	5	Acc
Kopierschutz wird abgelehnt , weil man einerseits keine befriedigenden technischen Lösungen sieht , andererseits die Verbreitung der eigenen Musik über Brennen von CDs auch als Werbung betrachtet .	Werbung	25	Nom
Es befindet sich auf dem Gelände der Umspannanlage Osterath der Amprion GmbH .	Umspannanlage	7	Gen
In Folge der staatlichen Teilung Britisch - Indiens in Indien und Pakistan setzte sich diese Differenzierung in verstärkter Form fort , so dass Urdu und Hindi aus ethno - politischer Sicht als unabhängige Ausbausprachen anzusehen sind .	Differenzierung	15	Nom
Außerdem wurden erstmals die europäischen politischen Parteien vertraglich anerkannt , was eine Finanzierung der europaweiten Parteibündnisse aus EU - Mitteln ermöglichte .	Parteibündnisse	15	Gen
Bildungsminister Xavier Darcos kündigte eine Reform der staatlichen Prüfungen für das Lehramt an , die ebenfalls umstritten war .	Bildungsminister	0	Nom
Die oft viele Stunden dauernden Ruhephasen verbringen sie eher an der ( vor Räubereinfluss geschützteren ) Unterseite der Gesteine , während sie zum aktiven Abweiden der Nahrung in einem weitgehend ungerichteten Zufallsmuster über die Gesteine ziehen .	Nahrung	26	Gen
Ein Teil der britischen Versionen des Promotionvideos wurde im Strawberry Fields Memorial , das John Lennon gewidmet ist , gedreht .	Promotionvideos	6	Gen
VTG bietet neben der Vermietung von Eisenbahngüterwagen auch die Bewirtschaftung , technische Betreuung , Verwaltung und Instandhaltung fremder Waggonparks an .	Waggonparks	18	Gen
Bundesliga zur Saison 1998 / 99 blieb der ERSC in die -- nunmehr drittklassige -- 1 .	Bundesliga	0	Nom
In der Gesamtwertung des Weltcups wurde er Sechster .	Sechster	7	Nom
Bekannt sind auch sein Ballett Spartakus , dessen Adagio als Filmmusik der britischen Fernsehserie " Die Onedin - Linie " große Bekanntheit erlangte sowie die Schauspielmusik " Maskerade " .	Ballett	4	Acc
Sie wurden zu den quatre barres , die das gelbe Tuch der katalanischen Fahne ( Senyera ) durchziehen .	Tuch	10	Acc
Sechs Wasserräder von jeweils 12 Metern Durchmesser und 4 Metern Breite trieben die Pumpen an , die in der Lage waren , 18.000 bis 20.000 Kubikmeter Wasser pro Tag aus der Seine bergauf zu pumpen .	Kubikmeter	25	Nom
Mit dem HSV stieg sie aus der Bundesliga ab und wurde in den folgenden drei Spielzeiten in Folge Meisterin der Regionalliga Nord .	Spielzeiten	15	Dat
Seine Leistung hatte den ewigen Junggesellen und Diktator Diệm so sehr beeindruckt , dass er Thi fortan als seinen Sohn bezeichnete .	Junggesellen	5	Acc
Zum Zahnarzt zu gehen war für mich immer eine große Überwindung .	Überwindung	10	Acc
Zudem hatte Rosenkranz den Putschisten sogar einen Fluchtweg nach Westen und über die Salzach nach Deutschland offen gelassen , eine Vorgehensweise , die aus militärischer Sicht zumindest fragwürdig war .	Fluchtweg	7	Acc
Eine weitere patriotische Adaption ist auch das Gedicht Huttens letzte Tage .	Adaption	3	Nom
Das Weibchen heftet viele , manchmal über 200 , Eier an die Wand einer Höhle oder Felsspalte .	Felsspalte	16	Gen
James Roberts wurde 1918 im Madison County geboren , der Heimat seines Vaters , wo er auf der väterlichen Farm aufwuchs .	Heimat	10	Dat
Bis 1945 war Domnau die nächste Bahnstation an der Bahnstrecke von Königsberg ( heute russisch : Kaliningrad ) nach Angerburg ( heute polnisch : Węgorzewo ) , die aber nicht mehr in Betrieb ist .	Bahnstrecke	9	Dat
Die Strecke beginnt am Knotenpunkt Hauptbahnhof ( U ) und unterquert in einer Kurve den Zentralen Omnibusbahnhof und den Kaiserplatz .	Kurve	13	Dat
Peter Holtz veröffentlichte im Laufe seiner Karriere 194 wissenschaftliche Publikationen , die meisten davon in der Fachzeitschrift Naunyn - Schmiedeberg 's Archiv für Pharmakologie , deren Redaktion er ab 1960 angehörte .	Publikationen	9	Acc
