Na Podkarpaciu oficjalnie kampania żniwna zacznie się w przyszłym tygodniu .	Podkarpaciu	1	Neut
Wzrasta temperatura rozmów o prawyborach w AWS .	AWS	6	Fem
Angelina oczywiście wyraziła chęć ponownego zagrania Lary Croft .	Lary	6	Fem
Wieś leży na Szlaku Zamonitu z Błędowa do Poraja .	Zamonitu	4	Masc
A Zakopane było zapyziałe .	Zakopane	1	Neut
W jakim języku rozmawia się z Japonią ?	Japonią	6	Fem
Gdy KOT usiadł na ławeczce Juliana Tuwima , poeta nie krył zdziwienia z tego niecodziennego spotkania .	Juliana	5	Masc
Polonia zagrała bez trzech piłkarzy z podstawowego składu .	Polonia	0	Fem
Polski samolot M-28 rozbił się i eksplodował kilka sekund po starcie z lotniska w Puerto Cabello , 200 km na zachód od Caracas .	Cabello	15	Neut
W stoisku PDT największe powodzenie mają fartuszki dziewczęce i chłopięce .	PDT	2	Neut
Koncern nadal ma umowy licencyjne z producentami w Japonii , Włoszech , Afryce Południowej i na Filipinach .	Filipinach	16	Neut
Przenosi obojętne spojrzenie na stronę z nekrologami , którą Gabriela przygważdża do stołu kościstym palcem .	Gabriela	9	Fem
Poproszę pana senatora Józefa Kuczyńskiego .	Kuczyńskiego	4	Masc
W metodzie Cieszyńskiej najważniejsza jest rozmowa .	Cieszyńskiej	2	Fem
W samej Warszawie w Internecie swoje auta eksponuje już kilkadziesiąt komisów .	Warszawie	2	Fem
Nie ma też dowodów , by Pietruszka był agentem KGB , choć SB ściśle współpracowała z Rosjanami .	SB	12	Fem
W Burkina Faso dominują muzułmanie .	Faso	2	Neut
Produkcję nadzorował w Krośnie Jerzy .	Krośnie	3	Neut
Oprócz absolwentów przybyli także dawni dyrektorzy i nauczyciele Nowodworka .	Nowodworka	8	Masc
Minister obrony Tengiz Kitowani , były premier Tengiz Sigua i szef milicji Mchedrioni Dżaba Joseljani obalili przed rokiem prezydenta Zwiada Gamsahurdię .	Dżaba	13	Masc
Elizabeth cofnęła się , może lepiej , żeby jej tu nikt nie widział .	Elizabeth	0	Fem
Podobną akcję przeprowadzono w czasie wojny w Zatoce Perskiej w 1990 r.	Zatoce	7	Fem
Żonę ma w Stanach Zjednoczonych , dorosłym dzieciom powodzi się dobrze .	Stanach	3	Neut
W Drygałach koło Białej Piskiej zatrzymany do kontroli 47-letni kierowca zionął na policjantów czosnkiem .	Drygałach	1	Neut
Uczestniczki wysłuchały wykładów doradców zawodowych i prawników , uczestniczyły w zajęciach psychologicznych , poznawały podstawy obsługi komputera i korzystania z Internetu .	Internetu	20	Masc
John Glenn pochodzi z Ohio .	Ohio	4	Neut
Na piersiach dyndały im krzyże z Jezusem Chrystusem .	Jezusem	6	Masc
Gdy Dominika przyjechała po matkę , Babel dożywał swych dni .	Babel	6	Masc
Po tej wypowiedzi papieża zapytaliśmy księdza Tadeusza Isakowicza - Zaleskiego , gorącego zwolennika lustracji , jak odebrał te słowa .	Isakowicza	7	Masc
Wczesnym popołudniem polska delegacja udała się do Warny .	Warny	7	Fem
40-osobowa grupa chuliganów wywołała rozróbę przed sobotnim III-ligowym meczem piłki nożnej Lublinianki z Cracovią .	Cracovią	13	Fem
A Rychtarski i Ziemiak uzyskali rezultaty lepsze niż trzeci senior .	Ziemiak	3	Masc
