U kategoriji Strip " je nagrađeno i pohvaljeno svih 11 pristiglih radova .	Strip	2	Masc
Moda u cijeloj jugoistočnoj Europi pokazuje inovativnost , trajne napore na polju vrhunskog stila i mogućnosti za suradnju preko državnih granica .	polju	11	Neut
Rok isporuke zadnje podmornice je 15 godina .	podmornice	3	Fem
Policija je za rastjerivanje demonstranata koristila suzavac i vodene topove .	rastjerivanje	3	Neut
Većina je ispitanika nezadovoljna radom dosadašnjeg gradonačelnika .	radom	4	Masc
Kumice na placu gledaju prognozu i tako formiraju cijene .	placu	2	Masc
Ove godine je 10 do 12 posto manje tvrtki , ali niti jedna veća tvrtka koju vodi žena nije otišla u stečaj .	stečaj	21	Masc
U duhu kompromisa , vlasti su predložile otpremanje pomoći korištenjem postojećih kanala koji su prihvatljivi Izraelu .	korištenjem	9	Neut
Nakon što ga je igrač domaće momčadi Kevin Puschnik nabio na ogradu , Hebar ga je u osvetničkom pohodu najprije cross-checkingom udario u nezaštićeni predio glave i vrata .	cross-checkingom	20	Masc
Makedonija s manjinskom vladom do summita NATO-a	vladom	3	Fem
Osim razgledavanja eksponata ne propustite se upoznati i s oko 3500 vrsta biljaka i drveća na oko 80 hektara površine , a najmlađi se mogu odlično zabaviti na nekoliko uređenih dječjih igrališta prilagođenih svim dobnim skupinama .	razgledavanja	1	Neut
Iako nije dugo s nama , Cassandra je uspjela uspješno ispuniti vrlo zahtjevne zadaće .	zadaće	13	Fem
Zbog osnovane sumnje da je počinio kaznena djela zlouporabe opojnih droga i nedozvoljenog posjedovanja oružja i eksplozivnih tvari , protiv 28-godišnjaka slijedi podnošenje kaznene prijave Općinskom državnom odvjetništvu u Puli , izvijestila je istarska policija .	28-godišnjaka	20	Masc
Bio je jedini kandidat koji je prihvatio kratkoročno imenovanje .	imenovanje	8	Neut
Moskva podupire Srbiju u njezinu protivljenju prijedlogu o statusu Kosova kojeg je iznio bivši finski predsjednik Martti Ahtisaari , a kojim se poziva na " nadziranu neovisnost " .	protivljenju	5	Neut
Nakon Justinijana najstrašnija pandemija kuge zabilježena je u 14. stoljeću .	kuge	4	Fem
Članica je FraPEN-a i Hrvatskog društva pisaca , a počasna je članica Hrvatskog helsinškog odbora za ljudska prava .	pisaca	6	Masc
Među iskusnijim blogerima član je kolektivnog predsjedništva Željko Komšić i potpredsjednik Partije demokratskog progresa Branislav Borenović .	progresa	13	Masc
Mnogi muškarci još uvijek žive u uvjerenju kako je tajna uspjeha u ugrizima i sisanju tog dijela tijela , međutim takvo ponašanje ostavite iza sebe .	uvjerenju	6	Neut
Onaj kome ste ju poslali dobit će link za download .	download	9	Masc
S druge strane , druga po veličini albanska dnevna novina Gazeta Shqiptare opisuje Liponenova stajališta kao « lažnu uzbunu » .	novina	9	Fem
Smrt Osame bin Ladena i eliminiranje ostalih ključnih operativaca al-Qaede oslabili su tu skupinu , ali opasnosti ostaju .	operativaca	8	Masc
Određeni članovi tih ekstremističkih skupina čak su se kanili infiltrirati među sudionike parade , što bi im omogućilo da kasnije izravno napadnu sudionike .	članovi	1	Masc
U nekim slučajevima energija se daje na daljinu , kako provodi terapiju s pacijentima koji žive u Njemačkoj , Francuskoj i Norveškoj .	terapiju	11	Fem
Posljednji Sergeyev kontakt bio je sa Zdenkom Tokić , kojoj je rekao da će ići kod gospođe Nede .	Zdenkom	6	Fem
Dvojica dužnosnika potpisali su zajedničku deklaraciju o suradnji dviju zemalja , ažurirajući svoje sporazum o strateškom partnerstvu iz travnja 1997. godine .	travnja	18	Masc
U EU je u tijeku izrade studije izvodljivosti koja za cilj ima utvrđivanje spremnosti BiH za otpočinjanje pregovora o zaključivanju sporazuma o stabilizaciji i priključenju s Unijom , što je prvi korak ka mogućem članstvu .	utvrđivanje	12	Neut
Potraga u ovoj zemlji , kako to pokazuje trenutna rasprava , vlada samo za visokokvalificiranom radnom snagom poput inženjera .	snagom	16	Fem
Nagrada Ivo Vuljević sastoji se od diplome , novčanog iznosa i organizacije koncerta u okviru godišnjeg programa Koncertne dvorane Vatroslav Lisinski .	diplome	6	Fem
Iako je sudac odlučio odgoditi iznošenje dokaza , dopustio je iznošenje uvodnih riječi tužiteljstva i obrane .	iznošenje	10	Neut
