Birbirimize hiç dokunmadan , ben onun ellerine o da benim gözlerime bakarak sevişirdik kalabalığın içinde .	dokunmadan	2	Conv
Sonunda Esin Abi şimdi bizim bir köpeğimiz mi olacak ? deyince anlattıklarımın sadece bir kısmını dinlediklerini anladım .	anlattıklarımın	11	Part
İkinci büyük teorik atılım dönemi , işe yüzyıllar sonra Arşimed'in bıraktığı noktadan başlayarak devam eden Bilimsel Devrim dönemidir .	başlayarak	12	Conv
Yanında oturan annesinin , ağzına zorla tıkıştırdığı lokmayı bir hamlede yuttu ; parmakları darbukanın derisini okşadı ; başını çevirip , arkası dönük oturduğu sahneye baktı .	tıkıştırdığı	6	Part
Dört yıldır benden ayrı duran , dört yıldır soğuk bir deponun duvarları arasında terk edilmişlik duygularını yaşayan eşyam , açılıp saçıldı .	açılıp	19	Conv
Dosyanın önümüzdeki günlerde ele alınması bekleniyor .	alınması	4	Vnoun
Asıl düğümü çözmek ve en önemlisi hukuksal alt yapıyı sağlam temellere oturtabilmek için dokümanların tamamına ulaşmak gerekiyordu .	oturtabilmek	11	Vnoun
Adam , argoyla karışık da olsa - ki bu , sınıfını gizlemediğini gösterdiğinden bir erdem sayılabilirdi - Necmi Bey'i aratmayan güzel cümleler kurabiliyordu .	aratmayan	19	Part
İnceleme bittikten sonra ise ellerindeki belgelerle notları birleştirip olayı bir kez daha yaşamaya başladılar .	birleştirip	7	Conv
nasıl anlatacağımı biliyorum , basit : üzülüyordum .	anlatacağımı	1	Part
O kişi olmazsa yaşayamam ; sekssiz yaşayamam ; alkolsüz bir hayat düşünemem ; başarı için günde on altı saat çalışmam gerekir vb .	çalışmam	19	Vnoun
Senin de bu gösteriyi izlemeni isterdim .	izlemeni	4	Vnoun
Hülya duydu , yaramaz ama çalışkan öğrenciye kızan öğretmen gibi kararsız , dudak büktü .	kızan	7	Part
Ancak , bu amaçla yapılacak düzenlemelerde aksi ispat edilmedikçe mükellef beyanının doğru olarak kabul edileceği şeklinde ve benzeri hükümlere yer verilmemeli .	edileceği	14	Part
Yanında oturan annesinin , ağzına zorla tıkıştırdığı lokmayı bir hamlede yuttu ; parmakları darbukanın derisini okşadı ; başını çevirip , arkası dönük oturduğu sahneye baktı .	oturduğu	22	Part
Teknoloji , bilginin üretimde kullanılabilir hale getirilmesi amacıyla birtakım düzeneklerin tasarımlanıp oluşturulmasıdır .	tasarımlanıp	10	Conv
Kaybedecek neyim var ki ? diyor yaşlı kadın .	Kaybedecek	0	Part
Yaşamının son dönemlerinde kendini dine ve astrolojiye veren Newton'un , İngiltere'deki meşruti monarşiden esinlenerek formüle ettiği hızlaştırma çözümü bu açıdan tipik sayılabilir .	hızlaştırma	16	Vnoun
Belli ki modern dünyanın hantal varoluş biçimleriyle yüzleşmek geyiklerin hoşuna gitmiyor .	yüzleşmek	7	Vnoun
Çalışma saatlerinin uzaması sizin için problem yaratır mı .	uzaması	2	Vnoun
Bir boşluğun içindeydim ve tutunabileceğim bir şey yoktu .	tutunabileceğim	4	Part
Bir hanımefendi sakız çiğnemez , deyip kesip atıyor .	kesip	6	Conv
yüzyılda bilimin gelişimini genel hatlarıyla betimlemek istersek , şu iki görüngüyü temel almamız gerekir : Birincisi , bu yüzyıl Bilimsel Devrim'in son atılımlarının gerçekleştiği yüzyıl olmuştur .	betimlemek	5	Vnoun
ikibiniki ve önceki yıllarda taahhüde bağlanan yatırım ihaleleri nedeniyle yapılan işlere ilişkin ödemelere , öngörülen harcama sınırları içinde kalmak kaydıyla devam edilecek .	ödemelere	12	Vnoun
İçinde cinayet olmayan bir cinayet romanı yazmayı düşünüyordum .	yazmayı	6	Vnoun
Evet , buraya bir şey anlatmak için gelmiştim , dedi Kerem .	anlatmak	5	Vnoun
Böylesi bir durumda bir fizikçinin olağan tepkisi daha iyi bir model aramak olur .	aramak	11	Vnoun
Beğenili bakışları üstümüzde gelip geçenin .	geçenin	4	Part
( Tutkunluğumun başlangıcı , hızla düşkırıklığına dönüşmesi , boşanmayla sonuçlanan on yıllık evlilik boğuşmasından sonraki yılgın günlerime rastlıyor .	boğuşmasından	13	Vnoun
Milli Savunma Bakanlığı'nda görevli bir kurmay albay sohbet sırasında farkında olmadan kendi fikrini söyledi .	olmadan	10	Conv
Kliniğe yatırma önerilerine karşı çıkamadım sonunda .	yatırma	1	Vnoun
Cumhuriyet'in temel nitelikleri , Anayasa'nın değişmez ilkeleri ve değiştirilmesi teklif edilemez maddeleri yeni anayasada yer alacaktır " dedi .	değiştirilmesi	8	Vnoun
Eğer sözünü ettiğiniz şey virtual parçacıklarsa ( aşağıdaki satırlarda Verschuur'dan yapılan alıntıya bakınız ) durum hala inandırıcı olmaktan uzak demektir .	ettiğiniz	2	Part
Uzun yıllar önce yaşanmış yoğun bir sevgi , dedi .	yaşanmış	3	Part
Nedenini anlayamadığım bu terk edilme korkusu ve kendime itiraf etmekten bile utandığım hırpalayıcı kıskançlığımla , aptalca olduğunu bile bile daha çok kadınla birlikte oluyor ve sonunda korktuğuma uğrayıp bir başka erkek için terk ediliyordum .	etmekten	9	Vnoun
Aygün , kredi kartı faiz oranlarının yüzde 118'lere kadar çıktığını , bir aylık ödemenin yapılmaması halinde temerrüdün devreye girmesiyle faiz oranlarının yüzde 375'e kadar yükseldiğini belirterek bunun akılla , Anayasa'yla ve demokrasiyle bağdaşmadığını söyledi .	yapılmaması	14	Vnoun
Mezarların yanına konan tuz ve çamurlu suyun yaraları iyileştirdiği iddiaları da yayılınca , " kömürlüğe " Türkiye'nin her yanından insan akmaya başlamıştı .	konan	2	Part
Başesgioğlu verdiği önergeyle güvenlik , savunma amaçlı hibe ve yardımlara ilişkin uygulama boşluğu doğmaması için , 2002'de mevcut olan düzenlemelerin devamı sağlandı .	düzenlemelerin	19	Vnoun
Hiç durmadan bu konuyu gizli gizli tartışıyoruz .	durmadan	1	Conv
Ali'yi üzmeden bu köpeği çok sevdiğimi ve ona sahip olabilmek için ne çok engeli aştığımı anlatmalıydım .	üzmeden	1	Conv
Bilimsel teori , bir yandan içinde oluştuğu toplumun kavramsal yapısıyla , yani ideolojisiyle sınırlıdır ; öte yandan kendi ürettiği kavramlarla o ideolojiyi etkiler .	ürettiği	18	Part
