Գյուղացիք այդ դեռ ջահել աղջկան առաջին անգամ տեսել էին հենց եկեղեցու գմբեթից խաչը գցելու օրը ։	աղջկան	4	Hum
- Հուլիսյան դեպքերը շատ բան են փոխել նրանց համար , ովքեր ընդունակ են մտածելու , փոխվելու և փոխելու :	դեպքերը	2	Nhum
Բայց մեր բարի , իմաստուն արարիչն ինձ այդպես էլ ողորմի չտվեց . թե հոգեհացիս գար , հոգիս հանգիստ կլիներ ու չէր ձգտի վերածնվել ։	արարիչն	5	Hum
Մեծ Սևանի ջրի հայելու մակերեսը 2017 թվականի հունվարի վերջի դրությամբ կազմել է 939,65 ք/կմ , իսկ Փոքր Սևանինը ` 338.39 :	ք/կմ	13	Nhum
Վերծանման աշխատանքների ընթացքում նրան օգնել է երկրի գլխավոր լեզվաբաններից մեկը ՝ Սվետլանա Բուրդակը ։	լեզվաբաններից	8	Hum
Արմինուսը գնում էր , ձեռքը մեկնում փողոցի անկյուններում , կամ աղբանոցում ուտեստի մնացուկ գտնում և բերում նվաղած կնոջը ։	կնոջը	17	Hum
Հրեշին հաղթելու երկու ձև կա . հասնել նրա հետևում դրված կացնին , որը կտրում է կամուրջը պահող երկաթե ձողը , ու նա ընկնում է լավան , կամ անվտանգ հեռավորությունից հրեգնդերով ռմբակոծել ։	կացնին	10	Nhum
« Ձիավոր » ա , — բացատրում էր տանջանքից նվաղած կնոջը , — մի քիչ էլ սպասենք , թե չեկավ , ձեռքս կմտցնեմ կուղղեմ » ։	Ձիավոր	1	Hum
Գիտաշխատողների խոսքով ՝ սեռական կյանքի որակն ազդում է աշխատունակության վրա , ինչպես տղամարդկանց , այնպես էլ կանանց մոտ :	տղամարդկանց	12	Hum
Հոր մահից հետո մայրն Ակաթին վերադարձրեց տուն . համ տան վարձը սկսեցին խնայել , համ էլ մայրը հանձն առավ երեխային խնամել , եթե Ակաթը գործ գտնի ։	մայրն	3	Hum
Պարզվեց ՝ թուրք էր ։	թուրք	2	Hum
« Չէ որ դու էլ հայ ես , — շշնջաց նա , և ժպիտը տարածվեց , ողողեց ողջ դեմքը , — մեզ միասին գերեցին Կոստաս կայսեր զինվորները :	կայսեր	25	Hum
Այսօր գլուխ խոնարհելով սուրբ նահատակների հիշատակի առջև ՝ միևնույն ժամանակ մենք վկայում ենք վերապրելու և մեր Հայրենիքը վերակերտելու աննկուն կամքը :	նահատակների	4	Hum
