My takiej nie prowadzimy , nie wykonujemy zadań publicznych dla zysku , ale dla dobra mieszkańców .	zysku	10	Masc
W pierwszych wiekach jego wyznawcy doznali okrutnych prześladowań .	prześladowań	7	Neut
- dodaje gen. Biel .	gen.	2	Masc
Do atrakcyjnej pani bosman podchodzi zniecierpliwiony wczasowicz .	bosman	3	Fem
Malwina spojrzała na niego z odrazą , Kulesza się zaczerwienił , ale Ewa , o dziwo , parsknęła śmiechem .	dziwo	15	Neut
Dawaliśmy mu złoto . . .	złoto	2	Neut
– Bywa , że rolnicy jeszcze przynoszą pisma .	rolnicy	4	Masc
Niektóre sprawy trafiły nawet do kolegium .	kolegium	5	Neut
Sołtys Ligoty Stanisław Kuźnik składa serdeczne podziękowanie wszystkim sponsorom , którzy przyczynili się do zorganizowania festynu i dzięki którym dzieci z Ligoty będą mogły pojechać na wycieczkę .	festynu	15	Masc
W niezwykłym spektaklu Partice'a Chfreau zabrakło głównej bohaterki .	bohaterki	7	Fem
- W iluż miastach w okresie letnim odbywa się tyle bezpłatnych występów artystycznych .	miastach	3	Neut
Najlepszy księgowy województwa śląskiego to rybniczanin .	województwa	2	Neut
Tymczasem korki paraliżują okolice ul . Saskiej , bo kierowcy , aby dostać się na Wał , muszą dojechać na niego wąskimi ulicami Saskiej Kępy .	Wał	15	Masc
- Zakłady i instytucje państwowe działają na podstawie decyzji urzędniczych .	instytucje	3	Fem
Coś notowali , robili fotografie .	fotografie	4	Fem
Aż trudno uwierzyć , że jeszcze kilkanaście dni temu ptaszki ćwierkały , że zostawi stację Waltera i przeniesie się do TVP .	ptaszki	9	Masc
Jego życie było wypełnione dążeniami do Dobra i Sprawiedliwości .	Dobra	6	Neut
Tamta urodziła dziecko z wielkim okiem pośrodku czoła .	okiem	5	Neut
Niewiele brakowało , by zaproponowała odstrzał niegrzecznych myśliwych polujących na kuropatwy .	kuropatwy	10	Fem
Poza wymienionymi , charakterystycznymi rodzajami przebiegu akumulacji w ciągu roku stwierdza się ich modyfikacje lub rodzaje pośrednie .	modyfikacje	13	Fem
Mogą jednak interweniować , gdy mają dowody przestępczej działalności .	dowody	6	Masc
MPK prowadzi jeszcze rozmowy z wojskiem i PKP .	wojskiem	5	Neut
To pierwszy sezon 11-letniego Jurka w amatorskiej lidze małopolskiej , a już wywalczył trzecie miejsce .	lidze	7	Fem
Tematyka prac twórcy z Jarantowic jest różnorodna i w poważnym stopniu zależy od zapotrzebowania , od zamówień odbiorców .	twórcy	2	Masc
W tych miastach znaczne wpływy zdobyła sobie wiara protestancka .	miastach	2	Neut
Przesłuchanie odbędzie się w poniedziałek .	Przesłuchanie	0	Neut
Prokuratura Okręgowa w Krakowie , która prowadzi śledztwo w sprawie wycieku testów w 2000 r . , potwierdziła , że sprzedawano testy w cenach od kilkuset złotych do 15 tysięcy .	testy	21	Masc
Skąd wzięto tyle szmalu ?	szmalu	3	Masc
I mimo chciwości cieszyli się w miasteczku dużym szacunkiem .	chciwości	2	Fem
Radni poruszyli problem złych nawierzchni dróg , domagając się ich remontu .	nawierzchni	4	Fem
Doroczny Bal Mody w salonach Hotelu Europejskiego zgromadził najpiękniejsze panie stolicy .	Mody	2	Fem
Przecież jestem najsławniejszym gliną Federacji " .	Federacji	4	Fem
- Z remontami kapitalnymi jest marnie .	remontami	2	Masc
Stanowczo odradza się naśladowanie ich przez turystów , ponieważ dla człowieka wejście na leżący na zboczu płat śniegu kończy się tragicznie .	zboczu	15	Neut
– Jeden z nich zaczął napierać na mnie ciałem .	ciałem	8	Neut
Ci oczywiście nie zrobili mu najmniejszej krzywdy , gdyż gość był szmalowny .	krzywdy	6	Fem
Nazwisko wyleciało z głowy .	Nazwisko	0	Neut
Za nic nie zrobię z siebie pajaca .	pajaca	6	Masc
Tego nie zastąpi żaden artykuł w gazecie czy debata w telewizji .	debata	8	Fem
Dziś już wiadomo , że powszechnie akceptowany na świecie jest model bazujący na podejściu bilansowym , koncepcji pełnej alokacji i metodzie zobowiązań .	podejściu	13	Neut
Przerwali terapię we Mstowie i w krótkim czasie zmarli z powodu narkotycznego przedawkowania .	przedawkowania	12	Neut
Czytanie jest u kalwinów powinnością religijną , obowiązkiem wierzącego .	kalwinów	3	Masc
Podczas ceremonii otwarcia Spływu organizatorzy przyznali liczne odznaczenia zasłużonym kajakarzom .	odznaczenia	7	Neut
Niedawno premier Pawlak sformułował publicznie , w specjalnym wystąpieniu telewizyjnym , swoje własne zastrzeżenia .	wystąpieniu	8	Neut
– Do dzisiaj , przez prawie półtora roku , nie występowaliśmy o nic .	półtora	6	Neut
To zwierzę wyróżnia się umiejętnością niesienia pomocy .	umiejętnością	4	Fem
Wargi nie pulsowały triumfującą czerwienią .	czerwienią	4	Fem
Poirytowani posłowie - projektodawcy sprawdzili te informacje .	posłowie	1	Masc
Uruchamiany system ma stać się zaczątkiem większego , obejmującego całą Wielkopolskę .	zaczątkiem	5	Masc
Za linią lasu błysnęła w słońcu blacha na wieży kościoła .	linią	1	Fem
Haberda patrzy na Gabrielę bez sympatii .	sympatii	5	Fem
W minionym tygodniu w Poznaniu dyskutowali o niej samorządowcy i przedstawiciele administracji rządowej województwa .	województwa	13	Neut
Nie dostawał przepustek .	przepustek	2	Fem
Jest mowa i o plastikach w paski na kurtki dla pocztów sztandarowych .	pocztów	10	Masc
W Egipcie sporo jest Polaków ; handlowców , inżynierów .	inżynierów	8	Masc
Petronakt nie zgodził się z umorzeniem i złożył na nie zażalenie .	umorzeniem	5	Neut
Czy nowa białoruska elita intelektualna jest już ukształtowana ?	elita	3	Fem
Pomagają okłady z rumianku .	okłady	1	Masc
Ustalono to na podstawie mutacji zachodzących w wirusie .	wirusie	7	Masc
Siano chrzęści w zębach wołów , słychać tylko chrupot i głębokie oddechy zwierząt .	zębach	3	Masc
Księgowe potwierdziły , że działały w porozumieniu z kilkoma członkami spółdzielni .	porozumieniu	6	Neut
Jak poinformował Cesar Fraga z Uniwersytetu w Buenos Aires , przeprowadzone tam badania wykazały , że czekolada wzmacnia antyutleniacze znajdujące się we krwi , zwiększając odporność na zaburzenia serca i naczyń wieńcowych .	zaburzenia	27	Neut
Pamiętam w Iveronie w sześciu gablotach stłoczone największe relikwie .	relikwie	8	Fem
Wprowadzenie rozwiązań proponowanych przez SLD prowadziło by do wynaradawiania .	Wprowadzenie	0	Neut
Przybysz ze Szwecji wyznał , iż od dawna interesuje się malarstwem .	malarstwem	10	Neut
Zwykły mieszkaniec kraju ma się leczyć ziołami , które zaleca tradycyjna medycyna koreańska .	ziołami	6	Neut
Dzięki archiwum zachowały się kopie .	archiwum	1	Neut
Wśród poplenerowych prac królują grafiki i szkice .	szkice	6	Masc
Jest najwyższym mężczyzną w oddziałach Agencji Restrukturyzacji i Modernizacji Rolnictwa w Polsce .	mężczyzną	2	Masc
Pan asesor zamilkł i więcej już do końca sądu nie otworzył ust swoich .	asesor	1	Masc
Malarz uspokoił się .	Malarz	0	Masc
Nie wykluczył zwolnień .	zwolnień	2	Neut
Sklejka , która była tegorocznym pewniakiem do prywatyzacji , nie ma żadnego szefa .	pewniakiem	5	Masc
Miał oczy przymknięte , blada twarz była bez wyrazu , jakby zabierał się do wysłuchania banalnej spowiedzi .	wysłuchania	14	Neut
Rozumiem twoją żałość , Mikołaju . . .	żałość	2	Fem
W ZUS nie ukrywają , że lekarzom trudno udowodnić , iż nadużywają swych kompetencji .	kompetencji	13	Fem
Sprzedaż monti i stanowisk nie pokrywała chronicznego deficytu .	monti	1	Masc
Chodzi przede wszystkim o obniżenie funduszy strukturalnych i 25-procentowy wyjściowy poziom dopłat dla rolników .	obniżenie	4	Neut
Zmarł w klinice onkologicznej w Warszawie .	klinice	2	Fem
Reagując na stan zaspokojenia tych potrzeb , przeżywa emocje .	zaspokojenia	3	Neut
Uszanowanie i respekt przed Bogiem są bardzo mocno zaakcentowane w doświadczeniu proroków .	Uszanowanie	0	Neut
- Mów że składniej , frater !	frater	5	Masc
Poczta zmniejsza swój deficyt i już w 1997 r. powinna zacząć przynosić zyski .	deficyt	3	Masc
Wczoraj , po zamknięciu lokali wyborczych , niemieckie media zapowiedziały , że pani minister ustąpi ze stanowiska .	zamknięciu	3	Neut
Milicjant i ratownik zaczynają od powrzaskiwań i epitetów .	powrzaskiwań	5	Neut
Równie dobrze mógł by m być chyba biologiem , geometrą .	geometrą	9	Masc
Na parę minut przedtem Roman przyszedł do bufetu z pustym koszykiem do bułek .	bufetu	7	Masc
Ich przedstawiciele , służąc w Gwardii Szlacheckiej , dodawali splendoru Stolicy Piotrowej , a jednocześnie znajdowali tam niejednokrotnie środki dla wygodnego życia , ponieważ za swą służbę otrzymywali pensje .	splendoru	9	Masc
Policjanci odpowiedzieli strzałami .	strzałami	2	Masc
Po ostrej wymianie zdań chłopak wszedł do środka , niestety nie zdążył już niczego zamówić .	zdań	3	Neut
W dziesięciu wsiach przybyło 424 nowych abonentów .	abonentów	6	Masc
Ale płód nie jest dzieckiem .	płód	1	Masc
Krzysztof postanowił dorzucić do maila trochę autentyzmu .	maila	4	Masc
Dziesięciu jeźdźców pokonuje trasę z Torunia do Pucka .	trasę	3	Fem
Wzdłuż kamiennej podmurówki obszedł dom wokoło .	podmurówki	2	Fem
Mój Piotrek uchodzi za speca w dziedzinie drewnianego budownictwa na Podhalu .	budownictwa	8	Neut
Kobieta obracała karty z cichym szelestem .	szelestem	5	Masc
Opony delahaye jednostajnie szumią po asfalcie .	Opony	0	Fem
Hodowla owiec jest do dzisiaj jedną z głównych gałęzi gospodarki tych nadal słabo zaludnionych rejonów .	gospodarki	9	Fem
Od tego czasu sprawa czekała na wyznaczenie terminu .	wyznaczenie	6	Neut
W sobotę podporucznik Ziemba przeniósł swoje łóżko do kuchni , rowery wstawiono do pokoju podporucznika Kowalika .	podporucznika	14	Masc
Pierwszy numer wyjdzie przed świętami .	świętami	4	Neut
Towarzysz jego wzywał Jezusa i jego Matkę , a tacy ludzie jak Esteban wołają te słowa tylko twarzą w twarz ze śmiercią .	Towarzysz	0	Masc
W czasie pozorowanych działań bojowych jednostki z pozycji obronnych dokonają przegrupowania , aby po sforsowaniu szerokiej przeszkody wodnej wyjść na nowe rubieże aktywnych działań zaczepnych .	sforsowaniu	14	Neut
- Znowu zajmujesz się jakimś morderstwem ?	morderstwem	5	Neut
Orkiestry murzyńskie grają ragtime'y , tłum cheerleaderek tworzy radosny , falujący szpaler .	ragtime'y	3	Masc
Mężczyźni po pierwszej łyżce wstali od stołu .	łyżce	3	Fem
Nie żyje już Kunz Aulock ani nikt z jego kompanii .	kompanii	9	Fem
Zauważono też nagminne zaniżanie zarobków pracowników za dni urlopowe lub chorobowe .	zarobków	4	Masc
W depresjach organicznych chory często czuje się zagubiony , bezradny , opuszczony i samotny .	depresjach	1	Fem
Działo się to podczas dochodzenia do nabrzeża w Ystad .	nabrzeża	6	Neut
W opinii BCC dzięki kompromisowi politycznemu , którego zwolennikiem był ekspremier , Polska jest obecnie gospodarczym tygrysem Europy Środkowo - Wschodniej .	tygrysem	16	Masc
Brytyjczycy są więc dominującym udziałowcem w największym polskim towarzystwie emerytalnym .	towarzystwie	8	Neut
Marek mógł by doznać szoku .	szoku	4	Masc
Jednak sam chipset nie stanowi jeszcze o atrakcyjności danej płyty dla użytkownika .	chipset	2	Masc
Skazał go na wiele niepotrzebnych cierpień .	cierpień	5	Neut
Następnie podgrzewamy i przesączamy przez gęste sito .	sito	6	Neut
– i takie akordeony kupują zawodowi akordeoniści ?	akordeoniści	6	Masc
Ale poczucie krzywdy i duma były silniejsze niż zdrowy rozsądek .	krzywdy	2	Fem
Wojewódzki Inspektorat IH był pierwszym w Polsce , który jeszcze na podstawie starych przepisów zawarł porozumienie z Polskim Towarzystwem Towaroznawczym .	Towarzystwem	18	Neut
Uroczysta msza święta w intencji reprezentacji Polski w piłce nożnej została odprawiona w piątek w Kazimierzu Dolnym .	intencji	4	Fem
W takich warunkach wielu duchownych decydowało się na organizowanie katakumbowego życia religijnego .	organizowanie	8	Neut
Dziewczynę bolało kolano .	Dziewczynę	0	Fem
Słucham i uszom nie dowierzam .	uszom	2	Neut
Wyniki badań nad wszystkimi 13 właściwościami doskonale ilustruje przejrzysty wykres na 165 stronie książki .	właściwościami	5	Fem
Biedny ptak , z szeroko otwartym dziobem , zwisał głową w dół , niby ułamana z krzewu kiść .	ptak	1	Masc
Chciał by być teraz w namiocie , oddzielony od wszystkiego .	namiocie	5	Masc
– to zero .	zero	2	Neut
