Tas noteikti būs liels emocionāls atbalsts arī tām ģimenēm , kuru priekšlaicīgi dzimušie mazuļi ir vēl pavisam maziņi sava ceļa sākumā . ”	ģimenēm	8	Plur
Esmu beigusi Ļeņingradas Teātra , mūzikas un kinematogrāfijas institūtu , specialitāte - leļļu teātra aktrise .	leļļu	12	Plur
Bet vajadzētu rīkoties , savu dzīvi veidot , strādāt , noslaukot no lielās skatuves negodprātīgus politiķus , kuri ar vārdiem ir Eiropā , ar darbiem — ir aizkrāsnē .	negodprātīgus	14	Plur
Līdz šim no plūdu skartajām vietām evakuēti septiņi cilvēki , visi nogādāti sauszemē , taču neviens no viņiem nav devies uz pašvaldības nodrošināto evakuācijas vietu Slimnīcas ielā 2.	plūdu	3	Ptan
Uzmanies no dīkām pļāpām ar blakus mājas iemītniekiem .	pļāpām	3	Ptan
2. Ja dalībvalstis izmanto 1. punktā minēto izvēli , tās nosaka laikposma ilgumu , par kuru garantiju iestādei jāapmierina neapmaksātie prasījumi .	dalībvalstis	2	Plur
Bet attieksme pret citiem risinājumiem , protams , bija noliedzoša .	risinājumiem	4	Plur
Mēs esam līdzīgā situācijā , jo nevaram iztikt bez importētiem resursiem .	resursiem	10	Ptan
Tiklīdz zagļi ar laupījumu tajā iekāpa , džips sāka braukt prom .	laupījumu	3	Sing
Vērmahtam ienākot Latvijas teritorijā 1941. gada vasarā , Vācijas vadība bija iepriekš sagatavojusi darbības plānu kompleksam ekonomiski politiskam pasākumu kopumam .	kopumam	19	Sing
( Smiekli )	Smiekli	1	Ptan
