След като беше отведен в районното управление , г-н Пирнарев се върна и обслужихме останалите двама граждани .	отведен	3	Sing
Молдовският президент Петру Лучински подписа на 31 декември указ , с който разпусна парламента и определи предсрочни парламентарни избори за 25 февруари , предадоха световните агенции .	подписа	4	Sing
Със събраните 18 000 лв. няма да можем да осигурим престоя му в бъдеще , поясни тя .	осигурим	9	Plur
- Имат ли студентите достатъчно средства , за да изкарат добре празника ?	изкарат	9	Plur
Ремонтират приватизационните закони заради инфраструктурите .	Ремонтират	0	Plur
Те създават работните места , могат да наемат солидни адвокати , които да бранят интересите им , ако се наложи дори да си платят за нечие мълчание .	наемат	7	Plur
Не е правилно да се употребява терминът " бръмбар " в аргото на тайните служби , възропта вчера директорът на Природонаучния музей д-р Петър Берон .	възропта	16	Sing
Осъдиха посмъртно император Хирохито	Осъдиха	0	Plur
Изборите , националните и местните референдуми се произвеждат въз основа на общо , равно и пряко избирателно право с тайно гласуване .	произвеждат	7	Plur
Разрушено беше нашето селско стопанство , разрушена бе голяма част от нашата промишленост .	Разрушено	0	Sing
Добре е , когато различните вещества са обагрени в различни цветове .	обагрени	7	Plur
Ако не видиш злото , не познаваш доброто .	познаваш	6	Sing
Вероятно тук става дума и за ново понятие в държавата - Муравейска година , която да е с 11 месеца .	става	2	Sing
Ако някой наистина иска да плати толкова много пари , за да не излезе тя , това е просто поразително : по-добре да ги дадат за попълване бюджета на Украйна ...	излезе	13	Sing
Бездействието поддържа завистта .	поддържа	1	Sing
Обожавах дискусиите по английски за Селинджър , Мили , Уортън и Фиджералд .	Обожавах	0	Sing
Заместник-председателите на Народното събрание подпомагат председателя и осъществяват възложените им от него дейности .	подпомагат	4	Plur
- Ако все пак се стигне до въвеждане на визи за Македония , има ли опасност да последват ответни мерки ?	последват	17	Plur
55 % от родните бизнесмени смятат , че корупцията е основен проблем .	смятат	5	Plur
Щетите от индустриален пожар , удар от мълния , експлозия , падащи летателни тела до $ 1 млн. се поемат поравно от " Енергия " и ДЗИ .	поемат	19	Plur
Според него хората са се научили да разпознават политиците .	научили	5	Plur
69-годишният магистрат е отговарял за военните дела в най-висшата съдебна институция на Апенините .	отговарял	3	Sing
