Cowl war in seiner Rollenwahl vor allem auf Komödien , so in einer Reihe von Filmen Jean Yannes , spezialisiert .	Yannes	17	Dat
Athlon-Nachfolger Palomino nicht zur CeBIT	Palomino	1	Acc
Auch sein Vater Pierre ( 1905-1972 ) und seine Mutter Odette Joyeux ( 1914-2000 ) waren zu ihrer Zeit anerkannte Schauspieler .	Joyeux	11	Nom
Um den Transport sämtlicher Juden nach Saloniki zu erwirken , wurde von Dr. Schäfer dem Reichssicherheitshauptamt schriftlich ein entsprechender Vorschlag unterbreitet .	Saloniki	6	Dat
Bei Cyberpirates von der Wiesbadener Agentur Scholz und Volkmer Intermediales assistiert mit viel Flash die Crew des Raumschiffs Molotov beim trendigen Klamottenkauf .	Scholz	6	Nom
Wir haben schon viele Hausgeräte bei MAXX gekauft und können die Firma nur empfehlen .	MAXX	6	Dat
Zuletzt hatten die Investoren Telia abgestraft , da der Konzern daran gescheitert war , im eigenen Land eine UMTS-Lizenz zu erhalten .	Telia	4	Acc
Von einer dieser Naturkatastrophen zeugt die 1478 eingerissene Nobiskuhle im Ortsteil Braake .	Braake	11	Dat
Über die Festnahme aller Teilnehmer einer Demonstration herrscht in der Szene Amsterdams große Aufregung ( http://www.contrast.org/eurostop ) .	Amsterdams	11	Gen
Zu den Autobahnanschlüssen der A 3 Mogendorf und Dierdorf gelangt man über die B 8 / B 413 .	Mogendorf	6	Acc
Über den Preis für " Aibo " machte Sony keine Angaben .	Aibo	5	Acc
War jetzt in fast allen Tabledance Clubs in München wobei ich sagen muss , dass der neu eröffnete Laden Blackboxxx für Männer der mit Abstand beste Laden ist .	Blackboxxx	19	Nom
McCullers gefiel der neue Titel allerdings sehr gut .	McCullers	0	Nom
Das SD-Modul ( Secure Digital ) , Panasonics äußerst kompaktes Pendant zu Sonys Memory Stick , zeichnet sich durch eine sehr hohe Übertragungsrate und einen eingebauten Kopierschutz aus ;	Sonys	12	Gen
Szenen aus dem Leben der Heiligen Johanna von Walter Braunfels und Oberst Chabert von Hermann Wolfgang von Waltershausen .	Johanna	6	Gen
Jessek ( Jesiko ) , dessen Tochter Kunigunde von Kolowrat 1386-1401 Fürstin - Äbtissen des Sankt Georgs - Kloster auf dem Hradschin in Prag war .	Kunigunde	7	Nom
Die vorgesehenen Produkte werden auf 3Coms Switches SuperStack II/CoreBuilder und auf den Hicom-/HiNet-Telefonanlagen sowie Telefonie-Software von Siemens beruhen .	3Coms	5	Gen
Der amerikanische Telekom-Riese AT&T hat angekündigt , eine Million Settop-Boxen des holländischen Hardware-Herstellers Philips zu kaufen .	AT&T	3	Nom
Kopot erlernte das Eishockeyspielen in der Nachwuchsabteilung des HK Traktor Tscheljabinsk , einem der Eishockeyklubs seiner Geburtsstadt Tscheljabinsk am Ural .	Traktor	9	Gen
Der Online-Shop hatte dazu beigetragen , Libro in die Verlustzone zu bringen .	Libro	6	Acc
In den Jahren 1964 und 1968 nahm er als Delegierter an den jeweiligen Democratic National Conventions teil .	Conventions	15	Acc
Der Ex-Monopolist Belgacom , Mobistar ( France Telecom ) und KPN-Orange erhielten die UMTS-Lizenzen ohne eine Versteigerung ; der belgische Staat kassiert 450,2 Millionen Euro .	KPN-Orange	10	Nom
Ähnliche Vorstellungen wurden in den Vereinigten Staaten auch von Curt Sachs vertreten , der ab 1937 an der New York University lehrte , und nach 1950 ebendort durch den Hornbostel - Schüler Mieczyslaw Kolinski .	Kolinski	33	Acc
