V niekoľkých sekundách po prebudení sen i spomienka , ktorá ho podnietila , splynuli v jeho mysli v jedno .	prebudení	4	Neut
Vybudovanie environmentálnej infraštruktúry je nevyhnutnou podmienkou pre vstup do EÚ .	infraštruktúry	2	Fem
Aladin sa zakrádal hore po schodoch s Abuom na pleci .	pleci	9	Neut
Práve došli na okraj malého lesíka .	lesíka	5	Masc
V ich národnom epose Kalevala nájdeme napr . starobylý výklad o pôvode sveta z vajca .	epose	3	Masc
Namiesto neho som objavil dve nečakané veci : svadobné šaty aj s vencom a fotografiu akejsi ženy .	fotografiu	14	Fem
Červený od zlosti vykríkol : “ Ty si ale nemehlo !	zlosti	2	Fem
Bežala za veliteľom mravcov a prosila ho , aby vyhlásil po Flipovi pátranie .	pátranie	12	Neut
Potom Maja s kamarátmi pomáhala stroskotancom z vody na nové plavidlo .	stroskotancom	5	Masc
Tentoraz na televízne obrazovky v podobe 13 - dielneho seriálu .	obrazovky	3	Fem
Spoločne mu ukázali upravené domčeky i podzemné chodby .	domčeky	4	Masc
Práve preto mal spev kohúta aj druhý význam .	spev	3	Masc
V hlbinách zasa mocné morské obludy . “	hlbinách	1	Fem
Neveríme princípom angsocu .	angsocu	2	Masc
Namiesto veľkého podnosu niesla malú tácku , na ktorej bola len jedna šálka s kávou a jeden pohár s rakijou .	podnosu	2	Masc
Vysypte do nej kuskus a vypnite oheň .	kuskus	3	Masc
Vtedy som zdvihol telefón a vytočil číslo 09 .	telefón	3	Masc
A kto tie náročné preteky vyhral .	preteky	4	Masc
Útek sa podaril .	Útek	0	Masc
1 . zázračné vyberanie obilia a rýb spoza ženských pliec .	obilia	4	Neut
Obaja sme začuli mamino zlostné vzdychnutie .	vzdychnutie	5	Neut
Kráľovná Maja a pavúčica Tekla	pavúčica	3	Fem
V nasledujúcej chvíli nastal obrovský rozruch .	rozruch	5	Masc
„ Viera môže dávať človeku životnú istotu “ , mieni profesor Ďurovič .	človeku	4	Masc
Do toho domčeka prichádzal každý večer človek .	domčeka	2	Masc
