Vuotta aiempaan verrattuna uusia ajoneuvoja rekisteröitiin 17,6 prosenttia enemmän .	rekisteröitiin	5	Pass
Autonomisessa Suomessa ei enää riittänyt , että vain ylimpiin säätyihin lukeutuvat poikalaset saatettiin koulutielle .	lukeutuvat	10	Act
Haluaisin kysyä teiltä , isiltä ja äideiltä , jotka annatte lapsillenne ilmakivääreitä lahjoiksi , että tiedättekö mitä lapsenne niillä tekevät ?	tiedättekö	15	Act
Valitettavasti yksikään mainituista tutkimuksista ei sisällä riittävän suurta aineistoa , jotta identtisen perimän osuudesta tai suhteesta ympäristöoloihin voitaisiin tehdä tilastollisia päätelmiä .	mainituista	2	Pass
Lasten unissa pelastetaan tähtijärjestelmiä ja tapetaan örkkejä ja varastellaan autoja , muttei pelätä .	varastellaan	8	Pass
Meylle ei koskaan huudettu , saati luennoitu .	huudettu	3	Pass
Hän oli valmis uuteen päivään tuttuine rutiineineen , tunsi lempeän lämpimän tuulenvireen rinnassaan ja olisi kiittänyt aurinkoa verbaalisesti , jos olisi ollut vähäjärkisempi .	tunsi	8	Act
Osallistuvat taiteilijat ovat jokainen saaneet museosta oman , erillisen tilansa .	Osallistuvat	0	Act
Tämän kaiken huomioon ottaenkin törmää yliopistolla jatkuvasti tapauksiin , joissa saman oppiaineet samantasoisille opiskelijoille suunnatut kurssit vaativat selkeästi erilaisen työmäärän , mutta antavat työstä saman määrän opintopisteitä .	suunnatut	14	Pass
Tämä luhistumaisillaan ja hajallaan oleva valtio on järjestettävä uudelleen .	järjestettävä	7	Pass
Kuopion yliopistossa syntyi vuodenvaihteessa 1993-1994 ensimmäinen ihmiseltä eristettyä perintötekijää kantava siirtogeeninen vasikka , jonka toivotaan tuottavan myöhemmin maidossaan lääkeaineeksi soveltuvia hormoneja .	eristettyä	7	Pass
Voidaan huomata , että on käynnissä siirtyminen loppupalkan perusteella määritellyistä perinteisistä etuusperusteisista eläkkeistä eläkejärjestelmiin , joiden kuluja voidaan helpommin valvoa .	määritellyistä	9	Pass
makasit sängyllä liikkumatta .	makasit	0	Act
Näin tehtyäni pohdin muutaman hetken siirtymistä kofeiinipitoisen aamiaisen pariin keittiöön , mutta huoneilman hyytävä kylmyys ja jäsenieni uninen kohmeisuus pakottavat minut palaamaan peiton alle vielä viideksitoista minuutiksi .	tehtyäni	1	Pass
Miksikähän tämän ohjelman lähetys lopetettiin ?	lopetettiin	4	Pass
Olin sitaisemassa narua kiinni	sitaisemassa	1	Act
Sätkä onnistuttiin kääntämään selällään , muttei onnistuttu hajottamaan talon ikkunoita falsettilaululla , ainakaan ennen sitsiläisten paluuta .	onnistuttiin	1	Pass
Luvattiinkos me viedä tuo laituri takaisin ? Venla kysyi .	Luvattiinkos	0	Pass
Et puhu ennen kuin annan luvan ja et vastaa ennen kuin kysyn .	annan	4	Act
Jos Eurooppa olisi yhdistynyt jo tuolloin , olisi säästetty miljoonia ihmishenkiä sekä mittaamaton määrän inhimillisiä ja materiaalisia tappioita .	yhdistynyt	3	Act
Suomen Akatemian lukiolaisille järjestämän vuoden 2009 Viksu-tiedekilpailun kansainvälisen sarjan 4000 euron suuruisen ykköspalkinnon voitti Salli Anttila Turun normaalikoulusta fysiikan alan työllään .	järjestämän	3	Act
Näette sen ylläni huomisessa risteilypostauksessa eräässä sovituskuvassa .	Näette	0	Act
hänelle ei alkuun annettu laskettavaksi uusia kohteita .	laskettavaksi	4	Pass
Puhutaan 300-400:sta luvatta tapetusta hylkeestä vuosittain .	tapetusta	3	Pass
Painotetaan kansalaistiedon osuutta tutustuttamisohjelmissa ja muissa vastatulleille kolmansien maiden kansalaisille tarkoitetuissa toimissa .	Painotetaan	0	Pass
Jätetään tänne tusina miehiä ja niille pomo ja myös hevonen jää tänne .	Jätetään	0	Pass
Hennot jalat tömähtävät maahan ja siitä nousee ohut pöly luikertelemaan nilkkojen ympärille .	luikertelemaan	9	Act
Me jouduimme kuulusteltavaksi .	kuulusteltavaksi	2	Pass
Porukka hämmästelee purjelaivasäätiölle tekemässä kirjoituksessaan päällystön alkoholinkäyttöä .	hämmästelee	1	Act
Maksanet tästä kookkaasta vesipedosta jonkin markan , jotta voin halun ja tarpeen mukaan panna sen menemään jotenkin .	Maksanet	0	Act
Niitä se pyydystää syksyisin varastoonkin .	pyydystää	2	Act
( 5 ) Kuluttajien akuuttia altistumista näille torjunta-aineille kaikkien sellaisten elintarvikkeiden välityksellä , jotka saattavat sisältää jäämiä , on tarvittaessa arvioitu yhteisössä käytettyjen menettelyjen ja käytänteiden mukaan ottaen samalla huomioon Maailman terveysjärjestön julkaisemat ohjeet .	julkaisemat	32	Act
Ensinnäkin kun Euroopan sosiaalinen malli mainitaan – ainakin näissä raporteissa , kun käsitellään Lissabonin strategiaa – keskitytään yleensä yksinomaan elin- ja tulotasoon , jotka olisi taattava .	taattava	25	Pass
4 ) Korvataan 3 artikla seuraavasti :	Korvataan	2	Pass
Sanos muuta .	Sanos	0	Act
Tähän päivään saakka Yhdysvallat on tehnyt tyhjiksi kabotaasiin liittyvät neuvottelut vetoamalla turvallisuusnäkökohtiin , minkä vuoksi alalla ei ole edistytty lainkaan .	vetoamalla	10	Act
Vaikka aika oli vaikea , oli hallituksen työskentely luistavaa .	luistavaa	8	Act
Valaan laulu saattaa kestää puolikin tuntia ja konsertti venyä monen tunnin mittaiseksi .	venyä	8	Act
älä ny viitti	viitti	2	Act
Rapujen ystävillä on rapukesteihin valittavana kolme rapulajia .	valittavana	4	Pass
Tuollaisia naiset olivat , heti suojelemassa tyttäriään , kun nämä uskalsivat katsahtaakaan miesten puoleen	suojelemassa	5	Act
heidän itsestäänselvyyksiään painetaan hyvälle , parhaasta puusta tehdylle paperille .	painetaan	2	Pass
kotoa teatterille matkattiin yhteisessä autossa sanaa vaihtamatta , mutta näyttämöllä tuettiin toinen toisiaan sataprosenttisesti .	matkattiin	2	Pass
Haluaisin muistuttaa , että tämä direktiiviehdotus koskee sellaista alaa , jota ei koskaan aiemmin ole säännelty .	säännelty	15	Pass
Oli ehdittävä valmiiksi ennen kuin äiti tulisi	ehdittävä	1	Pass
Kaappaamme matkaan kahvia , voileipää ja limonadipullot ja istahdamme pöydän ääreen turinoimaan .	istahdamme	8	Act
Oonksmä jo sisällä ?	Oonksmä	0	Act
Sotilaspukuun ja majurin arvomerkkeihin sonnustautunut Mikkonen saapui yllättäen sotaharjoituksen tiedotuskeskukseen ja kiinnitti huomionsa paikalle olleen kersantin tapaan tervehtiä .	sonnustautunut	4	Act
- Valintakokeiden poistaminen ei ole hyvä asia , koska sitten ylioppilaskirjoituksissa pitäisi onnistua , jos haluaisi saada jatko-opiskelupaikan , sanoivat Juhana Herttuan lukiolaiset Hanna Grönroos ja Rosa-Maria Ketola .	onnistua	12	Act
" Bethin " lauluosuudet nauhoitettiin kokonaan uusiksi - alkuperäisen rumpalin Peter Crissin vokaalit korvasi silloinen kannuttaja Eric Carr .	nauhoitettiin	4	Pass
Kullakin jäsenvaltiolla on oikeus jättää tämän asetuksen soveltamisalan ulkopuolelle sellaiset tavarakuljetukseen tarkoitetut tieliikenteen moottoriajoneuvot , joiden hyötykuorma tai suurin sallittu massa kuormattuna on tiettyä rajoitusta pienempi .	tarkoitetut	11	Pass
Apua kasaantui myös kuljetusten ja jakelun synnyttämiin pullonkauloihin .	kasaantui	1	Act
Kannattaa muutenkin seurailla GitHubia , sillä en kirjoittele blogiin läheskään niin usein kuin teen muutoksia koodin ja muihin juttuihin .	seurailla	2	Act
Näissä otteluissa syntyneet kaksi maalia riittivät kuitenkin vakuuttamaan seurajohdon miehen kyvyistä .	vakuuttamaan	7	Act
Mesi on kuitenkin kätketty kukkien syviin kannuksiin ja hyönteisten on kuljettava ahtaan kukan läpi , jotta saisivat mettä .	kätketty	3	Pass
Rakkaus tekee heistä vaistojen ja viettien paiskeltavia marionetteja .	paiskeltavia	6	Pass
Näin ollen tänään puolenpäivän aikaan pidettyjä äänestyksiä ei voi kyseenalaistaa , vaan ne katsotaan hyväksytyiksi .	hyväksytyiksi	14	Pass
Helvetti soikoon !	soikoon	1	Act
Otathan mukaan ystäväsikin .	Otathan	0	Act
Biisi eteni perustyylillä samaan tapaan kuin on totuttu kuulemaan nyt juhlakiertueella ja viime vuoden keikoilla .	totuttu	7	Pass
Avauksen mielletään yleisesti antavan valkealle liian paljon tilaa keskustassa .	mielletään	1	Pass
Suomi , Ruotsi , Norja , Tanska ja Islanti pelastivat siis maailmanjärjestön akuutilta kassakriisiltä	pelastivat	9	Act
Kiinassa ihmiset eivät pysty vaikuttamaan omaan ympäristöönsä , kuten siihen , mitä rakentamisen tieltä puretaan ja mitä ei .	puretaan	14	Pass
Hän on kertonut lapsuudestaan sen verran , että polski lastenaltaassa vielä yläasteella .	polski	8	Act
Toisaalta matkaseura aina kävi kyseeseen , joten hetken lintua taas tuijoteltuaan mies kääntyi kannoillaan kohti kotitaloaan , eikä pahoitellut sen enempää kuullessaan räpyttelyn ja pomppimisen jatkuvan taustalla .	pahoitellut	18	Act
Ei minulla ole tarinoita kerrottavaksi , ei vitsejä heiteltäväksi , ei mukavia juttuja eikä pitkiä litanioita , vain pelkkä ääni jonka kuulet jos haluat .	kerrottavaksi	4	Pass
Valmiiksi keitettyjä etanoita saa kaupasta purkitettuina ja pakastettuina .	pakastettuina	7	Pass
Helenin tavattuani menimme kilpailemaan Seinäjoen Tangomarkkinoille .	tavattuani	1	Pass
Koetin säästää saadakseni sellaisen .	saadakseni	2	Act
Mutta tänä yönä tunnut kuitenkin tarvitsevan halveksitun roomalaisen apua .	halveksitun	6	Pass
heidän itsestäänselvyyksiään painetaan hyvälle , parhaasta puusta tehdylle paperille .	painetaan	2	Pass
Jos ei huolehdi itsestään , niin mikään ei suju .	suju	8	Act
Merituomarin siikakeitto on valmis nautittavaksi .	nautittavaksi	4	Pass
eivät ole kertoneet	kertoneet	2	Act
Työ valmistunee parissa vuodessa .	valmistunee	1	Act
Tehtävään soveltuvat parhaiten palveluskoirarodut	soveltuvat	1	Act
( 2 ) Euroopan keskuspankkijärjestelmä ( EKPJ ) edellyttää rahalaitossektorin konsolidoidun taseen tuottamista voidakseen suorittaa tehtävänsä .	konsolidoidun	10	Pass
Haluaisin määritellä lyhyesti , mitä ovat niin väärennetyt kuin laittomasti valmistetut tavaratkin .	väärennetyt	7	Pass
Siinä se on kyllä semmoinen heppu , että lähtipä se mitä tahansa tekemään , niin kaikki se kyllä tekee .	lähtipä	8	Act
Moskovalaiset tuntuvat tietävän , mikä puolue on .	tuntuvat	1	Act
Nyt kai ymmärrät , miksi sinun pitää lähteä täältä , ennen kuin kukaan osaa vielä epäillä mitään .	ymmärrät	2	Act
Ensin allekirjoitetaan yhteisön tekstejä , koska ei uskalleta esittää vastalauseita , ja sitten myöhemmin pestään kädet niiden täytäntöön panemisesta .	pestään	14	Pass
Saarela lisää , että heikosti näkevilläkin olisi hyvä olla keppi mukanaan .	näkevilläkin	5	Act
Pitääkö sun olla noin synkkä	Pitääkö	0	Act
Siis se ettei punanen oo se mistä ne vauhkoontuu vaan se liike mitä ne matadorit tekee .	vauhkoontuu	8	Act
- " rekisteröidyllä " tarkoitetaan jäsenvaltion virallisen laitoksen ylläpitämään tieliikenteen ajoneuvojen rekisteriin kuulumista riippumatta siitä , liittyykö tällaiseen rekisteröintiin rekisterikilpien antaminen .	liittyykö	16	Act
Myös avioeron hän hyväksyy , jos ei kerran tule toinen toisensa kanssa juttuun	hyväksyy	3	Act
tänä vuonna nelikko TI , MR , AM , JT suunnisti Kalvolassa Suomen mestariksi .	suunnisti	10	Act
Jyväskylän yliopiston raportin mukaan nokialaiset pystyttiin sijoittamaan uudelleen erinomaisesti , eivätkä irtisanomiset näkyneet työttömyyden lisääntymisenä .	näkyneet	12	Act
onhan siellä erilaista katsottavaa ja koettavaa aina Kuninkaanlinnasta lähtien .	koettavaa	5	Pass
Olisi helppo sulkeutua omaan maailmaansa , kieltäytyä ajattelemasta asioita uudelta kantilta ja sanoa , että naistutkimus on hirveää kakkaa .	sulkeutua	2	Act
Kaikista näiden sivujen tehtävistä arvotaan oikein ratkaisseiden kesken rahapalkinto puhtaana käteen .	ratkaisseiden	6	Act
Ovi avataan viivytellen .	avataan	1	Pass
Olisi edes joku , joka ilahtuisi tulostani pyyteettömästi .	ilahtuisi	5	Act
” Jos esimerkiksi Turkuun perustettaisiin uusi yksikkö , se tulisi erikoistumaan johonkin tiettyyn toimintamme alueeseen . ”	erikoistumaan	10	Act
Esimerkiksi Christer Gardellin hallinoiman ja miljonääri Carl Ichanin rahoittama Cevian Capitalin ja Nordean sijoitusammattilaiset olivat mukana miljoonien eurojen sisäpiirikaupoissa Ruotsissa .	hallinoiman	3	Act
Hitaasti sain avattua vaunun ainoaksi havaitsemani oven , ja näin suoraan ulos , kiskoille ja kauemmas .	havaitsemani	5	Act
Kommentoidessaan videota , jossa maailman etsityin terroristi Osama bin Laden oli kehottanut Irakin islamisteja yhdistymään , Romney painotti demokraatti Barack Obaman esittäneen tämän kehotuksen ja ihmetelleen demokraattien elämistä fantasiamaailmassa .	Kommentoidessaan	0	Act
Hänelle suurin unelma on jonakin päivänä kiivetä maailman korkeimmalle vuorelle ilman happilaitteita .	kiivetä	6	Act
Vaan ei Index ole kaikessa tiimellyksessä unohtanut juhliakaan , sillä perinteistä Winter Touria vietetettiin laskiaisena kirpeän asiaankuuluvan pakkassään vallitessa ja kuuman kaakaon lämmittäessä opiskelusta uupuneita opiskelijoita .	uupuneita	24	Act
Yrityksillä voi kuitenkin olla sopeutumisongelmia palattaessa normaaliaikaan .	palattaessa	5	Pass
Päätin harjoittelevani vain niin , että se tuntuu minusta mukavalle .	harjoittelevani	1	Act
Keskustelussa palattiin vapun jälkeiseen arkeen puhumalla talousvaikeuksiin vajonneelle Kreikalle vahvistuneesta talousapupaketista sekä tilanteen kirvoittamista kysymyksistä liittyen EU-politiikan tulevaisuuteen .	vajonneelle	7	Act
Projekti etenee hitaasti mutta varmasti .	etenee	1	Act
Aiempi , joulukuussa 2007 asiasta järjestetty kansanäänestys ei tuottanut haluttua tulosta ( 51 % kannatti tuolloin valtakausien rajauksen säilyttämistä äänestysaktiivisuuden ollessa 56 % ) , joten tällä kertaa äänestäjien aktivoimiseen panostettiin enemmän .	järjestetty	5	Pass
Hänen mielestä Koivisto suotta puolusti myös joitakin armeijan johdon tekemisiä .	puolusti	4	Act
Meitä tarkkaillaan .	tarkkaillaan	1	Pass
- Ei täällä mikään niin huonosti ollut , mutta oli vain nähtävä muutakin .	nähtävä	11	Pass
Syynä voi toki olla pätkän natsityyli mahtipontisella musiikilla varustettuna , propagandaa vaiko ei …	varustettuna	8	Pass
Tartteekos mun nostaakkaan muuta ku painaa noi vaa alas .	Tartteekos	0	Act
Jotta edellä mainittu tuhoutumiskertomus tulisi oikaistuksi todettakoon , että suomalaisten hyökkäys Itä-karjalaan eteni .	oikaistuksi	5	Pass
Suosittelisin , että sellaiset ihmiset menisivät nyt itseensä .	Suosittelisin	0	Act
Jos hinnat , jotka ovat myyntihetkellä kustannuksia alhaisempia , ylittävät tutkimusjakson kustannusten painotetun keskiarvon , on niiden katsottava kattavan kustannukset kohtuullisen ajan kuluessa .	katsottava	17	Pass
” Kaikki työpaikat täytetään sitä kautta , joten menettely on sama kaikille , eikä paikkoja jaeta pöydän alta tutuille tai sukulaisille . ”	jaeta	15	Pass
Mutta sopeutuivatko ne Marsin olosuhteisiin ?	sopeutuivatko	1	Act
Kuljetaan siis aistit avoimina .	Kuljetaan	0	Pass
Silloin hanke kariutui ja haudattiin vähin äänin .	kariutui	2	Act
Pitkäaikaistyöttömyyden ehkäisy on tärkeää , mutta Räisänen muistuttaa , että jo syntyneeseen pitkäaikaistyöttömyyteen on pystytty ajoittain puuttumaan .	puuttumaan	16	Act
Kyseessä on ilmiselvästi osa valtion säästötoimia , mutta tarkemmin tutkittuna mielestäni varsin kyseenalaista säästämistä .	tutkittuna	9	Pass
Periaatteena oli pukeutua joka luennolla vaaleanpunaiseen paitaan , mutta siitä lipsuttiin loppua kohden .	pukeutua	2	Act
Sen päälle maksettaisiin naislisää .	maksettaisiin	2	Pass
Vaikka tilanne saataisiin rauhoitettua ja purettua hallitusti , kukaan ei haluaisi ottaa riskiä , että kriisi toistuisi .	purettua	5	Pass
( 11 ) päätöksellä 89/382/ETY/Euratom ( 6 ) perustettua tilasto-ohjelmakomiteaa on kuultu kyseisen päätöksen 3 artiklan mukaisesti ;	perustettua	8	Pass
Toinen syöpää laukaiseva tekijä voi olla UV-säteilyn vaikutus solujen perimään , dna:han .	laukaiseva	2	Act
Siitä , voidaanko EU:sta erottaa , ei ole olemassa säännöksiä tai sopimuksia .	voidaanko	2	Pass
Prosenteissa mitattuna tosi rajuja leikkauksia , Kalliomäki päivittelee	päivittelee	7	Act
Lehdistössä on jo ryhdytty etsimään Hämäläisen seuraajaa SAK:n puheenjohtajana .	ryhdytty	3	Pass
Tähän on olemassa oma hyvä syynsäkin kuten Aamulehden toimittaja Riitta-Liisa Pirttikoski toteaa : " Ja miksi , sillä paras on sama : omintakeinen itsellisyys , jonka avulla seistään pystyssä , toi tuleva mitä tahansa "	seistään	27	Pass
Moottoripyöriä valmistava osa onnistui vakuuttamaan sijoittajat ja teki hienon paluun huipulle .	vakuuttamaan	4	Act
Mies tuuppasi hellästi kengänkärjellään lintua , joka virkosi ja alkoi räpytellä siipiään vimmatusti , joskin tuloksetta .	tuuppasi	1	Act
Hän kokeilee pohkeen liikkuvuutta painamalla leikatun jalan jalkaterää varovaisesti eteenpäin .	leikatun	5	Pass
Tämä vain kertoo , että sinusta välitetään .	välitetään	6	Pass
Olemme liian köyhiä uhrataksemme puoli miljoonaa .	uhrataksemme	3	Act
Ehkä unohdatkin hänet , on koeviikko tulossa ja paljo muuta ajateltavaa .	unohdatkin	1	Act
Suomalaisissa foorumipiireissä odotellaan nyt kiinnostuneina missä näpsäys julkistetaan .	odotellaan	2	Pass
Eilen teimme ruokaa yhdessä , korkkasimme punaviinin ja rupattelimme kaikesta mahdollisesta .	korkkasimme	5	Act
Poliisi ei ampunut välikohtauksen aikana yhtään laukausta , mutta poliisia kohti ammuskelija ampui yhden laukauksen .	ampui	12	Act
Ja nyt ihan taas muistatte hei niit pikku yksityiskohtii .	muistatte	4	Act
Hyväksyttäneen kokouksen esityslista työjärjestykseksi .	Hyväksyttäneen	0	Pass
Älkää te siihen tunkeko .	tunkeko	3	Act
Miksi hitossa minä suostuin ?	suostuin	3	Act
Keltaiset johdot kytkevät numeroiden samat osat toisiinsa .	kytkevät	2	Act
À eli à ( a ja gravis ) on ranskankielisestä prepositiosta lainattu tapa merkitä kappalehintaa tai muuta yksikkökohtaisesti laskettavaa ominaisuutta .	laskettavaa	18	Pass
Tämä 5 e ( muistaakseni ) maksanut lohipiirakkapalanen nautittiin puolitettuna siskon kanssa Rukan reissulla Kuusamon Prisman kahviossa .	nautittiin	8	Pass
Pahvilaatikoiden röykkiöt nurkissa ja komeroissa ovat harmaita ja luovat lopun tunnelmaa .	luovat	8	Act
Hullulla onkin halvat huvit : jaksan kysellä kyselemästä päästyäni , valitseeko tärkeä ihminen mansikan vai mustikan , lampaan vai riistan , käyttääkö tämä homejuustoja jos niin , onko siitä ollut ongelmaa ja tarkkailen , kuinka tämä syö voileipänsä .	tarkkailen	32	Act
Tuskin Elina huomasi , kun hänen lasinsa täytettiin uudelleen .	täytettiin	7	Pass
Suomeen ostetuissa Horneteissa varustus kun on luokkaa parempi kuin vastaavissa Yhdysvaltojen käytössä olevissa koneissa .	ostetuissa	1	Pass
Parkanon poliisi saikin vahvassa humalassa olleen miehen pidätetyksi .	pidätetyksi	7	Pass
Isänsä tahdon mukaisesti Robertille annettiin vuonna 1237 hallittavaksi Artois'n kreivikunta .	hallittavaksi	7	Pass
Juho viittasi Jaakkoa tulemaan sisälle savupirttiin ja vilkaisi vielä pihalle ennen kuin sulki oven .	sulki	12	Act
Älä murehdi .	murehdi	1	Act
He viljelivät puolentoista hehtaarin peltoalaa jolla he kasvattivat palkokasveja , viljaa , rohtoraunioyrttiä ja siankärsämöä ; ne he korjasivat , käsittelivät ja myivät terveyskaupoissa pitkin maata .	viljelivät	1	Act
Vaikka vinkkasi silmää sanoessaan , jäi minuun pieni pato .	vinkkasi	1	Act
Molvania on sijoitettu Saksan , Ukrainan , Romanian ja Slovakian väliin .	sijoitettu	2	Pass
säet jaksa paskaa ?	säet	0	Act
Tämä olisi lienee vielä pienellä tutkimisella ratkaistavissa .	ratkaistavissa	6	Pass
Helsinkiläinen Ossi Lehtiö tunnisti historioitsijana Acerbin heti , mutta todisteiden kaivaminen osoittautui hankalammaksi .	tunnisti	3	Act
" Kanadalaiset käännytettiin jälleen kerran , mutta me ja yksi länsisaksalainen pääsimme läpi " , hän sanoi .	käännytettiin	2	Pass
