Poliisin epäilee vuosina 2005–2008 tehdyistä törkeästä petoksesta vakuutusyhtiön työntekjöinä olleita vahinkotarkastajia ja useita suomalaisia yrityksiä .	vahinkotarkastajia	10	Ja
Eurooppa olisi kilpailukykyisempi palvelun tarjoaman koulutuksen vuoksi , ja palvelun suorittaneista tulisi aktiivisempia , asioista enemmän perillä olevia ja kilpailukykyisempiä kansalaisia .	kansalaisia	20	Lainen
Kotouttaminen liittyy kiinteästi useaan EU:n politiikan alaan .	Kotouttaminen	0	Minen
Niitä tarkistuksia , joilla mahdollisuuksia itsekäsittelyyn rajoitetaan monella tavalla muun muassa niin , että oikeus itsekäsittelyyn rajoitetaan koskemaan ainoastaan merellä työskentelevää henkilökuntaa , ei voida hyväksyä .	itsekäsittelyyn	5	U
Mediamaksu tulisi käyttöön vuonna 2011 .	Mediamaksu	0	U
He lähettivät sanansaattajia kaukaisiin maihin ja kirjoittivat pitkiä artikkeleita vierasmaalaisiin lehtiin saadakseen edes pienen vinkin .	sanansaattajia	2	Ja
Joskus lääkkeen käytön jälkeen tai seuraavana aamuna herätessä voi ilmetä huimausta tai päänsärkyä tai ihottumaa tai vatsavaivoja tai äärimmäisen harvinaisissa tapauksissa vaurioituneita maksoja .	huimausta	10	Vs
Jos matkustaja kuolee tai loukkaantuu , lentoliikenteen harjoittajan on suoritettava ennakkomaksu välittömistä taloudellisista tarpeista huolehtimiseksi 15 päivän kuluessa siitä , kun korvaukseen oikeutettu henkilö on yksilöity .	ennakkomaksu	10	U
Laajempi yhdentyminen toisi mukanaan myös poliittista vastustusta , kun kansallisvaltiot joutuisivat luopumaan itsemääräämisoikeudestaan .	itsemääräämisoikeudestaan	12	Vs
3. b Ihmisoikeuksia ja perusvapauksia koskevien keskeisten kansainvälisten yleissopimusten ratifiointi ja täytäntöönpano sekä edistyminen Tunisian allekirjoittamiin yleissopimuksiin liittyvien valinnaisten pöytäkirjojen ratifiointimenettelyssä .	edistyminen	13	Minen
Vanhaa tietä on käyttänyt päivittäin noin 9_000 autoilijaa , joista nyt 6_000: n arvellaan siirtyvän uuden ohitustien käyttäjiksi .	autoilijaa	7	Ja
Tätä asetusta ei saa tulkita niin , että sillä olisi vaikutuksia perusoikeuksien , mukaan lukien lakko-oikeus , käyttämiseen sellaisina kuin ne jäsenvaltioissa tunnustetaan .	lakko-oikeus	15	Vs
Onnettomuus ja vammautuminen eivät kysy varallisuusasemaa , niinpä ei vakuutuskorvauksenkaan tulisi olla siitä riippuvainen .	vammautuminen	2	Minen
Hän on suorittanut monia vartiointi- ja turvallisuusalan kursseja sekä työskennellyt kahtena kesänä vartijana Turun vankilassa 1990-luvulla .	vartijana	12	Ja
