Yatırım indiriminde yüzde ondokuz.sekiz stopaj kaldırılsın .	indiriminde	1	Loc
Dört külah dondurmayı iki eliyle tutan kız takunyalarını tıkırdatarak içeri girdi .	takunyalarını	7	Acc
Komşuların kapılarını teker teker çalıp iş istemiş .	kapılarını	1	Acc
Mali Barış'tan yararlanacakların hürriyeti bağlayıcı cezalarla ilgili düzenlemeler karşısında sorumlulukları devam etmeli .	cezalarla	5	Ins
bu işlem , önceden var olan , daha önce üretilmiş bir değerin el değiştirme işlemidir ...	değerin	11	Gen
KÜTÜK , yaşadıklarını şöyle anlattı : " Yapımcıyla konuşup dizide oynamak istediğimi söyledim .	Yapımcıyla	7	Ins
" Taylor bugüne kadar ifade ettiği hususların , üniversite yönetimleriyle özerklikleriyle , akademik özgürlüklerle ilişkisi yok .	özgürlüklerle	13	Ins
Dünyada düşünülecek onca güzel şey varken , senin kuruntular yaratman ve onların içinde bunalman akıl alacak gibi değil .	Dünyada	0	Loc
Kolayca eşelenen kuru karın altındaki otlar , kış ayları boyunca yeterli gıdayı sağlıyordu onlara .	gıdayı	11	Acc
Ve Kıran ailesi birlikte son yolculuklarına çıktı .	ailesi	2	Nom
Çağdaş Sanatlar Merkezi önünde toplanan grup , Atatürk bulvarındaki trafiği bir süre durdurarak , elçilik önüne kadar sloganlarla yürüdü .	sloganlarla	17	Ins
Artık rehberimden utandığım için bağırıp kervanı durdurmasını istemiyor , hızlı planjonlarla , kızağa yeniden tırmanıyordum .	planjonlarla	10	Ins
Kızcağız oturdukları yerden daha uzaklarda iş aramaya başlamış .	Kızcağız	0	Nom
O , kendi açlığıyla oğlunu sevgiye boğduğunu bilmiyordu .	oğlunu	4	Acc
Onu döven adam da şurada , şu ağacın altındaki .	ağacın	7	Gen
Ve fakat bu yeni gerçek , Kadıköy vapurunun karşıdan karşıya geçiş süresini hiçbir şekilde değiştirmedi .	vapurunun	7	Gen
İkinci büyük teorik atılım dönemi , işe yüzyıllar sonra Arşimed'in bıraktığı noktadan başlayarak devam eden Bilimsel Devrim dönemidir .	noktadan	11	Abl
Çünkü yukarıda da değindiğimiz gibi , kanıt sözcüğü felsefi anlamda kapalılığı anlatır .	kapalılığı	10	Acc
Ve dil varlığın evi ise , ev de dilin doğumevidir .	varlığın	2	Gen
Fezlekede , Almanya'daki bazı Türk vatandaşlarının " dolandırıcılık " iddiasıyla Akgündüz hakkında suç duyurusunda bulundukları belirtildi .	Fezlekede	0	Loc
Sanılıyordu ki , ülkenin devasa sorunlarına , dair , basmakalıp siyaset tiradlarının düellosunu kazanan muzaffer olacaktı .	siyaset	10	Nom
Bu atılımın son dalgaları , sonuna ulaşmakta olduğumuz yüzyılın ilk yarısında , fizikte izafiyet ve kuantum teorileriyle , biyolojide genetik alanında gerçekleşmiştir .	fizikte	12	Loc
Bir zaman boş lokantada sesimizi çıkarmadan karşı karşıya oturduk , çatallarla , bıçaklarla oynayıp hepsini tek tek kaldırıp tekrar yerine bıraktıktan sonra sanki daha önceden başladığımız bir konuşmayı sürdürüyormuş gibi birden konuştu .	lokantada	3	Loc
Türban konusunu da açan komutanlar , bu konuda Anayasa Mahkemesi'nin kararı ile Cumhurbaşkanı'nın yaptığı uyarıyı anımsatarak toplumu gerecek davranışlardan kaçınılması gerektiğini anlattılar .	davranışlardan	18	Abl
Bir ineğin sütü ise sekiz koyunun sütüyle aynı .	sütüyle	6	Ins
Tuzluk sağa üst rafta , çorbayı da ısıt .	çorbayı	5	Acc
Bir dilim ekmek ve bir fincan çayı hızla midesine indirdi .	midesine	8	Dat
entelektüel yetilerde uzunca bir süre bozulma görülmeyeceğinden bağımlı kişilerde temelde yatan kişilik bozukluğuyla da beslenmiş , parlak bir zeka ve yalancı bir filozofluk çok belirgin bir ortak özelliktir .	bozukluğuyla	12	Ins
Anneciği ile birlikte bir bardak pekmezi paylaşmışlar .	pekmezi	5	Acc
Peki NA üyeleri arasında hiç kayan olmuyor mu ?	üyeleri	2	Nom
Ancak kazayla birlikte bu güzel hayaller ve mutlu bir yuva yok oldu .	kazayla	1	Ins
Biraz hayal kırıklığına uğramıştım aslında .	kırıklığına	2	Dat
Kanatmış mıyım ne ? Dolma gibi dudakları .	dudakları	6	Acc
