- Bai , baina ... Ikasturtea hain arin pasatu da ... .	pasatu	8	Perf
Ekaitza zetorren .	zetorren	1	Prog
EHNEk Hego Euskal Herrian eta COAGek Espainian ( Nekazari eta Ganaduzaleen Koordinadora ) mobilizazioekin jarraituko duten ala ez gaur erabakiko dute nekazaritza gasolioaren beherapena eskatzeko .	erabakiko	19	Prosp
Behin batean Pasai Antxoko plazan jotzen geundelarik , ikus-entzuleen artean , aulkien lehenengo lerroan bazegoen mutil bat bere zakurrarekin .	bazegoen	14	Prog
Eztena landarean sartu eta izerdia zurrupatzen dute , hura ahuldu eta zimurtuz .	zurrupatzen	5	Imp
Haatik , 113 lagunen heriotza eragin zuen ezbeharraren nondik norakoaz argibide nahikoa dakartza dagoeneko .	dakartza	12	Prog
Nire anpuluak ibai bat sortu zuen eta ibai hori heriotzaren itsasoan , itsasoratu zen .	itsasoratu	12	Perf
Multikulturalismoaz eta zuzentasun politikoaz hemen garatutako ideia batzuk berari zor dizkiot .	dizkiot	10	Prog
Djukanovicen gobernua saiatu zen Jugoslaviako Federazioa berrantolatzen , baina negoziazioek ez zuten fruiturik eman eta autodeterminazio erreferenduma egiteko aukerari eusten dio .	eusten	19	Imp
Baina Paben nintzela ohartu nintzenean Zepai bertsolariaren hura gogoratu zitzaidan .	nintzela	2	Prog
Arrailaduren itzalak marraztu du abian den Espainiako zentral zaharrenaren historia eta hau ixteko aldarrikapenak kalea hartuko du datorren larunbatean .	marraztu	2	Perf
John emaztegaiarekin zegoen eta bikoteari ezinegona igertzen zitzaion .	igertzen	6	Imp
Argazkigintzan aritzen da .	aritzen	1	Imp
Orduan ezkontzeko problemak baditugu ?	baditugu	3	Prog
Bere ustetan , XXI. mendean iraungo duten hizkuntza horiek " beharrezko direlako iraungo dute , hiztunek hala nahi dutelako eta presiorik ez dutelako " .	dutelako	22	Prog
Gorpua besarkatu eta muxukatu nuen , berriro bizitza eta zoriontasuna itzul zedin .	muxukatu	3	Perf
JUGOSLAVIAKO Gobernuak ez dio ofizialki Nazio Batuen administrazioari ( UNMIK ) eskatu hauteskundeak egin ahal izateko baimena , baina Slobodan Milosevic presidentearen SPS Serbiako Alderdi Sozialistak iragarri du Kosovon 500 hautes-leku jarriko dituela .	jarriko	31	Prosp
Gizarteak indarkeriaren inguruko diagnosi bateratua egitea eskatzen duela iritzi dio Sudupek , eta ildo horretan Juan Jose Ibarretxek foroa sortzeko eginiko ahalegina txalotu zuen .	txalotu	22	Perf
Ziur nago aitzin-multzo gotor eta sarkorrarekin asmatzen badu txanza ukanen duela , eta Tolosako makina nahastea lortuko duela .	asmatzen	6	Imp
Udalbiltzak duen egitekoaren garrantzian sinisten duela dio EAk , baina fruituak eman eta parte-hartzea handitu dezan giza eskubideen defentsa beharrezkoa dela gaineratzen du .	sinisten	4	Imp
Buliganek hiru aste daramatza haragirik jan gabe .	daramatza	3	Prog
" Bi herrialdeen artean estradizio itun bat badago , pentsatzekoa da estradizioa onartzera doan herrialdeak bere erabakia justifikatuko duela , nazioartean agerian uzten ari delako bere erantzukizuna eta sinesgarritasuna " .	justifikatuko	17	Prosp
ZER ESKAINTZEN DIGU INFORMATIKAK HIZKUNTZEN IKASKUNTZA ARLOAN ?	ESKAINTZEN	1	Imp
Korritu diren sei etapetatik lau , 24 urteko txirrindulariek irabazi dituzte :	Korritu	0	Perf
Bestetik , Down konterrian RUCeko polizia bat larri zauritu zen lankide batekin Poliziaren komisaldegi baten ondotik oinez zebiltzala bonba bat lehertu ostean .	zauritu	8	Perf
" Gai horiek tratatuko lituzkeen egitura judiziala eta emakumeentzako komisariak sortu beharko lirateke .	tratatuko	3	Prosp
Inoiz pentsatu zenuen zure ekintza politikoengatik atxilotuko zintuztela ?	atxilotuko	6	Prosp
" Eta udako erromeriak iristerako ikusi genuen jendeak ikasiak zituela kantuak " .	zituela	9	Prog
Igandean atseden hartu zuen , eta astelehenean " oso burugogor " joan zen , baina giro sargoriak ez zion laga bidea bukatzen .	laga	19	Perf
Erraz konformatzen ziren garai hartako umeak .	konformatzen	1	Imp
24 segundoko aldearekin iritsi zen helmugara .	iritsi	3	Perf
BRASILEKO ezkerreko oposizioaren gora egite nabarmen batek markatu zituen , herri honetan joan den igandean egindako udal-hauteskundeen lehen txandako emaitzak .	markatu	7	Perf
Kontzertu Ekonomikoa eta datorren urteko aurrekontuak negoziatzera gonbidatu zituen oposizioko alderdiak , batez ere PSE-EEri luzatu zion eskua .	gonbidatu	7	Perf
Kafetegitik ateratzean , beste zereginik ezean , paseatzen jarraitu dut barrenean oraindik ere egonezina dabilkidalarik .	dabilkidalarik	14	Prog
Nirvana budistarik ez du inork eraiki munduan , ezta utopia komunistarik .	eraiki	5	Perf
ITALIAK , diotenez , " Jainkoaren laguntza du " Eurokopa honetan .	diotenez	2	Prog
Hainbat jokaldi genituen oraindik zehazteke , eta gainera , huts ttipi batzuk ere konpondu behar genituen .	zehazteke	4	Imp
Zabortegiari zegokionez , aurreko egunetan izandako istiluengatik edo , bazirudien agintariak ez zirela aurrerapausorik ematera ausartzen .	bazirudien	9	Prog
EBren Oinarrizko Eskubideen Agiriak soil-soilik jatorria Bruselan duten legeei eragingo die , ezin ditu araudi nazionalak gainditu .	gainditu	16	Perf
Santiago Apelazio Gorteak apirilaren 5ean ondorioztatu zuenez , Pinochetek ez du immunitaterik eta diktadura garaian egindako delituengatik epai daiteke .	ondorioztatu	5	Perf
Honako esaldi hauen tankerakoak sarritan entzungo zenituen , noski :	entzungo	5	Prosp
Prest geunden , bada , entzuteko , dena ongi suertatuko zen itxaropenaz .	geunden	1	Prog
Arlo ekonomikoaren inguruan baikor agertu zen Sudupe eta Gipuzkoa 2003 plana aipatu zuen garapenerako ardatz gisa .	aipatu	11	Perf
PSE-EEk , gainera , legez besteko proposamen bat aurkeztu du Legebiltzarreko erroldan Jaurlaritzari proiektua eskatuz .	aurkeztu	8	Perf
Juanelek bikain zuzendu zuen kontraerasoa , eta baloia Montenegrori eman ondoren Jamellik bikain errematatu zuen argentinarrak egindako erdiraketa .	zuzendu	2	Perf
Eskola-Graduatuko tituluak hurrengo ikasketa hauek jarraitzeko eskubidea ematen du :	ematen	7	Imp
Prest geunden , bada , entzuteko , dena ongi suertatuko zen itxaropenaz .	suertatuko	9	Prosp
Antzerkia , ontsa futitzen naun antzerki eta gainerateko literaturetaz , nahi niken egiazki arizan .	futitzen	3	Imp
- Orduan , horrela ez bada , zergatik geratu zara bide erdian hona zentozela ?	zentozela	13	Prog
Houda-ren izena ahoskatzen da .	ahoskatzen	2	Imp
HAATIK , kondenatzen badute ere , Suhartok ez du espetxea ezagutuko , gaur egungo presidente Abdurrahman Wahidek aurretik iragarri baitu indultua emango diola .	kondenatzen	2	Imp
Briu-brau , zutitzen naiz , murgiltzen eta Kakotxengana noa ahal bezala .	zutitzen	2	Imp
" Badakigu gure aurkariek ahalegin itzela egin dutela euren taldeak indartzeko .	Badakigu	1	Prog
Osasunako 23 jokalariak dira Oronozen , eta bi entrenamendu bakarrik eginen dituzte .	eginen	10	Prosp
Alderdi Errepublikanoak kontrolatzen duen Floridako Legebiltzarraren batzorde berezi batek datorren astean ezohiko bilera egiteko gomendioa eman du .	kontrolatzen	2	Imp
- Nik ezagutzen nuena ez zegoan hi bezain segail eta ez zeramatzaan horrelako antiparrak , gainera .	ezagutzen	2	Imp
Rider jokalari ikusgarria da , eta dohain berezi horiek erakusten baditu , Phil Jackson entrenatzaile soil bat baino askoz gehiago dela frogatuko da berriro .	frogatuko	21	Prosp
Azkenik , Rojoren aburuz , " Euskadin errejimen aldaketa behar da , gobernurik ere ez dagoelako " .	dagoelako	15	Prog
Arrisku islamikoaren kontua ekintza armatu palestinarren eskutik hasi zen , eta Libia eta Iranen ostrazismo politikoarekin segitu zuen .	segitu	16	Perf
Paul-Louis Arslanian BEAko zuzendariak prentsaurreko batean atzo emandako argibideen arabera , Aeroport de Paris mantenimendu enpresako langileek pista miatu zuten goizaldeko 04:30ean eta eguerdiko 12:00etan .	miatu	18	Perf
JL-1 deritze urpeko horiei .	deritze	1	Prog
ERRUBLOA izango da 2005. urtean Errusia eta Bielorrusiako diru batua , Vladimir Putin eta Alekxander Lukaxenko bi herriotako presidenteek Minsken atzo izenpetutako akordioa gauzatzen bada behintzat .	gauzatzen	23	Imp
Harri horri aspalditik ari zarete kiloak eransten .	zarete	4	Prog
Horretaz gain zarata itsusiak eta mugimendu arraroak egiten badituzte inpresio galanta eman diezaiokete berauek jatera datorrenari .	datorrenari	15	Prog
Egun hauetan Atlantako zilarraz galdetu diogun bakoitzean hura errepikatzea ia ezinezkoa dela erantzun du Abraham Olanok .	erantzun	12	Perf
Ez zuten atzeko koadroetatik inoiz barkatu , eta bakoitzak bere aukerak bikain profitatu zituen .	profitatu	12	Perf
Baina gairik minberenak geratzen dira adosteko :	geratzen	3	Imp
Atzoko finalean korritu zuen Cathy Freemanek ere , baina Australia dominetatik urruti izan zen lasterketa osoan .	korritu	2	Perf
Hauek aztertuko ditugu :	aztertuko	1	Prosp
Eztabaida gogorrenak gaur arratsaldean hasiko dira , Europako Batasunaren erreformaren gaiari helduko baitiote EBko kideek .	helduko	11	Prosp
Froga-aldia amaituta , interesdunak dioena entzungo da , Administrazio-Ihardunbideari buruzko Legeak ezartzen duenez .	entzungo	5	Prosp
Gainerakoek , berriz , beti amarrako izan dela erantzuten diote , eta ea nondik atera duen " hamarreko " hori .	erantzuten	8	Imp
