Če potegnemo črto , ugotovimo , da se nam ne splača delati , kajti kot državni prvaki plačujemo ves mladinski in članski pogon .	mladinski	19	Def
Šele nekaj tednov je bil tam , pa je že odkril , da je tu po vsej verjetnosti več alkoholikov na kvadratni kilometer kot v kateremkoli drugem velemestu v deželi .	kvadratni	21	Def
V nekaj pičlih trenutkih je vsemogočni umetnik prebarval pokrajino preko neštetih sivih odtenkov v črnosivo .	vsemogočni	5	Def
V njej je Akademski pevski zbor 12. decembra 1941 zaključil provokativni koncert s pesmijo Lipa in se z njo zavil v kulturni molk .	Akademski	3	Def
Avtor Čarobnic dr. Mirko Zupančič je dan po premieri v novogoriškem gledališču prejel srebrni častni znak Svobode Republike Slovenije .	srebrni	13	Def
Podjetje Chips and Technologies pa je ponudilo 64 - bitni video in grafični krmilnik HiQVideo .	grafični	12	Def
LJUBLJANA , 26. - Poljski premier Jerzy Buzek je sinoči prispel na dvodnevni uradni obisk v Slovenijo .	uradni	13	Def
KO JE UMRLA TUDI ONA , JE VAŠKI POGREBNIK RAZKRIL NJEN PRAVI SPOL ŠOKIRANIM MOŠKIM V BARU .	VAŠKI	7	Def
Ti so z brskalniki prvega rodu zaradi večminutnega čakanja na prikaz nove strani brez prave možnosti , da bi imeli vsaj delni vpogled v besedilo , ki ga je odjemalec že prenesel , zato prej obupajo .	delni	21	Def
Pri nas prodaja Auralogov tečaj založba Mladinska knjiga tudi v slovenski različici .	Auralogov	3	Ind
eee potem pa sorte chardonnay sivi pinot laški rizling renski rizling rumeni muškat kerner eee v suhih polsuhih variantah v polsladkih odvisno od blagovne znamke	renski	9	Def
Justin pripelje Janet v zanemarjen stanovanjski blok , kjer živi Les , ki izdeluje maske .	zanemarjen	4	Ind
Dnevni promet je na račun večjih svežnjev z republiškimi obveznicami presegel milijardo tolarjev , vendar je realni promet pod povprečjem .	Dnevni	0	Def
Lep prosto preplezljiv raztežaj privede prav na raz .	Lep	0	Ind
Analizam posameznih delnic je dodan še krovni list z razlago trenutne sestave košarice in pričakovane donosnosti košarice .	dodan	4	Ind
Balzac je svoja dela strnil v obsežen literarni načrt , zasnovan kot realistična raziskava sodobne družbe , ki jo je imenoval Človeška komedija .	literarni	7	Def
Če bo postopek do vseh enak in pravičen , ne bi smelo biti težav .	pravičen	7	Ind
Ubogljivi in od vodilne stranke poslušni minister Jelko Kacin je s svojo operativno udarno enoto ( šest oboroženih pripadnikov Voma ) opravil še zadnje kadrovske zamenjave in prerazporeditve in tako brigadi zadal še zadnji smrtni udarec .	poslušni	5	Def
štiri minute in dvajset sekund do pol sedmih je ura [incident] tole jutro se evo tudi z žvrgolenjem ptičkov prebuja pomlad je tukaj danes pa je petindvajseti marec in materinski dan danes zdajle ne rabiš nič govoriti [name:personal]	materinski	29	Def
Na tretji tekmi sezone za poletni Grand prix v Courchevelu se je naš obetavni smučarski skakalec kot tretji drugič v svoji karieri povzpel na posamične zmagovalne stopničke .	obetavni	13	Def
Zato nisem slab človek , se je pošalila .	slab	2	Ind
Tako smo se po zaslugi njenega prepričevanja proti grozeči zanemarjenosti oborožili še z drugim sesalcem , če bi se zgodilo , da bi morali naš 1100 - vatni sesalec nekega dne dati v popravilo .	vatni	27	Def
In prav zato bi bil potreben resen razmislek o škodljivosti početja , ki se mu je vendarle mogoče odreči in si s tem bistveno izboljšati kakovost življenja ter seveda podaljšati čas bivanja na tem planetu .	potreben	5	Ind
Bil je veliko bolj divji , bolj nezmeren , iz njegovega notranjega vrenja in razkrajanja pa so rasle kalne sile , nasproti katerim se je zdelo nemško ustavno življenje pravcato zdravje .	nezmeren	7	Ind
Kulturni razcvet v prvi polovici 19. stoletja je povezan s Francetom Prešernom ( 1800 - 1848 ) in njegovim krogom .	povezan	8	Ind
