І я маўчаў , пакуль зь мяне не зрабілі верхавода габрэйскай мафіі .	зрабілі	8	Plur
Палітыкі адказалі , што будзе з вулічнымі акцыямі пасьля адмовы ад « Чарнобыльскага шляху »	адказалі	1	Plur
Месяц таму беларускія працаўнікі сферы культуры абвясцілі #культпратэст .	абвясцілі	6	Plur
Паводле агенцтва навінаў Кіёда , паліцыя затрымала падазраванага .	затрымала	6	Sing
Даведаемся пра самыя важныя асяродкі беларушчыны , наведаем тыя мясціны , якія з’яўляліся сапраўднай кузняй беларускага руху .	з’яўляліся	12	Plur
Больш за тое , ужо сёння , па словах віцэ-прэм'ера , на некаторых прадпрыемствах заробак перавышае 500 даляраў .	перавышае	15	Sing
Міністэрства культуры не плануе ствараць музей у Курапатах	плануе	3	Sing
1 сьнежня мусіла стаць даступнай онлайн-база " дармаедаў " .	мусіла	2	Sing
Чаму акцыі Севярынца зьбіраюць больш лайкаў у фэйсбуку , чым удзельнікаў , і што трэба рабіць , каб было наадварот ?	зьбіраюць	3	Plur
Мы вось спадзяемся на сустрэчу з вамі 😉	спадзяемся	2	Plur
Згодна з прагнозам Гідраметцэнтра Расіі , першая палова красавіка парадуе беларусаў цёплай ( пераважна без ападкаў ) надвор'ем .	парадуе	9	Sing
« Ужо відавочна , што ня ўсе ў краіне згодныя з абвешчанымі папярэднімі вынікамі выбараў .	абвешчанымі	11	Plur
<a_href="http://goo.gl/P23ng5"> http://goo.gl/P23ng5 </a> Глядзіце і не хварэйце .	хварэйце	6	Plur
Сёньня адбылося пасяджэньне ўкраінскага суду , прысьвечанае правядзеньню відэадопыту Януковіча , які знаходзіцца ў Расеі .	адбылося	1	Sing
Дзясяткі людзей прыйшлі да будынка ўпраўленьня ДАІ ГУУС Менгарвыканкаму , дзе меўся адбыцца разгляд справы , каб падтрымаць Сяргея Ціханоўскага .	меўся	11	Sing
Гэты аб'ект уваходзіць у лік пералічаных у арыгінальнай рэдакцыі « Новага агульнага каталога » .	пералічаных	5	Plur
Напішыце нам на <a_href="https://t.me/SvabodaBelarus"> @SvabodaBelarus </a>	Напішыце	0	Plur
БАЕЦ ВЯРТАЦЦА Ў БЕЛАРУСЬ НЯ ХОЧА .	ХОЧА	5	Sing
У БЕЛАРУСКУЮ ЛІТАРАТУРУ ЎВАЙШЛІ ЗОМБІ .	ЎВАЙШЛІ	3	Plur
Гляньце як міла яны выглядаюць !	выглядаюць	4	Plur
Бацька асабліва нікуды не выходзіў з дому , ён меў інваліднасьць » .	выходзіў	4	Sing
З вольнай дружынаю князь на пасадзе Вольнаму люду законы пісаў ; Слухалі князя , а князь што не ўладзіў — Слухаў , што веча яму звон казаў .	казаў	26	Sing
Свабода дазванілася да прэсавай службы Міністэрства абароны і даведалася , што гэта было .	даведалася	8	Sing
Здымі відэа і дашлі мадэратарам на пошту <a_href="mailto:artsiadziba@gmail.com"> artsiadziba@gmail.com </a>	дашлі	3	Plur
Прадстаўнікі Эўразьвязу вінавацяць у гэтым Лукашэнку .	вінавацяць	2	Plur
У выніку хлопец правёў ноч у турме , атрымаў штраф у 17 базавых велічыняў , а ягоны тэлефон спрычыніўся да крымінальнай справы .	спрычыніўся	18	Sing
Любы адукаваны чалавек ведае пра мемарыял Курапаты .	адукаваны	1	Sing
На сустрэчы мы закранем наступныя тэмы :	закранем	3	Plur
Толькі раз на год людзям дазваляюць наведаць пакінутыя вёскі .	пакінутыя	7	Plur
Заходзь у наш інстаграм і ўдзельнічай у квізе .	Заходзь	0	Sing
<strong> Відэзварот Сьвятланы Ціханоўскай , у якім яна з паперкі зачытала зварот да сваіх прыхільнікаў з заклікам не выходзіць на акцыі пратэсту , запісаны ў пакоі старшыні Цэнтарвыбаркаму Лідзіі Ярмошынай . </strong>	запісаны	23	Sing
6 ) Праведзена акцыя " Ноч расстраляных паэтаў " .	расстраляных	6	Plur
Выпусьцілі нашых журналістаў	Выпусьцілі	0	Plur
Мы шукалі магілы габрэяў і выдзіралі залатыя каронкі .	шукалі	1	Plur
Калі не хацеў , але сумна ўжо сядзець дома , далучайся !	далучайся	10	Sing
Сотні тысяч сьвяткуюць у Ерэване	сьвяткуюць	2	Plur
Аляксандар Лукашэнка пахваліўся , што дабіўся « ашаламляльных » вынікаў у абеларушваньні каталіцкай царквы ў Беларусі ( <a_href="https://goo.gl/czXezY"> https://goo.gl/czXezY </a> ) .	дабіўся	5	Sing
<strong> Паслухай сам і перакінь іншым . </strong>	перакінь	4	Sing
І я ведаю , што многія мяне зразумеюць , многія асудзяць , а многія ўзненавідзяць .	зразумеюць	7	Plur
Чым зьдзівіў пратэст супраць інтэграцыі з Расеяй	зьдзівіў	1	Sing
Лукашэнка прызнаўся , што « даў сыгнал » на арышт Ціханоўскага .	прызнаўся	1	Sing
Я з самага пачатку ўважліва сачыў за падзеямі ў гэтым святым месцы , словам падтрымліваў абаронцаў і праклінаў юденратаўцаў з іх кабаком .	падтрымліваў	14	Sing
У 1870 ён выявіў , што на месцы целаў людзей і жывёл , пахаваных пад пластом вулканічнага попелу , утварыліся пустэчы .	выявіў	3	Sing
Ды і даўжэйшая , далей возьме , — вытлумачыў Корань .	возьме	5	Sing
Урачыстае адкрыццё помніка адбылося ў 1928 годзе і было прымеркавана да 10-й гадавіны прарыву Салонікскага фронту .	адбылося	3	Sing
« Скончым запісваць на пікетах , працягнем запісваць праз інтэрнэт .	працягнем	6	Plur
« Бабця прасіла , каб не палохалі дзяцей .	палохалі	6	Plur
Я ведаю прынамсі трох чалавекаў , якіх мне атрымалася натхніць , і яны сапраўды пачалі карыстацца беларускай .	атрымалася	8	Sing
Пасьля гэтага кіраўнік МУС Латвіі накіраваў у Маскву папярэджаньне , што па байцам АМАПу будзе адкрыты агонь на паражэньне .	накіраваў	5	Sing
Зычым Басі рухацца толькі наперад , а таксама натхняць усім навокал .	Зычым	0	Plur
І ўсё сварышся ?	сварышся	2	Sing
А таксама музыка гуртоў Nizkiz , :B:N : , Дай Дарогу і UP	Дай	9	Sing
Колькі каштуюць самыя дарагія машыны Аляксандра Лукашэнкі .	каштуюць	1	Plur
Ціханоўская адмяніла мітынг у Слуцку , пасьля таго , як АМАП пачаў затрымліваць удзельнікаў	адмяніла	1	Sing
Яны здейснілі ўчынак супраць памяці ахвяр рэпрэсій .	здейснілі	1	Plur
Былі часы з такім “ шырокім асартымэнтам ” абутку ў БССР ( як і ўва ўсім СССР ) , а збольшага такі від мелі многія крамы ў 80-90-е годы .	мелі	23	Plur
Бацька немаўляці , якое памерла пасьля прышчэпкі ў Ганцавічах : « Проста забілі дзіця »	забілі	12	Plur
Святлана Ціханоўская набрала 9,9 %	набрала	2	Sing
Адказны за знос крыжоў у Курапатах адыходзіць ад журналістаў і дэпутаткі	адыходзіць	6	Sing
Нават на першых прэзыдэнцкіх выбарах у 1994 годзе — адзіных прызнаных дэмакратычнымі краінамі Эўразьвязу і Злучанымі Штатамі — былі прэтэндэнты , ініцыятыўныя групы якіх не зарэгістравалі .	прызнаных	10	Plur
⚡У Курапатах павалена шыльда .	павалена	2	Sing
Заслухоўвае заахвочвання такая пранікнёнасць і грамадзянская пазіцыя .	Заслухоўвае	0	Sing
Сустракайце новы #ДАВАЙПАКА : <a_href="https://www.svaboda.org/a/29713478.html"> https://www.svaboda.org/a/29713478.html </a>	Сустракайце	0	Plur
Дык падцягвайцеся !	падцягвайцеся	1	Plur
Дама развесіла маё вільготнае адзенне па старасвецкіх латунных батарэях — хутка касцюм мусіць высахнуць .	развесіла	1	Sing
Жэня Галіч і Hebi з гурта O.Torvald зацанілі беларускія кліпы ( Naviband , NIZKIZ , Zrabi , Akute , Дай Дарогу , РСП )	Дай	19	Sing
Правярайце сваю пошту - на яе прыходзіла інфармацыя па наведванні спектаклю .	Правярайце	0	Plur
Чытво на выходныя - артыкул пра лёс высланых з БССР у 1930-я гады “ кулакоў ” :	высланых	7	Plur
- Я проста перадумаў .	перадумаў	3	Sing
Сьвятлана дадала , што ў маці Ціханоўскага хворае сэрца , але сьледчыя сказалі , што калі яна не паедзе зь імі , то лецішча ўзламаюць і ўсё адно абшукаюць .	ўзламаюць	24	Plur
— Глядзі ты ! — здзівіўся дзядзька Міхась .	здзівіўся	5	Sing
