Powybijają ci zęby .	Powybijają	0	Fut
Skrzykują te , które wzbiły się za wysoko na wschodzący księżyc .	Skrzykują	0	Pres
Zawrzały dusze , serca i umysły .	Zawrzały	0	Past
Podstawowym problemem jest to , że na tym terenie mieszkają 2 rodziny .	mieszkają	9	Pres
Nie wyśpi się .	wyśpi	1	Fut
Zgodnie z oczekiwaniami po złoto sięgnęły ekipy gospodarzy .	sięgnęły	5	Past
Mnie nie przekona , nie dotknę kolczyków .	przekona	2	Fut
- Skończy Pan niebawem 25 lat .	Skończy	1	Fut
Zastawił się przed cięciem w prawy bok .	Zastawił	0	Past
Słabszym doradza się wczołgiwanie .	doradza	1	Pres
Wiadomo , że ostatecznie zawiedzie się na tej idei Stagiryta .	zawiedzie	4	Pres
Na morskiej jednostce mogą być zatrudnione tylko te osoby , które posiadają aktualne świadectwo zdrowia .	posiadają	11	Pres
Chodź , wyskoczymy na chwilę .	wyskoczymy	2	Fut
Zadzwonimy do Patrycji . . .	Zadzwonimy	0	Fut
Postaramy się spełnić jej życzenie .	Postaramy	0	Fut
- Przymierzymy jeszcze !	Przymierzymy	1	Fut
Biedny Wojtek wysługuje się .	wysługuje	2	Pres
Ostre cięcia grożą też prezesom państwowych spółek .	grożą	2	Pres
Na jego opinię powołuje się amerykański dziennik .	powołuje	3	Pres
Z głośników popłyną rytmy soul i disco .	popłyną	2	Fut
Dzięki nim zmniejsza się u chorego zaleganie afektu , rozładowują się utrwalone stereotypy uczuciowe , obiektywniej widzi swoją sytuację .	zmniejsza	2	Pres
Rzadko je to uszczęśliwia , często się buntują i wtedy cała rodzina ma problemy .	uszczęśliwia	3	Pres
Będą tak krążyć , dopóki się nie poprzewracają .	poprzewracają	7	Fut
Nie zgadzam się z opinią , że wszystko załatwi podwórko .	załatwi	8	Fut
W odpowiednim sklepie za 350 zł sprzedadzą każdemu .	sprzedadzą	6	Fut
Rodziny , które zdecydują się kupić na kredyt własne M , mogą liczyć na pomoc finansową .	zdecydują	3	Pres
Blady strach na wieś padał , kiedy Hanke pojawiał się z tym aparatem .	pojawiał	8	Past
Chmury rozsunęły się na moment , odsłaniając wytarty miedziak słońca .	rozsunęły	1	Past
U mnie miała by ś więcej .	miała	2	Past
A ja oddaję za sześćdziesiąt pięć .	oddaję	2	Pres
Zwycięski zespół uzyska awans .	uzyska	2	Fut
- Rozprawa odbyła się w piątek .	odbyła	2	Past
Nicholas zrobił to wszystko , bez efektu .	zrobił	1	Past
Okrzyczą go zdrajcą .	Okrzyczą	0	Fut
Zgłosili się panie i panowie posłowie do zadania pytań .	Zgłosili	0	Past
Zatrzymały się w odległości kilkudziesięciu metrów od miejsca narodzin Chrystusa .	Zatrzymały	0	Past
O wywiad z prezydentem zabiegam od 3 miesięcy .	zabiegam	4	Pres
Czasami przypali zupę , czasami stłucze talerz z pomidorówką .	stłucze	5	Fut
Strajk zawieszono .	zawieszono	1	Past
Zaraz pójdę sprawdzić .	pójdę	1	Fut
Tego nie zastąpi żaden artykuł w gazecie czy debata w telewizji .	zastąpi	2	Fut
W Boskiej Rzeczywistości problemy nie istnieją .	istnieją	5	Pres
Nikt już po nim nie popełni takiego błędu .	popełni	5	Fut
Czy ja powiedziała m , że nie ufam Jezusowi ?	ufam	7	Pres
Zaproponowali , że przeproszą , i obiecali poprawę .	przeproszą	3	Fut
Zjawi się , jeżeli będzie potrzebna .	Zjawi	0	Fut
Sporządzono także portrety pamięciowe napastników .	Sporządzono	0	Past
Prowadzi teraz inną , w Wesołej , i jest w jej zarządzie .	Prowadzi	0	Pres
Owoc dojrzały nie wyda nasion , kiść uschnie .	uschnie	7	Fut
Trwała dalej w bezruchu .	Trwała	0	Past
