Бесконечные скандалы с Грузией ?	Бесконечные	0	Plur
Пять лет прослужил он директором лесхоза в Большом Мурашкине и оставил после себя добрую память : шесть питомников , из которых сейчас выросли леса на площади в тысячу гектаров , в зелёное убранство оделись улицы районного центра .	зелёное	31	Sing
Все сошлись на том , что РЦ особенно необходим подросткам , для которых действенным могло бы быть принудительное лечение , вопрос о котором неоднократно поднимался на многих совещаниях подобного рода .	принудительное	17	Sing
Утренние газеты совершенно уверены в том , что обвинение хозяйственному министру таки предъявлено .	Утренние	0	Plur
Вторым подпирающим " столпом " существующей системы стали государственные фонды ( РГНФ и РФФИ ) , созданные для того , чтобы несколько смягчить падение уровня бюджетного финансирования академических учреждений .	академических	27	Plur
Сценарий же дефляции может выглядеть следующим образом : мировые банки , страдающие от списания активов , связанных главным образом с ипотечным рынком , продолжат ужесточать условия кредитования , сдерживая экономический рост .	ипотечным	20	Sing
Для внешнего пользования выпускает политические декларации и заявления о вине сталинского руководства в расправе над польскими гражданами в 1940-м .	польскими	15	Plur
На бытовом уровне это можно обрисовать так .	бытовом	1	Sing
Об учреждении фонда сообщил в программе " Очная ставка " на канале НТВ ее автор и ведущий Владимир Золотницкий .	Очная	7	Sing
Воровали на улицах , воровали на проезжих дорогах , воровали на берегах морей и заливов .	проезжих	6	Plur
По окончанию гимназии Гончаров выехал в Чехословакию , где в городе Брно поступил на электромеханический факультет Брненского политехнического института .	электромеханический	14	Sing
Дыхание становилось затруднительным .	затруднительным	2	Sing
Все это длилось мгновение , было очень темно и , конечно , страшно , каково же было наше изумление , когда утром Федорцов нашел в углу убитую моим ботинком мышь .	каково	14	Sing
но потом , Женя , отбросив эти недостойные мысли , которые , несомненно , от Дьявола , я решила - что ради блага детей России , можно нарушить Божьи заветы .	Божьи	28	Plur
`` А сей Гиорги был безобразен во всем и неподходящим для царствования , грубым , неспособным ни к чему , кроме крестьянских работ и вместе с тем калекой &#39;&#39; .	безобразен	5	Sing
Так вот , свыше половины опрошенных в этой стране с подозрением относятся даже к своей ближайшей социальной среде , подчеркивая в анкете подсказку : " большинство будет стараться вести себя с Вами нечестно " .	ближайшей	15	Sing
Можно совершенно точно сказать , что эти школы проверяли особенно часто , особенно пристрастно , . что от набора ( неизбежно во многих из них конкурсного ) до выпуска их рассматривали в увеличительное стекло .	конкурсного	25	Sing
В целом небольшое количество творческих союзов объединяет более 70 тыс . писателей , композиторов , фотохудожников , театральных деятелей и других деятелей искусства .	творческих	4	Plur
И еще дорогому президенту я бы в первую очередь задала вопрос : в чем проблема у президента лично по борьбе с НКО ?	дорогому	2	Sing
Энтузиасты ее развития убеждены , что основа постиндустриального общества - знания .	постиндустриального	7	Sing
Многие заядлые ныряльщики и рады бы круглый год нырять в теплой водичке в обычном легком снаряжении , но в России им этого не позволяет климат , а еженедельные авиаперелеты в Египет далеко не всем по карману .	круглый	6	Sing
ВЛАДИМИР ГРУЗДЕВ ПЕРВЫЙ ЗАМЕСТИТЕЛЬ ПРЕДСЕДАТЕЛЯ КОМИТЕТА ГОСУДАРСТВЕННОЙ ДУМЫ ПО ГРАЖДАНСКОМУ , УГОЛОВНОМУ , АРБИТРАЖНОМУ И ПРОЦЕССУАЛЬНОМУ ЗАКОНОДАТЕЛЬСТВУ .	ГРАЖДАНСКОМУ	9	Sing
Несмотря на то что она , как правило , более продолжительна , нервная система остается незатронутой , то есть сохраняются в норме как проведение по афферентным волокнам , так и функции механизмов , модулирующих боль .	нервная	12	Sing
И теперь думают , как логичней и поизящней сплести две животворные идеи - путинскую и медведевскую .	животворные	10	Plur
Теперь правомерность иска против Шарона будет рассматривать высшая судебная инстанция по апелляционным вопросам .	судебная	8	Sing
Пропитывать торт горячей пропиткой , желательно тёплый или горячий корж .	горячий	8	Sing
На суше это может быть небольшой участок ландшафта - например , приречный луг или дерево и почва под ним , соответствующая проекции его кроны .	приречный	11	Sing
Пробовал об этом заикнуться начальству - получал гневный отпор .	гневный	7	Sing
Заварзин вместе с супругой владеет земельным участком площадью 1,4 тыс. квадратных метров , жилым домом , квартирой , двумя легковыми автомобилями и мотоциклом .	легковыми	19	Plur
Учреждение форм правления , заведомо с ней не совместимых , ни к чему хорошему страну не приведет .	хорошему	13	Sing
Надо предлагать людям РЕАЛЬНЫЕ ДЕЙСТВИЯ И СВОЮ ПРОГРАММУ .	РЕАЛЬНЫЕ	3	Plur
А крушение мировой социалистической системы - это просто случайность , временное отступление , недоразумение , порожденное либо бездарностью Горбачева , либо насильственными действиями " империализма " .	насильственными	21	Plur
Правительственные войска Непала уничтожили тренировочный лагерь маоистских повстанцев , убив 62 боевика .	маоистских	6	Plur
Даже если вообразить себе невообразимое - сохранение Советского Союза до наших дней , с уровнем свобод хотя бы на уровне 1990 года и с отказом от централизованно планируемой экономики .	невообразимое	4	Sing
Жителей оповестили : Бавария освободилась от " ига берлинских евреев " .	берлинских	8	Plur
В этой части акты Эстонской ССР были признаны союзной властью недействующими .	Эстонской	4	Sing
Какие работы последних лет вы считаете самыми главными , имеющими принципиальное значение ?	главными	7	Plur
