Однако поскольку при групповом землеустройстве община сохранялась , то говорить о повсеместном " разрушении общины и насаждении хуторов " нелепо .	землеустройстве	4	Loc
Тан Яодун начал футбольную карьеру в клубе из родного города -- молодёжной команде ФК `` Ляонин &#39;&#39; .	ФК	13	Gen
Также службы безопасности аэропорта не знали , что двое из похитителей находятся в списке ФБР , как потенциальные террористы .	террористы	18	Nom
Сапоги - самая живописная часть костюма .	Сапоги	0	Nom
Мы изучали труды социал-демократа Богданова .	труды	2	Acc
При этом дартс остается игрой , доступной любому новичку .	новичку	8	Dat
Реакция на многословие естественная .	многословие	2	Acc
К их числу , в частности , относятся публичные посты в Живом Журнале , информация о заказах на сайте гос закупок и прочее - прочее - прочее .	заказах	16	Loc
25 января отобранные участники съехались в Таиланд и начали совместные тренировки ( обычно 3 - 4 прыжка в день ) по построению фрагментов формации , а затем и попытки формирования всего " цветка " .	построению	21	Dat
Германские купцы и ремесленники колонизировали неосвоенные территории , заселяли города на территориях Чехии и Польши , а также на балтийском побережье , где некоторые славянские народы , теснимые немцами , даже не смогли сформировать своих государств .	территориях	11	Loc
После этого он остановился в городе Тюбинген , где учился у теолога Мартина Крузиуса , поклонника античной культуры .	теолога	11	Gen
Закрывая лицо , они демонстрировали свою беспристрастность и одновременно избавляли себя от мести наказанных ( любопытно , что так же поступали судьи и палачи в средневековой Европе ) .	беспристрастность	6	Acc
На встрече с президентом министр Греф рассказал , что в июле рост промышленного производства по сравнению с июнем составил 0,5 процента , а по сравнению с июлем прошлого года - _ 7,1 процента .	июнем	17	Ins
Продвигаясь на запад , Тимур столкнулся с государством Кара Коюнлу , победа войск Тимура вынудила предводителя туркмен Кара Юсуфа бежать на запад к Османскому правителю -- Баязиду .	предводителя	15	Acc
Российский футбольный союз против расизма и борется с ним всеми возможными способами " .	расизма	4	Gen
Легко представить ситуацию , когда функционирование системы перейдет в режим производства ради производства , безудержного накопления средств производства - самих нанороботов , когда вся их деятельность сведется к увеличению собственной популяции .	накопления	15	Gen
Причем делать это необходимо для нескольких частот , поскольку в УЗИ используются широкополосные ( работающие на наборе частот ) излучатели .	частот	17	Gen
Ниже нас по фронту были траншеи и ходы сообщения стрелковых подразделений и огневые точки с пулеметами и противотанковыми ружьями .	пулеметами	15	Ins
Ожидается , что на переговорах речь пойдет о ситуации в Панкисском ущелье и в Абхазии .	ущелье	11	Loc
Некоторые лекарства , в частности морфий и дигиталис , в магнитную бурю действуют сильнее , а ряд снотворных менее эффективен в жару .	морфий	5	Nom
