– меняем всадника ;	всадника	2	Sing
Озиас полагал , что это сделает их иммунными к сифилису , как прививка коровьей оспы защищает от оспы натуральной .	оспы	14	Sing
А все выглядит так , словно один и тот же человек из одного пакетика сыплет в бутылки ДДТ .	пакетика	13	Sing
Опустив голову , грустный , покорный , выслушивал белый папа Лорины монологи , промакивал платком уголки глаз , уходил мелкими шажками в кабинет .	монологи	11	Plur
Именно так передают наказ президента информагентства .	информагентства	5	Plur
Если в раствор , в котором идет окисление , добавить очень небольшое количество соли церия ( один ион металла примерно на тысячу молекул малоновой кислоты ) , то вещество в кювете начинает светиться .	кювете	30	Sing
В столице и так проблема с недорогими качественными отелями .	отелями	8	Plur
Лишить чиновников права подбора и любого вмешательства в работу судебных и надзорных кадров .	подбора	3	Sing
У них сегодня на 80 тысяч научных сотрудников 19 тысяч аспирантов .	аспирантов	10	Plur
Мы не можем запретить болельщикам высказывать свое мнение , но , конечно , знаем , как не позволить им выходить за рамки дозволенного .	болельщикам	4	Plur
Они не просто обижены , они в шоке .	шоке	7	Sing
Оттуда они шли по селам и меняли вещи на продовольствие , которое складывали в те же мешки .	селам	4	Plur
Лечение множества заболеваний оказывается связано с лекарственной блокадой различных рецепторов .	Лечение	0	Sing
Но , если уж они на это идут , если они за многие годы поиска компромата , ничего не найдя , полезли к нам в трусы , то могу только сказать : трусы - последнее прибежище компромата .	трусы	25	Plur
О некоторых таких случаях сообщала пресса , но многие оставались " за кадром " .	кадром	12	Sing
Компания выиграла спор с налоговиками в трех судебных инстанциях .	налоговиками	4	Plur
А именно там , по утверждению путеводителей , хранится одна из главных святынь христианского мира - Туринская плащаница , в которую , если верить преданиям , завернули тело Иисуса Христа после казни .	преданиям	24	Plur
`` Сармат &#39;&#39; и ЭЗСА модернизировали и `` облагородили &#39;&#39; базовые модели автобусов `` Альтерна &#39;&#39; .	автобусов	12	Plur
Лирические героини многих её стихотворений говорят о страстной влюблённости или любви ( иногда взаимной , иногда нет ) к различным женщинам , но описания телесного контакта между женщинами встречаются редко и являются спорными .	влюблённости	8	Sing
Выделено несколько приоритетных задач формирования и реализации программы в УрФО .	УрФО	9	Sing
Последний анекдот : мэр Тбилиси отключил российскому посольству свет .	анекдот	1	Sing
В результате базовые элементы экономики перестали цениться , и все в больших масштабах создаются виртуальные товары , виртуальные организации , виртуальные деньги .	товары	15	Plur
В современных же моделях стоят или одноразовые мелкопористые мешки , которые куда лучше задерживают пыль , или циклонная система , заставляющая пыль отделяться от воздушного потока за счет центробежной силы .	моделях	3	Plur
Освобождение от провинциальной неуверенности и растущая гордость собою , кажется , порождают новую генерацию комплексов , совсем не похожих на староленинградскую обидчивость .	гордость	6	Sing
В их числе хозрасчетная укрупненная бригада докеров П. Щура .	докеров	6	Plur
Это тоже требовало мужества от коллег : большая часть читателей еще и в то время воспринимало эти разоблачения как предательство Германии .	разоблачения	17	Plur
Заложенное в Генплане функционирование комбината как социального гаранта до 2016 года возможно , только если работники будут заняты ликвидацией связанных с ним рисков , а не производством целлюлозы .	целлюлозы	27	Sing
К примеру , самоликвидации подвергаются митохондрии ( органеллы , окисляющие питательные вещества кислородом и высвобождающие энергию в виде АТФ ) .	органеллы	7	Plur
Мы опережаем Америку по добыче угля , отстаем по добыче нефти , очень отстаем по добыче газа и производству электроэнергии , чрезвычайно сильно отстаем по химии и бесконечно отстаем по вычислительной технике .	добыче	4	Sing
В Англии злоупотреблял фальсификацией Генрих VIII , которому даже конфискации монастырского имущества не помогли свести концы с концами в бюджете .	конфискации	9	Plur
Так , по основным научным центрам Европы из нескольких десятков лингвистических журналов , издаваемых в нашей стране , распространяется не более двух - трех .	центрам	5	Plur
Сбоку пирамиды , как сфинкс около египетских пирамид , пристроены поливитамины и алкоголь .	поливитамины	10	Plur
( в одиночном катании ) С 1962 года занимается тренерской работой в обществах `` Буревестник &#39;&#39; и `` Труд &#39;&#39; , а с 1971 -- тренер Специализированной детско - юношеской школы олимпийского резерва .	Буревестник	14	Sing
Один из его авторов , единоросс Александр Ремезков так и заявил в Думе : мол , " нужны действенные законодательные инструменты против богохульников , кощунников и святотатцев " .	единоросс	5	Sing
Наиболее эффективная методика разработана врачом - биоэнергетиком Т. А. Мешковой .	биоэнергетиком	6	Sing
Возмущенные предстоящим святотатством , как раз в этот день верующие стали собираться у собора , чтобы выразить свое несогласие с этой акцией .	святотатством	2	Sing
В Красноярске с советских времен производят промышленные краны , но качество их оставляет желать много лучшего ; опять же нужны средства , и немалые .	краны	7	Plur
Для человека , который не знаком с такими методами , методы разведки представляются как запрещенные : взлом компьютера , " прослушка " , подкуп сотрудников .	прослушка	20	Sing
