Kuba , zbliż no się do mnie , niech cię pocałuję .	zbliż	2	Imp
Zgodnie z oczekiwaniami po złoto sięgnęły ekipy gospodarzy .	sięgnęły	5	Ind
Trzydniową konferencję zorganizował Interpol .	zorganizował	2	Ind
Pierwszy zalążek muzeum przyrody tatrzańskiej utworzyli w Kuźnicach Homolacsowie – właściciele huty i dóbr zakopiańskich .	utworzyli	5	Ind
Patrz przed siebie i czytaj w brodzie .	czytaj	4	Imp
Pomachaj jak ładna dziewczyna , która wypłynęła na przejażdżkę .	Pomachaj	0	Imp
I dlatego ich potępiamy .	potępiamy	3	Ind
Straszliwie mnie to swędzi .	swędzi	3	Ind
- Uciekaj .	Uciekaj	1	Imp
Radykalnie negując ład istniejący na ziemiach ukraińskich w Polsce i ZSRR , nacjonalizm odrzucał każdą próbę prowadzenia polityki w ramach realnego układu sił .	odrzucał	13	Ind
- Podtrzymaj mnie , bo jeszcze nie czuję nóg .	Podtrzymaj	1	Imp
Utwórz chociaż parę szybkich oddziałów dywersyjnych , bierność jest najgorszą z możliwych form walki .	Utwórz	0	Imp
Wyglądasz , jakbyś zjadł trującego robala .	Wyglądasz	0	Ind
Wracając z obchodu ku domowi , skręcił Rosomak na mogiłę Chorążego , i odśpiewali mu pieśni narodowe , a potem , milcząc , skierowali się do chaty .	odśpiewali	13	Ind
Dwa osły obładowane bagażami i człowiek w kapeluszu przemierzają górski teren .	przemierzają	8	Ind
Zdewastowane pawilony Qufu , noszące niegdyś wyrafinowane nazwy : Sali Wielkiej Doskonałości , Sali Świętych Dokumentów , nawiedzały zjawy .	nawiedzały	17	Ind
Pędź ile sił !	Pędź	0	Imp
- Wysiadaj , Kaśka .	Wysiadaj	1	Imp
Przyzwoitość każe szanować gości i ja właśnie w ten elegancki sposób uszanuję Jagodowe wakacje .	każe	1	Ind
Do 1939 miasto leżało po niemieckiej stronie granicy .	leżało	3	Ind
Ubierał się z wyszukaną , nieco staromodną elegancją .	Ubierał	0	Ind
Od tego zależą losy SLD .	zależą	2	Ind
Migotliwe światło zniekształca jego twarz .	zniekształca	2	Ind
W 1917 r. przeprowadza się wraz z matką do Bolesławia .	przeprowadza	3	Ind
Zwracajmy szczególną uwagę na bezpieczeństwo dzieci .	Zwracajmy	0	Imp
W premierowym przedstawieniu w roli Nabucca wystąpił Zbigniew Macias , a jako Abigail - Jordanka Derilova .	wystąpił	6	Ind
Wzburzony ojciec zawiadomił policję , ale z chciwą pedagog i tak się umówił .	umówił	12	Ind
Przyczyni się on do ochrony zdrowia naszych obywateli i z tego powodu z zadowoleniem przyjmuję jego przyjęcie .	Przyczyni	0	Ind
Gdy Dominika przyjechała po matkę , Babel dożywał swych dni .	dożywał	7	Ind
Pomyśl też o innej możliwości .	Pomyśl	0	Imp
- Kolega namawia Cię na wódkę : " Nie zaprzeczaj , nie zaprzeczaj , przecież widzę po twoich oczach , że marzysz po prostu o jednym głębszym , a twoje oczy nigdy nie kłamią .	zaprzeczaj	9	Imp
- Moje biedactwo , pokaż .	pokaż	4	Imp
6 . Nie pobiera się opłat portowych , na zasadzie wzajemności , od jednostek pływających sił zbrojnych Państw - Stron Traktatu Północnoatlantyckiego .	pobiera	3	Ind
Odwróć go trochę na bok , już dosyć cię opaskudził .	Odwróć	0	Imp
Nie strasz klientów .	strasz	1	Imp
Reagując na stan zaspokojenia tych potrzeb , przeżywa emocje .	przeżywa	7	Ind
- Nie gniewaj się , pomyśl , zrobili śmy im taką przyjemność .	pomyśl	5	Imp
Oskarżano nas , że w Bielicznej sprzedali śmy prywatnemu nabywcy kilkaset hektarów wraz z cmentarzem i cerkwią .	sprzedali	6	Ind
- Z tą młodością pan chyba przesadza .	przesadza	6	Ind
" No , po kim jak po kim , ale po nim to się nie spodziewałam " , pomyśli .	pomyśli	18	Ind
Gdy Starowieyski ujrzał obraz , krzyknął : - Nikt się na to nie nabierze !	nabierze	13	Ind
Wolała puszczać w kinach filmy kung-fu licząc , że dzięki temu ludzie przestaną myśleć o polityce .	Wolała	0	Ind
Małżonka krewnego przezornie schowała się do skrzyni i to ją uratowało .	schowała	3	Ind
Naprawdę zbliżam się do śmierci .	zbliżam	1	Ind
Wasielewski wyprowadził wóz z parkingu i włączył się do ruchu .	wyprowadził	1	Ind
Przybyli śmy tu z własnej woli .	Przybyli	0	Ind
I ponad wszystko , prześlij pszczołom miłość .	prześlij	4	Imp
Tak długo zwracaj wolność , aż poczujesz , że jest to całkowicie szczere i autentyczne .	zwracaj	2	Imp
Zwycięzcy grup awansowali do półfinałów .	awansowali	2	Ind
Popatrz , jak inni poruszają ustami .	Popatrz	0	Imp
Nie odwódźcie . . .	odwódźcie	1	Imp
- Pij jabcok .	Pij	1	Imp
Klaudio , rozumiem cię , ale wystarczy , że my dwoje zostaniemy .	zostaniemy	11	Ind
Ale też nie przytula .	przytula	3	Ind
Osobiście radziła by m panu iść do domu .	radziła	1	Ind
Może w dużych ośrodkach miejskich ludzie zagłosują na Juszczenkę , ale we wsiach poparcie dla Janukowicza będzie ogromne .	zagłosują	6	Ind
- O mnie się nie martw - zadeklarowałam ochryple .	martw	5	Imp
Sytuację komplikował wrogi , nieprzejednany stosunek , który rząd niemiecki nadal przejawiał wobec Polski .	komplikował	1	Ind
Prezentowano gospodarstwa agroturystyczne i przetwórstwo rolno - spożywcze .	Prezentowano	0	Ind
Żadne nie wiedziało .	wiedziało	2	Ind
Zawsze wybierajmy produkty , które będą służyć jak najdłużej .	wybierajmy	1	Imp
– Pozwólmy Michałowi Karnowskiemu .	Pozwólmy	1	Imp
Mieszkańcy grożą , że zablokują ulice .	grożą	1	Ind
Moja żona wybiera się do Tunezji , strzeżcie się , Tunezyjczycy .	strzeżcie	7	Imp
Tamten lirę do lewego boku przycisnął , nastroił , zakręcił korbę drewnianą i jął palcami po ośmiu trzpieniach przebiegać .	nastroił	7	Ind
- Biegnij ! - krzyknął .	krzyknął	4	Ind
Poszły nad Ślęzę .	Poszły	0	Ind
Wal z dużych flaszek !	Wal	0	Imp
Na witrynie umieścili też nazwiska ponad 500 znanych ludzi , którzy podpisali się pod protestem przeciwko zakazowi Marszu Równości .	umieścili	2	Ind
Kreślił , poprawiał zapisane strony , wyrzucał i zaczynał od nowa .	Kreślił	0	Ind
Chcę dzwonić po taksówkę , żeby mnie zabrała z łóżka do łazienki .	zabrała	7	Ind
Dlatego też bez zwracania większej uwagi wypiorą i wysuszą cienkie jak mgiełka majteczki , schnące mniej więcej trzy minuty , a wtedy szukaj wiatru w polu , głupi zazdrośniku .	szukaj	22	Imp
U małych pacjentów lekarze stwierdzali najczęściej anginę i nieżyt górnych dróg oddechowych .	stwierdzali	4	Ind
Często karani kielczanie raz za razem grali w osłabieniu .	grali	6	Ind
Zmuś ziemię , by wykarmiła swoje nędzne dzieci .	Zmuś	0	Imp
– nienawidzę . .	nienawidzę	1	Ind
- Rozbierajcie się i chodźcie do środka .	chodźcie	4	Imp
Zwracajmy szczególną uwagę na bezpieczeństwo dzieci .	Zwracajmy	0	Imp
I nie próbujcie nawet , zabierać stąd swojego majdanu . . .	próbujcie	2	Imp
— Nie kłam , nie kłam — ripostował Potockiemu stojący z tyłu Mariusz Kamiński z PiS .	kłam	5	Imp
Agnieszka chrząka znacząco , dzieci chwytają ciastka i wybiegają z pokoju .	chwytają	5	Ind
Wejdźcie więc do podziemnych lochów pełnych zasadzek i niespodzianek .	Wejdźcie	0	Imp
Instytucje Wspólnoty szczegółowo zbadały powyższe argumenty i doszły do następujących wniosków :	doszły	7	Ind
Kupili śmy sobie granity .	Kupili	0	Ind
Na płytkiej wodzie chwyć deskę oburącz ( jak " kozła " na szkolnej lekcji WF ) i powoli się podciągaj .	chwyć	3	Imp
przyda się .	przyda	0	Ind
- Piotrze , uwierz mi , to nagłaśnianie przez Zachód opozycji to naprawdę przesada .	uwierz	3	Imp
Ujawnił się jej pragmatyzm kobiecy ?	Ujawnił	0	Ind
Radujmy się z nimi , bo żyją !	Radujmy	0	Imp
Powstał by wtedy jedyny prawdziwy Kościół ojca Rydzyka .	Powstał	0	Ind
Zdziwiła się i nic nie odrzekła .	Zdziwiła	0	Ind
Czyżby prawdą było , co sami zbyt chętnie przyznajemy , że jesteśmy narodem niemuzykalnym ?	przyznajemy	8	Ind
- Ten werset jest źle przetłumaczony jako " bijcie je " , a w oryginale i dobrych tłumaczeniach brzmi on " przywołujcie je do porządku " .	przywołujcie	21	Imp
