Lorine prsia ma zľahka tlačili na hrudníku , a o poschodie vyššie ležala v studenej izbe mŕtva Marga .	tlačili	4	Neut
Niečo mi zvieralo hrdlo .	zvieralo	2	Neut
Sadol som si a vybral z tašky fľašu whisky .	Sadol	0	Masc
Chvíľu čakal , ale mnoho ľudí mu netlieskalo .	netlieskalo	7	Neut
Srdce mi bilo ako zvon , no odľahlo mi , len čo za sebou zavrela .	bilo	2	Neut
Už dávno sa s nimi nehrám , ale ani vo sne by mi nenapadlo , aby som ich vyhodila .	nenapadlo	13	Neut
Spomenul som si na dve veci : na hysterickú eufóriu učiteľov po incidente , pri ktorom sa spomenulo meno mytologického božstva záhrobného sveta .	spomenulo	17	Neut
Mauglí pokrútil hlavou a chytil sa neďalekého stromčeka .	chytil	4	Masc
Zjavilo sa mi vo sne a mne stále znie v ušiach jeho hlas .	Zjavilo	0	Neut
Musím sa priznať , že sa mi ten nápad ohromne páčil , hoci znel neuveriteľne .	znel	13	Masc
Maja si pospomínala na všetky nebezpečenstvá , o ktorých im vykladala slečna Kasandra .	pospomínala	2	Fem
“ Neuveriteľné ! “ zvolala som .	zvolala	4	Fem
Vilko najprv reptal , ale potom ho Maja nespoznávala .	nespoznávala	8	Fem
Jeho záujem opäť ochabol .	ochabol	3	Masc
Začervenala som sa a zľahka som ho plesla po kolene .	Začervenala	0	Fem
Vtrhli do panského domu ako roj sršňov až sa Maja s Rudkom hanbili .	hanbili	12	Masc
Za oknom sa brieždilo .	brieždilo	3	Neut
Bez slova a bez pozdravu Martin odišiel , ticho zatvoril za sebou dvere .	zatvoril	9	Masc
Uprostred pretekov som prestala plávať a šliapala som vodu až k miestu , kde sa ponoril .	ponoril	15	Masc
Zrazu od úžasu onemela .	onemela	3	Fem
Vo Winstonovi zápasili zvláštne pocity .	zápasili	2	Masc
“ Ako je to možné ! “ zvolala prekvapene Maja .	zvolala	7	Fem
“ A čo sa stalo ? “ spýtala sa zvýšeným hlasom .	stalo	4	Neut
More postupne zmizlo a ona sa otočila ku mne .	zmizlo	2	Neut
“ Nanosilo ju sem dvadsať tiav . “	Nanosilo	1	Neut
Pred priateľovou ordináciou čakalo zo dvadsať ľudí , lavice pri stene boli obsadené .	čakalo	3	Neut
So zovretým hrdlom som sa rozhliadol okolo seba .	rozhliadol	5	Masc
Primátor Komárna Štefan Pásztor po svojej sekretárke odkázal SME , že sa k problému nevyjadrí .	odkázal	7	Masc
Možno by jej to celkom prospelo . “	prospelo	5	Neut
Oprela som sa o čalúnené sedadlo a vtom Mustang zrýchlil .	Oprela	0	Fem
Nikto vlastne nevedel , kam ide .	nevedel	2	Masc
NAHÁČI POTOPILI TITANIC	POTOPILI	1	Masc
Chvalabohu , nič sa mu nestalo .	nestalo	5	Neut
Vtom sa vo dverách zjavila aj neforemná Buchta .	zjavila	4	Fem
“ Tú šóru v žiadnom prípade nezvládneme , “ povedal Rýchlik a začal cúvať .	povedal	9	Masc
Dúfal , že jeho jasnovidecká kariéra potrvá dlhšie .	Dúfal	0	Masc
Toto dielo vznikalo postupne od konca 10 storočia do počiatku storočia 12 .	vznikalo	2	Neut
Našla som svojho osobného Spasiteľa , Ježiša Krista vo svetle Ježišovho evanjelia , v ňom som poznala posolstvo pokoja , lásky , radosti a šťastia .	poznala	16	Fem
Rozprávala , akoby jej vynechávalo srdce .	Rozprávala	0	Fem
Chvíľu leteli , až pristáli v spustnutej záhrade , kde bola pod obrovskou smutnou vŕbou hlbočizná studňa .	pristáli	4	Masc
Čo iné mi ostávalo ?	ostávalo	3	Neut
Mlčky ho sledovala celá trieda .	sledovala	2	Fem
Mohlo byť len zo stromu , do ktorého sa zaťalo sekerou so zatvorenými očami .	zaťalo	9	Neut
Jazmína pozrela dolu a zbadala otca .	pozrela	1	Fem
Na tvári som jej videla , že ju to vzalo , a keď vstala zo stoličky , bála som sa , že odíde z kuchyne .	vzalo	9	Neut
Mňa sa zatiaľ zmocnilo dvojnásobné rozrušenie .	zmocnilo	3	Neut
Snažil sa vyliezť po steble trávy hore , ale steblo sa pod jeho váhou nebezpečne naklonilo nabok .	naklonilo	15	Neut
Veci sa vyvinuli inak , než som sa obával .	vyvinuli	2	Fem
Na vrchole koleso chvíľu postálo a náš vozík sa knísal zboka nabok .	postálo	4	Neut
Zaznel rachot .	Zaznel	0	Masc
Oslík zahol do jednej z ulíc .	zahol	1	Masc
“ Mimozemšťania , “ zašepkal Rudko vystrašene .	zašepkal	4	Masc
Vytrhol sa z pavúčej priadze takou silou , že nič netušiaceho pavúka s ôsmimi nohami prevrátilo horeznačky .	prevrátilo	15	Neut
“ Videl som ťa v bazéne a mal som sa ti vyhnúť .	Videl	1	Masc
Týchto ľudí , ktorí pochádzali zo strednej triedy zamestnancov a z vyšších vrstiev robotníckej triedy , sformoval a zoradil jalový svet zmonopolizovaného priemyslu a scentralizovanej vlády .	zoradil	18	Masc
Nassir zdvihol maličký uzlík .	zdvihol	1	Masc
Niečo mu chýbalo : opatrnosť , rezervovanosť , niečo ako sebazáchranná obmedzenosť .	chýbalo	2	Neut
Usilovne cvičila až to uši trhalo .	trhalo	5	Neut
Boli tam mravce , lykožrút Fridolín s Buchtou , aj rodinka ploštíc .	Boli	0	Masc
Nateraz však sa O ' Brien odvrátil .	odvrátil	6	Masc
Jedli mlčky , veľmi zriedka prehodili nejaké slovo .	Jedli	0	Masc
“ Pozor ! “ varovne skríkla Bela .	skríkla	5	Fem
Vždy mu odporovala , keď povedal niečo podobné .	odporovala	2	Fem
Nemalo by to zmysel .	Nemalo	0	Neut
Jazmína preglgla .	preglgla	1	Fem
Zmocnil sa ma akýsi ošiaľ .	Zmocnil	0	Masc
Pred bránou Maju oslepilo žiarivé svetlo , až privrela oči .	privrela	8	Fem
Krist , nenamáhaj sa , nepoučuj ma o tom , o čom ma stará mama poučila už dávno ‐ pradávno .	poučila	15	Fem
Očakávala som niečo iné , ona však nevyslovila jedinú výčitku .	Očakávala	0	Fem
Soni ma prosila , aby som nerobil hlúposti .	prosila	2	Fem
Jedného dňa sochu odtiaľ strhol dav , ktorý rozzúrilo jej namyslené povýšenectvo .	strhol	4	Masc
Kráčal po chodbe a očakával guľku .	očakával	4	Masc
Napokon sa vybrali do mesta .	vybrali	2	Fem
Na tretí deň ráno spratal päť porcií raňajok a spokojne sa ponaťahoval .	spratal	4	Masc
Aladinove kráľovské rúcho zmizlo .	zmizlo	3	Neut
Svoje životy zasvätili dobytiu sveta , ale vedia aj to , že vojna má sa viesť do nekonečna a nemá ju korunovať víťazstvo .	zasvätili	2	Fem
Jedného večera mi zatelefonovali deti .	zatelefonovali	3	Neut
Kapituloval , to bolo jasné .	Kapituloval	0	Masc
“ Chŕŕŕŕŕ ! “ zachrčal netvor , keď sa mu šíp zaryl do chrbta .	zachrčal	4	Masc
Prebehla cez cestu .	Prebehla	0	Fem
Uži si trocha , prikázala som si .	prikázala	4	Fem
Čo sa týka vzťahov Novgorodcov a podmanených ugro ‐ fínskych plemien , formálne podriadené kmene si zachovávali značnú dávku nezávislosti .	zachovávali	16	Masc
Winston bol ženatý a pravdepodobne ešte stále je ženatý , lebo pokiaľ vie , jeho žena nezomrela .	nezomrela	16	Fem
Veronika sa najprv urazila , ale keď jej Ferdo vysvetlil , že rehotanie je taká zvláštna psia choroba , trochu sa upokojila .	vysvetlil	9	Masc
K tomu sa podávalo trnkové víno a deťom ponúkli fialovú malinovku .	podávalo	3	Neut
Najprv so mnou nechcela hovoriť .	nechcela	3	Fem
S odporným škrekotom z nej stúpali čarodejné výpary .	stúpali	5	Masc
S ťažkým srdcom sa Herkules lúčil s rodičmi a oni ho s ťažkým srdcom púšťali .	púšťali	14	Masc
Poletím za tebou , “ povedal Vilko , obrátil sa na bok a zaspal .	zaspal	13	Masc
Aj Maja so škriatkom opustili topoľ a leteli , kým nedoleteli k domu , kde sa v oknách ešte svietilo .	svietilo	19	Neut
