Коли його й не преміювала французька академія , то знайшла щось похвалити закостеніла тепер Гонкурівська .	похвалити	11	Inf
— Зробити таку машину прикортіло весною , — тим часом розказує Володя .	Зробити	1	Inf
Сільський культурник , що з марксівської науки твердо засвоїв конечність економічних передумов , прокинувся в ньому цілком .	прокинувся	13	Fin
Кохання та домівка — твердиня , непорушна схованка , і лише спосіб життя та занять обох можуть піддаватися тим чи іншим перемінам .	піддаватися	17	Inf
Називайте як хочете — але якщо у вас є щось , що таки можна так назвати — напишіть мені , будь ласка .	напишіть	17	Fin
У цій сфері нічо́го не зміниться , хіба що людей вирощуватимуть у пробірках і родина перестане існувати .	існувати	16	Inf
У такому разі , щоб він у всій повноті відчував насолоду від зносин , їй треба погладити , поцілувати , полоскотати язиком соски , губи , інші статево чутливі ділянки його тіла .	полоскотати	20	Inf
Говорити голосно — заборонено .	Говорити	0	Inf
Повернені власникам тварини підлягають щепленню проти сказу .	підлягають	3	Fin
На всіх виїздах стояли наші бетеери , і чергова машина розвозила екіпажам сніданки , обіди і вечері .	розвозила	10	Fin
У нього не виходить правильно вимовляти ім'я зятя .	вимовляти	5	Inf
Умовний рефлекс пускає корені і винищує найкоштовніші якості співжиття — почуття повної розрядки та радісної відпруги .	винищує	5	Fin
Ми вирішили , що краще бути застріленими , ніж скакати з такої висоти , і , не оглядаючись , дійшли до тверді .	оглядаючись	17	Conv
- Стій !!	Стій	1	Fin
Вони абож проходили повз неї , роблячи спроби розпочати розмову , абож спинялись недалеко від неї і починали змагатися у стрибках , боротьбі та будуючи піраміди , щоб показати стрункість тіл та міцну напруженість м’язів .	будуючи	24	Conv
Дівчата - товаришки її люблять і часто дають їй чого їсти — такого , що з дому приносять .	їсти	10	Inf
Office Професійний 2016 допоможе створювати , презентувати та публікувати професійні документи , а також обмінюватися ними завдяки функціям , що заощаджують час , оновленому сучасному зовнішньому вигляду та вбудованим засобам співпраці .	публікувати	8	Inf
Вона глянула ще раз на Мотрю , поступилася назад , простогнала , сіла мовчки на піл , узявшись холодними руками за крайню дошку , щоб не впасти .	узявшись	17	Conv
Чи в стані вона виховати свідомих дітей нації , а не « дурних курчат » , коли на загально прийняту думку , була вона до цього часу лише « байстрюча мати яничар » ?	виховати	4	Inf
Врешті убивць вичислили на якихось підміських городах , і піхота зробила справжню облаву , загнавши їх у безвихідь .	загнавши	14	Conv
Я перекинусь пшеницею , а ти перекинешся дідом , та будеш стерегти мене .	стерегти	11	Inf
Багато років я носив його на грудях .	носив	3	Fin
Від різних людей , Ваших земляків , я ще дізнався , що Ви великий аматор книжки української .	дізнався	9	Fin
Людина , що віруванням ісламу не може оминути свойого " кісмету " ( призначення ) , не має чого берегтися .	оминути	7	Inf
По десять - п'ятнадцять общипувать за раз треба .	общипувать	4	Inf
Якоїсь миті Вінстон ясно зрозумів що горлає разом із рештою та жорстоко , ба навіть брутально , лупить своєю п’ятою по обідку свого ж таки стільця .	горлає	6	Fin
Довший час ми виглядали в них як пропащі європейці в опіумних притонах Індокитаю .	виглядали	3	Fin
Ви уступалися йому з дороги або , кинувши всі скарби , стрімголов бігли в сіни і причиняли за собою двері , коли він надходив занадто близько .	кинувши	7	Conv
АПП , зауваживши , що Пуня кусає під партою канапку , дозволила йому їсти відкрито на її уроках .	зауваживши	2	Conv
Укрзалізниця не хоче визнати , що скорочення потягів викликане зношеністю та закінченням терміну експлуатації пасажирських вагонів , які нічим замінити .	визнати	3	Inf
Розділи поділено на параграфи , що починаються з коротких рубрик « Ви дізнаєтесь » і « Пригадайте » .	дізнаєтесь	12	Fin
Варто зазначити , що Валентин Щербачов — володар відзнаки « Всенародне визнання » Спілки журналістів України , у 1992 - 1999 роках очолював Федерацію спортивних журналістів України .	зазначити	1	Inf
Незважаючи на його грізний зовнішній вигляд він володів принадно чарівними манерами .	Незважаючи	0	Conv
Одержу — пришлю .	пришлю	2	Fin
Жадність , заздрість , готовність усім пожертвувати — аби тільки мати черевики з гострими носками і сидіти в кав’ярні в ролі законодавця і арбітра « elegantiarum » .	пожертвувати	6	Inf
Хоча за звичкою не переставав носити кастет .	носити	5	Inf
Я промивав його рану і заразився тим ґатунком гепатиту , який подібно до сніду передається лише статево або через кров .	промивав	1	Fin
Вони абож проходили повз неї , роблячи спроби розпочати розмову , абож спинялись недалеко від неї і починали змагатися у стрибках , боротьбі та будуючи піраміди , щоб показати стрункість тіл та міцну напруженість м’язів .	розпочати	8	Inf
Вона принесла її до школи , вчительці історії , яка була найліберальнішою і гралася у справжню дружбу учнів і вчительки .	принесла	1	Fin
Текст « Живем комуною » , як він видрукуваний у « Шляхах мистецтва » , — це таке свідчення про бідність естетичну , що я й не знаю , як редакція погодилась його собі самій видати .	видати	35	Inf
То Ліна , сестра , просила вам передати , я берегла до Різдва …	просила	5	Fin
І я , звичайно ж , прошу благословення у Бога , плоттю Якого є Слово , а ще іншим іменем – Правда .	прошу	6	Fin
