Ma ei üllatuks , kui pärast Euroopa Liidu laienemist süveneks Saksamaa suhe Poolaga ( Poolas on ligi 40 miljonit elanikku - toim ) .	üllatuks	2	Cnd
Jätkame otsinguid , õilsad rüütlid , ja kui me peaksime kurnatusest kokku langema , siis teadkem , et see on vaid Jumala karistus meie pattude eest ! "	teadkem	15	Imp
Seda enam rääkis ta siis , kui edasi liikusime .	liikusime	8	Ind
Kõik tööd pidi Väike-Munamäe Arendus tellima läbi emafirma , kes palkas alltöövõtjad .	palkas	10	Ind
Mõni aasta tagasi paisati turule Barbie-printsessid .	paisati	3	Ind
Mõtle nüüd .	Mõtle	0	Imp
Töötagu andmeskalaarses protsessoris kolm protsessorüksust PÜ1 , PÜ2 ja PÜ3 .	Töötagu	0	Imp
London saatis erumajorit provotseerima merejalaväelaste dessandi ning sai soovitud tulemuse : Bates tulistas sõdureid saarel vedelevate vanade kahurikuulidega .	tulistas	12	Ind
Meri oleks valmis kindralleitnant Kerdi kohe ametist vabastama , kuid Luik tasakaalustab olukorda .	tasakaalustab	11	Ind
Raviasutuste hinnangul kulutaks kontaktivõtmine liiga palju ressursse , kuid ei tohi unustada , et helistamiskulud on suhteliselt väikesed , võrreldes raviteenuse eest saamata jäänud tuluga .	kulutaks	2	Cnd
" Vabandage , mu lastega on midagi juhtunud !	Vabandage	1	Imp
Kui palju sa pakud ? !	pakud	3	Ind
Lao selliselt töödeldud küüned väikestesse purkidesse ja vala peale kuum marinaad .	Lao	0	Imp
" Ehitan samasugust tehast , nagu Tallinna püüame teha , veel 25s riigis , " nendib Sposato .	püüame	7	Ind
Millest nad üüri maksavad ja millest lapsi koolitavad ?	koolitavad	7	Ind
Võib-olla muutuks ta korralikuks , kui talle naine võtta , mis sa arvad , Madis ? "	muutuks	1	Cnd
Ma ei olnud Jooga toas , kus seisid varem minu asjad : aknapoolsesse kappi olid ootamatult siginenud võõrad riided .	seisid	7	Ind
Uus ideoloogia rõhub alternatiivsetele karistustele - ühiskondlikule tööle ning rahatrahvile , samuti ennetusele ja kriminaalhooldusele .	rõhub	2	Ind
Siis vabandasin ja jooksin peldikusse .	vabandasin	1	Ind
Tšetšeenide ja inguššide esivanemad nakhid ( ka nohtšid ) elasid maa lõunaosas mägedes .	elasid	9	Ind
Siiani oleme suutnud kvaliteeti anda infrastruktuuri kulumise arvelt - laboribaas vajab uuendamist , peame ehitama uusi hooneid ja renoveerima olemasolevaid , vajame uusi ühiselamuid .	vajame	21	Ind
Taanis läbi viidud uurimused näitavad , et inimestel , kes sõid päevas üle 35 g kala , olid 50 % vähem ohustatud südame-veresoonkonna haigustest ( The hearty … , 1995 ) .	sõid	10	Ind
USA Texase osariigi esindajatekoja liige Edmund Kuempel on algatanud seadusmuudatuse , mis lubaks ka pimedatel inimestel jahti pidada .	lubaks	12	Cnd
Ka transpordikulud mängivad rolli .	mängivad	2	Ind
Vabalt põledes suitseks see vähemalt neli nädalat , " lausus ta .	suitseks	2	Cnd
" Sähke teile , põhulõuad ! " kõlas uus kraaksatus ja meie olümpiadelegatsiooni arstina teenindav Savi tegi liigutuse , nagu viskaks lehmadele heina ette .	viskaks	20	Cnd
Tehke uus vereanalüüs .	Tehke	0	Imp
Lao selliselt töödeldud küüned väikestesse purkidesse ja vala peale kuum marinaad .	vala	7	Imp
Ent USAs ja Suurbritannias juhinduvad reklaamiandjad pigem toimimistavadest ja iseregulatsioonist kui seadusandlusest .	juhinduvad	4	Ind
Pinged eskaleerusid traagilise 1984. aastani , kui mõnisada relvastatud Akali religioosse partei ekstremistlikumalt meelestatud liiget ning tuhanded palverändurid sulgesid end Kuldtemplisse ning kuulutasid seal välja oma riigi .	kuulutasid	22	Ind
" Need kõhklused on nüüdseks ununenud , enam ma ei kõhkleks , " räägib ta .	kõhkleks	10	Cnd
Külmkapis on kõike , muudkui söö ja maga .	maga	7	Imp
Kui rämpskiri on juba jõudnud postkasti , raiskame sellest arusaamiseks ja selle kustutamiseks aega .	raiskame	7	Ind
Usun , et eeskätt värvati mind hokit silmas pidades , kuigi tegin ka murdmaasuusatamise ja suusahüpete ülekandeid .	värvati	4	Ind
See tähendaks küll rahvasaadiku staatuse sidumist mandaadiga ehk põhiseaduse § 62 muutmist , kuid demokraatia kriis võib anda veelgi hullema tulemuse .	tähendaks	1	Cnd
Hille tahab , et mees tema ja lapse rahule jätaks .	jätaks	9	Cnd
Kui süda öösiti magamise ajal sees klopib , on tegemist juba raskema juhtumiga : kõri kallale tunginud vaenlasega võitlemise käigus ( loe : hingamispeetuse ajal ) on ka suhkrutase veres üles aetud .	klopib	6	Ind
Pigem tuleks üritada vabameelset majanduskeskkonda säilitada ja võimalikult palju erandeid ja üleminekuperioode välja kaubelda .	tuleks	1	Cnd
Õhtul vaatas Sugulane üle ukse : " Ma sõidan nüüd ära .	sõidan	8	Ind
Saad aru - inspektor Lestrade käis Sussexis Scotland Yardi jaoks kutsikaid valimas ja üks peni hammustas teda tagumikust .	hammustas	15	Ind
Köögikapp , lauajalg ja isegi juust laual leegitsevad , aga perekond einestab rahulolevalt edasi .	leegitsevad	7	Ind
Võtke mõnel lõunaajal paar pitsat kaasa ja sõitke koos sõprade või töökaaslastega linnast paariks tunniks välja .	sõitke	7	Imp
Tahan rõhuda valitsuse südametunnistusele vanasõnaga - üheksa korda mõõda , üks kord lõika .	mõõda	8	Imp
Tööturu 2001. ja 2002. a positiivsed arengud annavad alust arvata , et pärast 1998. a kasvanud lühiajaline tööpuudus ei kasva üle uueks pikaajalise tööpuuduse tasakaaluks .	kasva	19	Ind
Nesiritiid ( doosis , nagu seda kasutatakse südamepuudulikkuse ravis , s.t boolusena 2 g/kg , millele järgneb infusioon 0,01 g/kg minutis ) kutsub esile nii suurte epikardiaalsete kui väikeste resistentsuspärgarterite laienemise .	kutsub	22	Ind
Näiteks harjutust istesse tõus tehes hinga välja , kui keha algasendist põlvede juurde tõstad , ning sisse , kui tagasi selili laskud .	hinga	5	Imp
Geenide järjestus iseenesest ei ütle meile veel kuigi palju , oluliselt tähtsam on välja uurida nende funktsioon , mida me saame teha just tänu muudetud pärilikkusega organismidele .	ütle	4	Ind
USA teadlased C.S. Schwartz ja H.S.Weiss ( United … , 1987 ) uurisid kala- , ameerika heeringa õli ja linaõli lisasöötmise mõju kanabroilerite liha ω-3-rasvhapete sisaldusele .	uurisid	12	Ind
Pane purkidele kaaned lahtiselt peale ja steriliseeri viis minutit .	steriliseeri	6	Imp
Kui produtseerime edasi samas mahus ärijuhte , siis toodame töötuid .	toodame	8	Ind
